2024-2026 全球大学排名,,,,,,
学校中文名,学校英文名,国家/地区,QS 2026,USNews 2026,THE 2025,ARWU 2024
德克萨斯州大学奥斯汀分校,The University of Texas at Austin,美国,68,65,50,45
布朗大学,Brown University,美国,69,150,58,101
巴黎萨克雷大学,Université Paris-Saclay,法国,70,78,64,12
伊利诺伊大学香槟分校,University of Illinois at Urbana-Champaign,美国,70,109,46,55
隆德大学,Lund University,瑞典,72,121,95,101
索邦大学,Sorbonne Universite,法国,72,62,76,41
华威大学,University of Warwick,英国,74,182,106,101
都柏林圣三一学院,Trinity College Dublin,爱尔兰,75,207,139,201
伯明翰大学,University of Birmingham,英国,76,94,93,151
西澳大学,The University of Western Australia,澳大利亚,77,98,149,101
瑞典皇家理工学院,KTH Royal Institute of Technology,瑞典,78,252,95,201
格拉斯哥大学,University of Glasgow,英国,79,62,87,101
海德堡大学,Heidelberg University,德国,80,59,47,50
华盛顿大学,University of Washington,美国,81,8,25,18
宾夕法尼亚州立大学,Penn State (Main campus),美国,82,91,100,101
阿德莱德大学,The University of Adelaide,澳大利亚,82,99,128,151
布宜诺斯艾利斯大学,Universidad de Buenos Aires (UBA),阿根廷,84,451,-,201
奥克兰大学,Oakland University,美国,-,1659,1001,-
利兹大学,University of Leeds,英国,86,133,123,151
南安普顿大学,University of Southampton,英国,87,118,115,151
普渡大学西拉法叶分校,Purdue University,美国,88,173,79,100
波士顿大学,Boston University,美国,88,86,75,101
柏林自由大学,Free University of Berlin,德国,88,59,104,-
大阪大学,Osaka University,日本,91,314,162,201
谢菲尔德大学,The University of Sheffield,英国,92,166,98,151
乌普萨拉大学,Uppsala University,瑞典,93,141,130,88
阿尔伯塔大学,University of Alberta,加拿大,94,156,116,101
达勒姆大学,Durham University,英国,94,292,172,301
悉尼科技大学,University of Technology Sydney,澳大利亚,96,83,154,201
诺丁汉大学,University of Nottingham,英国,97,153,136,101
米兰理工大学,Politecnico di Milano,意大利,98,338,201,201
卡尔斯鲁厄理工学院,Karlsruhe Institute of Technology,德国,98,278,166,201
苏黎世大学,University of Zurich,瑞士,100,59,-,67
哥本哈根大学,University of Copenhagen,丹麦,101,41,97,32
浦项科技大学,Pohang University of Science and Technology,韩国,102,380,151,301
南京大学,Nanjing University,中国,103,86,65,82
乌特勒支大学,Utrecht University,荷兰,103,49,-,55
罗蒙诺索夫莫斯科国立大学,Lomonosov Moscow State University,俄国,105,521,107,-
亚琛莱茵-威斯特法伦工业大学,Rheinisch-Westfälische Technische Hochschule Aachen,德国,105,-,-,-
丹麦技术大学,Technical University of Denmark,丹麦,107,178,124,151
圣保罗大学,Universidade de São Paulo,巴西,108,146,199,101
巴勒莫大学,Universidad de Palermo (UP),阿根廷,771-780,-,-,-
威斯康星大学-麦迪逊,University of Wisconsin - Madison,美国,110,72,56,36
伦敦大学玛丽皇后学院,Queen Mary University of London,英国,110,94,141,201
卡塔尔大学,Qatar University,卡塔尔,112,310,201,501
圣安德鲁斯大学,University of St Andrews,英国,113,403,185,301
加州大学戴维斯分校,"University of California, Davis",美国,114,96,62,101
阿尔托大学,Aalto University,芬兰,114,271,196,401
赫尔辛基大学,University of Helsinki,芬兰,116,113,107,99
智利天主教大学,Pontifical Catholic University of Chile,智利,116,390,501,601
都柏林大学,University College Dublin,爱尔兰,118,245,201,301
奥斯陆大学,University of Oslo,挪威,119,100,116,72
莱顿大学,Leiden University,荷兰,119,56,73,101
莱斯大学,Rice University,美国,119,219,112,101
滑铁卢大学,University of Waterloo,加拿大,119,197,163,151
佐治亚理工学院,Georgia Institute of Technology,美国,123,79,40,151
印度理工学院德里,Indian Institute of Technology Delhi,印度,123,703,-,601
墨尔本皇家理工大学,RMIT University,澳大利亚,125,198,251,301
成均馆大学,Sungkyunkwan University,韩国,126,271,102,151
马来西亚国民大学,Universiti Kebangsaan Malaysia,马来西亚,126,572,401,601
罗马大学,Sapienza University of Rome,意大利,128,161,185,101
印度理工学院孟买校区,Indian Institute of Technology Bombay,印度,129,681,-,-
柏林洪堡大学,Humboldt University of Berlin,德国,130,47,84,-
奥胡斯大学,Aarhus University,丹麦,131,117,110,80
巴斯大学,University of Bath,英国,132,403,251,501
中国科学技术大学,University of Science and Technology of China,中国,132,71,53,42
马来西亚博特拉大学,Universiti Putra Malaysia,马来西亚,134,578,601,-
马来西亚理科大学,Universiti Sains Malaysia,马来西亚,134,416,401,601
墨西哥国立自治大学,National Autonomous University of Mexico,墨西哥,136,416,801,201
巴勒莫大学,Universidad de Panamá - UP,巴拿马,1401,-,-,-
麦考瑞大学,Macquarie University,澳大利亚,138,178,178,201
博洛尼亚大学,Alma Mater Studiorum - University of Bologna,意大利,138,141,146,201
埃因霍温科技大学,Eindhoven University of Technology,荷兰,140,409,185,401
鹿特丹伊拉斯姆斯大学,Erasmus University Rotterdam,荷兰,140,76,107,101
北卡罗来纳大学教堂山分校,University of North Carolina at Chapel Hill,美国,140,51,70,35
沙特国王大学,King Saud University,沙特阿拉伯,143,146,251,90
德州农工大学,Texas A&M University,美国,144,187,143,201
柏林工业大学,Technical University of Berlin,德国,145,270,140,201
南加州大学,University of Southern California,美国,146,77,72,62
格罗宁根大学,University of Groningen,荷兰,147,75,80,69
利物浦大学,University of Liverpool,英国,147,137,160,101
斯德哥尔摩大学,Stockholm University,瑞典,147,156,191,101
开普敦大学,University of Cape Town,南非,150,124,180,201
西安大略大学,Western University,加拿大,151,314,201,201
维也纳大学,University of Vienna,奥地利,152,212,110,101
瓦赫宁根大学与研究院,Wageningen University & Research,荷兰,153,115,67,151
马来西亚工艺大学,Universiti Teknologi Malaysia,马来西亚,153,376,401,-
埃克塞特大学,University of Exeter,英国,155,127,172,151
日内瓦大学,University of Geneva,瑞士,155,120,171,58
兰开斯特大学,Lancaster University,英国,157,267,168,301
巴塞尔大学,University of Basel,瑞士,158,180,126,95
汉阳大学,Hanyang University,韩国,159,434,251,301
巴塞罗那大学,Universitat de Barcelona,西班牙,160,82,149,151
密歇根州立大学,Michigan State University,美国,161,133,122,151
根特大学,Ghent University,比利时,162,107,112,90
阿卜杜勒阿齐兹国王大学,King Abdulaziz University,沙特阿拉伯,163,102,351,201
名古屋大学,Nagoya University,日本,164,354,201,101
查尔姆斯理工大学,Chalmers University of Technology,瑞典,165,352,201,401
阿尔-法拉比国立大学,Al-Farabi Kazakh National University,哈萨克斯坦,166,1230,1201,-
圣路易斯华盛顿大学,Washington University in St Louis,美国,167,31,69,23
蒙特利尔大学,Université de Montréal,加拿大,168,192,125,151
巴勒莫大学,University of Palermo,意大利,-,611,601,701
北海道大学,Hokkaido University,日本,170,434,351,201
九州大学,Kyushu University,日本,170,352,301,201
巴塞罗那自治大学,Autonomous University of Barcelona,西班牙,172,130,199,301
亚利桑那州立大学,Arizona State University,美国,173,192,201,151
麦克马斯特大学,McMaster University,加拿大,173,146,116,101
智利大学,Universidad de Chile,智利,173,473,1001,401
国立清华大学,National Tsing Hua University,中国台湾,176,506,401,401
哈利法大学,Khalifa University,阿拉伯联合酋长国,177,399,201,601
同济大学,Tongji University,中国,177,124,154,151
加州大学圣塔芭芭拉分校,"University of California, Santa Barbara",美国,179,91,67,64
印度马德拉斯技术学院,Indian Institute of Technology Madras,印度,180,641,-,801
卡迪夫大学,Cardiff University,英国,181,192,201,151
埃默里大学,Emory University,美国,182,69,98,101
科廷大学,Curtin University,澳大利亚,183,152,251,201
卧龙岗大学,University of Wollongong,澳大利亚,184,212,201,301
伯尔尼大学,University of Bern,瑞士,184,114,104,101
武汉大学,Wuhan University,中国,186,90,134,89
马德里康普顿斯大学,Complutense University of Madrid,西班牙,187,326,501,301
蒙特雷技术学院,Tecnologico de Monterrey,墨西哥,187,645,601,-
印度尼西亚大学,University of Indonesia,印度尼西亚,189,877,801,-
俄亥俄州立大学,The Ohio State University,美国,190,66,116,82
女王大学,Queen’s University,加拿大,191,416,301,201
天主教鲁汶大学（法语区）,Université Catholique de Louvain,比利时,191,206,175,201
汉堡大学,Universität Hamburg,德国,193,141,132,201
雷丁大学,University of Reading,英国,194,385,201,401
阿姆斯特丹自由大学,Vrije Universiteit Amsterdam,荷兰,194,79,136,151
早稻田大学,Waseda University,日本,196,578,801,601
奥塔哥大学,University of Otago,新西兰,197,296,351,401
维也纳工业大学,Technische Universität Wien,奥地利,197,588,301,301
国立阳明大学,National Yang Ming Chiao Tung University,中国台湾,199,625,401,401
贝尔法斯特女王大学,Queen’s University Belfast,英国,199,230,201,301
弗赖堡大学,Albert-Ludwigs-Universitaet Freiburg,德国,201,212,128,101
哥德堡大学,University of Gothenburg,瑞典,202,164,201,101
国立成功大学,National Cheng Kung University,中国台湾,203,620,501,401
特温特大学,University of Twente,荷兰,203,427,180,401
里昂高等师范学校,Ecole Normale Superieure - Lyon,法国,205,645,251,301
马德里自治大学,Autonomous University of Madrid,西班牙,206,281,351,301
迪肯大学,Deakin University,澳大利亚,207,173,201,201
波恩大学,Rheinische Friedrich-Wilhelms-Universität Bonn,德国,207,164,89,61
马里兰大学帕克分校,"University of Maryland, College Park",美国,207,72,112,58
明尼苏达大学双城分校,University of Minnesota,美国,210,72,87,47
卡尔加里大学,University of Calgary,加拿大,211,204,201,151
安德斯大学,Universidad de los Andes,哥伦比亚,212,722,1001,-
佛罗里达大学,University of Florida,美国,212,109,130,101
洛桑大学,University of Lausanne,瑞士,212,153,134,101
蒂宾根大学,Eberhard Karls Universität Tübingen,德国,215,200,100,151
印度理工学院卡拉格普尔分校,Indian Institute of Technology Kharagpur,印度,215,763,-,801
庆应义塾大学,Keio University,日本,215,550,601,301
德累斯顿工业大学,Technische Universität Dresden,德国,218,216,160,201
印度科学研究所,Indian Institute of Science,印度,219,633,251,401
渥太华大学,University of Ottawa,加拿大,219,256,191,201
朱拉隆功大学,Chulalongkorn University,泰国,221,540,601,601
印度理工学院坎普尔,Indian Institute of Technology Kanpur,印度,222,847,-,901
特拉维夫大学,Tel Aviv University,以色列,223,199,201,201
加贾玛达大学,Universitas Gadjah Mada,印度尼西亚,224,-,1201,-
拉夫堡大学,Loughborough University,英国,225,521,301,701
昆士兰科技大学,Queensland University of Technology,澳大利亚,226,182,201,201
澳大利亚纽卡斯尔大学,"The University of Newcastle, Australia",澳大利亚,227,-,-,401
布鲁塞尔自由大学,Universite libre de Bruxelles,比利时,227,252,201,101
阿联酋大学,United Arab Emirates University,阿拉伯联合酋长国,229,333,251,801
里斯本大学,University of Lisbon,葡萄牙,230,236,401,201
梅西大学,Massey University,新西兰,230,660,501,801
埃尔兰根 - 纽伦堡大学,University of Erlangen-Nuremberg,德国,232,288,201,201
帕多瓦大学,Università di Padova,意大利,233,137,201,201
拉筹伯大学,La Trobe University,澳大利亚,233,278,251,301
坎皮纳斯州立大学,State University of Campinas,巴西,233,380,351,401
罗彻斯特大学,University of Rochester,美国,236,201,127,151
波尔图大学,University of Porto,葡萄牙,237,271,401,201
贝鲁特美国大学,American University of Beirut,黎巴嫩,237,572,501,801
马斯特里赫特大学,Maastricht University,荷兰,239,176,132,201
耶路撒冷希伯来大学,The Hebrew University of Jerusalem,以色列,240,271,301,81
北方大学,Universidad del Norte,哥伦比亚,1201-1400,-,1501,-
都灵理工大学,Politecnico di Torino,意大利,242,527,401,601
格奥尔格·奥古斯特·哥廷根大学,Georg-August-Universität Göttingen,德国,243,-,-,-
香港浸会大学,Hong Kong Baptist University,中国香港,244,439,251,601
哈马德·本·哈利法大学,Hamad Bin Khalifa University,卡塔尔,244,479,-,-
科克大学,University College Cork,爱尔兰,246,399,351,301
马萨诸塞大学安姆斯特分校,University of Massachusetts,美国,247,162,84,201
北京师范大学,Beijing Normal University,中国,247,173,146,151
达特茅斯学院,Dartmouth College,美国,247,326,168,301
范德堡大学,Vanderbilt University,美国,250,66,90,66
国油大学,Universiti Teknologi Petronas,马来西亚,251,822,201,-
斯特拉斯克莱德大学,University of Strathclyde,英国,251,427,351,501
达姆施塔特工业大学,Technical University Darmstadt,德国,253,645,251,401
泰莱大学（马来西亚）,Taylor's University,马来西亚,253,594,-,-
万隆理工学院（ITB）,Bandung Institute of Technology (ITB),印度尼西亚,255,-,1201,-
哈尔滨工业大学,Harbin Institute of Technology,中国,256,128,152,101
巴黎第一大学,Panthéon-Sorbonne University – Paris 1,法国,257,-,801,-
天津大学,Tianjin University,中国,257,182,201,101
哥伦比亚国立大学,National University of Colombia,哥伦比亚,259,727,1501,801
北京理工大学,Beijing Institute of Technology,中国,259,156,201,101
坎特伯雷大学,University of Canterbury,新西兰,261,542,501,401
阿伯丁大学,University of Aberdeen,英国,262,371,201,201
纳瓦拉大学,University of Navarra,西班牙,262,366,251,501
萨里大学,University of Surrey,英国,262,326,201,401
布拉格查理大学,Charles University,捷克共和国,265,242,401,301
庞培法布拉大学,Pompeu Fabra University,西班牙,265,276,176,301
挪威科技大学,Norwegian University of Science and Technology,挪威,267,248,301,151
格里菲斯大学,Griffith University,澳大利亚,268,238,301,201
中东技术大学,Middle East Technical University,土耳其,269,594,351,-
斯特雅大学,UCSI University,马来西亚,269,884,-,-
华沙大学,University of Warsaw,波兰,271,468,601,401
北卡罗来纳州立大学,North Carolina State University,美国,272,269,251,201
北方大学,Nord University,挪威,-,1291,-,-
美国沙迦大学,American University of Sharjah,阿拉伯联合酋长国,272,1171,601,-
弗吉尼亚大学,University of Virginia,美国,275,137,163,201
中山大学,Sun Yat-sen University,中国,276,85,201,72
米兰大学,University of Milan,意大利,276,150,301,151
萨塞克斯大学,University of Sussex,英国,278,259,201,201
拉德堡德大学,Radboud University,荷兰,279,122,143,101
安特卫普大学,University of Antwerp,比利时,280,204,168,301
匹兹堡大学,University of Pittsburgh,美国,281,52,141,90
怀卡托大学,University of Waikato,新西兰,281,722,401,801
达尔豪斯大学,Dalhousie University,加拿大,283,385,301,301
高威大学,University of Galway – Ollscoil na Gaillimhe,爱尔兰,284,528,351,601
乔治敦大学,Georgetown University,美国,285,302,201,501
澳门大学,University of Macau,中国澳门,285,230,180,301
卑尔根大学,University of Bergen,挪威,287,261,251,201
爱兰加大学,Airlangga University,印度尼西亚,287,979,1201,-
赫瑞瓦特大学,Heriot Watt University,英国,287,937,401,801
亚利桑那大学,The University of Arizona,美国,287,115,136,151
威特沃特斯兰德大学,University of the Witwatersrand,南非,291,265,301,301
斯旺西大学,Swansea University,英国,292,427,301,501
加州大学欧文分校,"University of California, Irvine",美国,293,96,90,76
北方工业大学,North China University of Technology,中国,-,2057,-,-
斯威本科技大学,Swinburne University of Technology,澳大利亚,294,-,251,201
布鲁塞尔大学,Vrije Universiteit Brussel,比利时,294,349,201,301
凯斯西储大学,Case Western Reserve University,美国,294,176,159,151
伊斯坦布尔理工大学,Istanbul Technical University,土耳其,298,687,501,701
科罗拉多大学-玻尔得,University of Colorado at Boulder,美国,299,107,143,65
巴黎西岱大学,Université Paris Cité,法国,300,47,183,60
马德里卡洛斯三世大学,Universidad Carlos III de Madrid,西班牙,301,-,-,-
斯泰伦博斯大学,Stellenbosch University,南非,302,322,301,401
南丹麦大学,University of Southern Denmark,丹麦,303,255,251,301
雅盖隆大学,Jagiellonian University,波兰,303,427,601,401
西安交通大学,Xi’an Jiaotong University,中国,305,141,201,95
奥尔堡大学,Aalborg University,丹麦,306,276,251,401
印第安纳大学伯明顿分校,Indiana University Bloomington,美国,306,163,189,151
约翰内斯堡大学,University of Johannesburg,南非,308,319,401,401
西蒙弗雷泽大学,Simon Fraser University,加拿大,308,424,301,301
林雪平大学,Linkoping University,瑞典,310,302,201,301
伦敦大学圣乔治学院,"St George’s, University of London",英国,310,319,301,701
蔚山国立科学技术研究所,Ulsan National Institute of Science & Technology,韩国,310,403,201,201
斯图加特大学,Universität Stuttgart,德国,310,781,251,301
北方工业大学,Northern Technical University,伊拉克,-,-,1501,-
塔斯马尼亚大学,University of Tasmania,澳大利亚,314,281,251,301
法兰克福大学,Goethe University Frankfurt,德国,316,221,201,151
里约热内卢联邦大学,Federal University of Rio de Janeiro,巴西,317,533,601,501
国立欧亚大学,L.N. Gumilyov Eurasian National University,哈萨克斯坦,317,-,1501,-
华中科技大学,Huazhong University of Science and Technology,中国,319,91,166,79
鲍曼莫斯科国立技术大学,Bauman Moscow State Technical University,俄国,320,1891,351,-
格勒诺布尔阿尔卑斯大学,Grenoble Alpes University,法国,321,256,351,101
德黑兰大学,University of Tehran,伊朗,322,281,401,401
科奇大学,Koç University,土耳其,323,497,351,701
四川大学,Sichuan University,中国,324,182,201,98
约旦大学,The University of Jordan,约旦,324,731,601,801
莱斯特大学,University of Leicester,英国,326,166,191,301
新里斯本大学,NOVA University Lisbon,葡萄牙,327,565,501,701
罗格斯大学,Rutgers University–New Brunswick,美国,328,156,301,101
德里大学,University of Delhi,印度,328,827,801,601
沙迦大学,University of Sharjah,阿拉伯联合酋长国,328,245,301,701
庆熙大学,Kyung Hee University,韩国,331,487,251,401
萨特巴耶夫大学,Satbayev University,哈萨克斯坦,331,-,1501,-
布加勒斯特理工大学,National University of Science & Technology POLITEHNICA Bucharest,罗马尼亚,-,1117,1501,-
塔夫茨大学,Tufts University,美国,334,296,179,151
马德里理工大学,Universidad Politécnica de Madrid,西班牙,334,687,-,-
伊利诺伊大学芝加哥分校,University of Illinois at Chicago,美国,334,261,201,301
印度理工学院古瓦哈提,Indian Institute of Technology Guwahati,印度,334,1243,801,-
苏丹卡布斯大学,Sultan Qaboos University,阿曼,334,584,601,-
山东大学,Shandong University,中国,339,238,-,101
印度理工学院鲁尔基校区,Indian Institute of Technology Roorkee,印度,339,877,-,701
厦门大学,Xiamen University,中国,341,189,301,151
奥卢大学,University of Oulu,芬兰,342,392,251,401
比萨大学,University of Pisa,意大利,343,252,351,151
南方科技大学,Southern University of Science & Technology,中国,343,123,183,101
国立台湾科技大学,National Taiwan University of Science and Technology,中国台湾,345,891,401,701
秘鲁天主教大学,Pontifical Catholic University of Peru,秘鲁,345,1164,1501,-
蒂尔堡大学,Tilburg University,荷兰,347,653,251,701
开罗大学,Cairo University,埃及,347,248,801,301
科英布拉大学,University of Coimbra,葡萄牙,347,490,401,501
因斯布鲁克大学,University of Innsbruck,奥地利,350,483,301,201
明斯特大学,University of Muenster,德国,350,228,188,151
以色列理工学院,Technion - Israel Institute of Technology,以色列,350,376,401,85
筑波大学,University of Tsukuba,日本,350,510,351,201
真纳大学,Quaid I Azam University,巴基斯坦,354,411,401,-
南开大学,Nankai University,中国,355,166,201,151
雅典国立技术大学,National Technical University of Athens,希腊,355,604,801,801
玛希隆大学,Mahidol University,泰国,358,594,601,601
东北大学,Tohoku University,日本,109,308,120,201
弗吉尼亚理工,Virginia Polytechnic Institute and State University,美国,358,281,251,201
乔治华盛顿大学,George Washington University,美国,358,245,201,301
中国科学院大学,University of Chinese Academy of Sciences,中国,362,54,-,-
比勒陀利亚大学,University of Pretoria,南非,362,460,601,501
塔尔图大学,University of Tartu,爱沙尼亚,362,236,301,601
菲律宾大学,University of the Philippines,菲律宾,362,-,1201,-
图尔库大学,University of Turku,芬兰,366,345,301,401
俄罗斯人民友谊大学,RUDN University,俄国,367,775,601,-
科学宝,Sciences Po,法国,367,-,601,-
文莱达鲁萨兰国大学,Universiti Brunei Darussalam (UBD),文莱,367,1032,501,-
大邱庆北科技大学,Daegu Gyeongbuk Institute of Science & Technology,韩国,370,1372,351,-
海峡大学,Bogaziçi Üniversitesi,土耳其,371,479,601,-
国立科技大学-巴基斯坦,National University of Sciences & Technology - Pakistan,巴基斯坦,371,584,601,901
哈韦里亚纳大学,Pontificia Universidad Javeriana,哥伦比亚,371,1180,-,-
牛津布鲁克斯大学,Oxford Brookes University,英国,374,1117,601,-
圣彼得堡国立大学,Saint Petersburg State University,俄国,375,793,-,401
谢里夫科技大学,Sharif University of Technology,伊朗,375,565,301,701
华南理工大学,South China University of Technology,中国,377,166,251,101
萨斯喀彻温大学,University of Saskatchewan,加拿大,378,568,351,401
列日大学,University of Liege,比利时,379,360,251,301
那不勒斯菲里德里克第二大学,University of Naples - Federico II,意大利,379,192,351,201
东英吉利大学,University of East Anglia,英国,381,423,251,201
卢森堡大学,University of Luxembourg,卢森堡,381,473,201,601
开罗美国大学,The American University in Cairo,埃及,381,913,601,-
东北大学,Northeastern University,美国,384,220,201,201
伦敦布鲁内尔大学,Brunel University London,英国,385,525,351,701
光州科学技术学院,Gwangju Institute of Science and Technology,韩国,385,1125,401,-
弗林德斯大学,Flinders University,澳大利亚,387,434,301,401
北京航空航天大学,Beihang University,中国,388,207,251,151
伦敦大学伯贝克学院,Birkbeck University London,英国,388,884,301,801
雅典大学,National and Kapodistrian University of Athens,希腊,390,216,501,301
阿布扎比大学,Abu Dhabi University,阿拉伯联合酋长国,391,-,191,-
东北大学,Northeastern University,中国,-,445,601,201
世宗大学,Sejong University,韩国,392,238,201,501
东南大学,Southeast University,中国,392,155,301,101
波鸿大学,University of Bochum,德国,395,369,301,201
阿斯顿大学,Aston University,英国,395,594,351,-
肯特大学,University of Kent,英国,397,618,351,401
拉彭兰塔理工大学,Lappeenranta University of Technology,芬兰,397,722,251,-
茂物农业大学,IPB University,印度尼西亚,399,1677,1501,-
西悉尼大学,University of Western Sydney,澳大利亚,400,265,301,301
于默奥大学,Umea University,瑞典,401,411,351,501
格拉纳达大学,University of Granada,西班牙,401,366,601,301
利默里克大学,University of Limerick,爱尔兰,401,989,501,801
佛罗伦萨大学,University of Florence,意大利,404,256,351,301
萨班哲大学,Sabanci University,土耳其,404,714,351,-
里昂国家科学研究院,Institut National des Sciences Appliquées de Lyon (INSA),法国,406,1212,-,-
东地中海大学,Eastern Mediterranean University,北赛普勒斯,691,687,601,-
都灵大学,University of Turin,意大利,408,221,401,201
米兰圣心天主教大学,Università Cattolica del Sacro Cuore,意大利,409,331,301,-
纽约州立大学布法罗分校,University at Buffalo,美国,410,369,251,401
南昆士兰大学,University of Southern Queensland,澳大利亚,410,278,351,601
奥克兰理工大学,Auckland University of Technology,新西兰,410,572,401,801
都柏林城市大学,Dublin City University,爱尔兰,410,856,351,901
双威大学,Sunway University,马来西亚,410,578,401,901
比尔肯特大学,Bilkent University,土耳其,415,835,601,-
布拉格捷克技术大学,Czech Technical University in Prague,捷克共和国,416,933,1001,801
维尔茨堡大学,Julius-Maximilians-Universität Würzburg,德国,416,221,163,201
曼海姆大学,Universität Mannheim,德国,416,785,199,-
阿威罗大学,University of Aveiro,葡萄牙,419,604,601,401
斯特拉斯堡大学,Université de Strasbourg,法国,420,333,-,101
国立台北科技大学,National Taipei University of Technology,中国台湾,420,1253,1001,-
瓦伦西亚理工大学,Polytechnic University of Valencia,西班牙,422,667,601,401
默多克大学,Murdoch University,澳大利亚,423,510,401,501
华盛顿州立大学,Washington State University,美国,423,416,401,401
帕维亚大学研究学院,Università degli Studi di Pavia,意大利,423,-,-,-
坦佩雷大学,University of Tampere,芬兰,423,468,301,501
格拉茨科技大学,Graz University of Technology,奥地利,427,1048,601,801
艾克斯 - 马赛大学,Aix-Marseille University,法国,428,226,401,101
邓迪大学,University of Dundee,英国,428,399,301,401
瓦伦西亚大学,Universitat de Valencia,西班牙,430,261,501,201
马萨里克大学,Masaryk University,捷克共和国,430,584,601,401
蒙彼利埃大学,Montpellier University,法国,430,233,351,151
汉诺威莱布尼兹大学,Leibniz University Hannover,德国,433,558,351,401
华东师范大学,East China Normal University,中国,433,230,251,201
国立台湾师范大学,National Taiwan Normal University,中国台湾,435,930,501,-
穆罕默德·本·法赫德王子大学,Prince Mohammad Bin Fahd university,沙特阿拉伯,436,810,251,-
拉蒙鲁尔大学,Universitat Ramon Llull,西班牙,436,1009,801,-
IE大学,IE University,西班牙,438,-,-,-
国立中山大学,National Sun Yat-Sen University,中国台湾,439,1072,601,601
