大学英文名称,学位,专业英文名称,所属院系,所属院系（英文）,面试,判定状态
Washington University in St. Louis,MA,Mathematics ,文理学院,Arts & Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Florida,MS,Mathematics,文理学院,College of Liberal Arts and Sciences,不需要,投票结果-不需要(2票) vs 需要(1票)
University of Florida,PHD,Mathematics,文理学院,College of Liberal Arts and Sciences,,PhD项目-默认跳过
University of Florida,MS,Applied Mathematics,文理学院,College of Liberal Arts and Sciences,不需要,投票结果-不需要(2票) vs 需要(1票)
"University of California, Davis",MS,Applied Mathematics,文学与科学学院,College of Letters and Science,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of California, Davis",PHD,Applied Mathematics,文学与科学学院,College of Letters & Science,,PhD项目-默认跳过
"University of California, Davis",MA,Mathematics,文学与科学学院,College of Letters and Science,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of California, Davis",PHD,Mathematics,文学与科学学院,College of Letters and Science,,PhD项目-默认跳过
"University of California, San Diego",Ph.D,"Computational Science, Mathematics and Engineering",物理科学部,Division of Physical Sciences,,PhD项目-默认跳过
"University of California, San Diego",Ph.D,Ph.D. in Mathematics with a Specialization in Computational Science,物理科学部,School of Physical Sciences,,PhD项目-默认跳过
"University of California, San Diego",Ph.D,Pure Mathematics,物理科学部,School of Physical Sciences,,PhD项目-默认跳过
"University of California, San Diego",Ph.D,Applied Mathematics,物理科学部,School of Physical Sciences,,PhD项目-默认跳过
"University of California, San Diego",MA,M.A. in Applied Mathematics,物理科学部,School of Physical Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of California, San Diego",MA,M.A. in Pure Mathematics,物理科学部,School of Physical Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Southern California,M.A.,Applied Mathematics,文理学院,Dana and David Dornsife College of Letters,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Southern California,M.S.,Applied Mathematics,文理学院,Dana and David Dornsife College of Letters,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Southern California,M.A.,Mathematics,文理学院,Dana and David Dornsife College of Letters,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Southern California,M.A.,Applied Mathematics,文理学院,Dana and David Dornsife College of Letters,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Southern California,M.S.,Applied Mathematics,文理学院,Dana and David Dornsife College of Letters,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Southern California,M.A.,Mathematics,文理学院,Dana and David Dornsife College of Letters,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Southern California,PhD,Applied Mathematics,文理学院,Dana and David Dornsife College of Letters,,PhD项目-默认跳过
University of Southern California,PhD,Mathematics,文理学院,Dana and David Dornsife College of Letters,,PhD项目-默认跳过
"University of Texas, Austin",PHD,Mathematics,自然科学学院,College of Natural Sciences,,PhD项目-默认跳过
"University of Texas, Austin",MA,Mathematics- Actuarial program,自然科学学院,College of Natural Sciences,需要,投票结果-需要(2票) vs 不需要(0票)
"University of Texas, Austin",MSCSEM,"Computational Science, Engineering, and Mathematics",计算工程与科学研究所,Oden Institute,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Texas, Austin",Ph.D.,"Computational Science, Engineering, and Mathematics",计算工程与科学研究所,Oden Institute,,PhD项目-默认跳过
"University of California, Irvine",MS,Mathematics M.S.,物理科学学院,School of Physical Sciences,不需要,投票结果-不需要(2票) vs 需要(0票)
"University of California, Irvine",Ph.D.,Mathematics Ph.D.,物理科学学院,School of Physical Sciences,,PhD项目-默认跳过
"University of California, Irvine",Ph.D.,Logic & Philosophy of Science Ph.D.,社会科学学院,School of Social Sciences,,PhD项目-默认跳过
Georgia Institute of Technology,Ph.D,"Algorithms, Combinatrics, and Optimization",计算机学院,,,PhD项目-默认跳过
Georgia Institute of Technology,M.S.,Mathematics,科学学院,School of Mathematics,不需要,投票结果-不需要(3票) vs 需要(0票)
Georgia Institute of Technology,Ph.D,Mathematics,科学学院,School of Mathematics,,PhD项目-默认跳过
"University of California, Santa Barbara",MA,Applied Mathematics  ,文理学院,Department of Mathematics,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of California, Santa Barbara",MA,Mathematics  ,文理学院,Department of Mathematics,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of California, Santa Barbara",MA/PhD,Mathematics  ,文理学院,Graduate Division,,PhD项目-默认跳过
"University of California, Santa Barbara",PHD,Mathematics  ,文理学院,College of Letters & Science,,PhD项目-默认跳过
New York University,MS,Mathematics,文理研究生院,Graduate School of Arts & Science,不需要,投票结果-不需要(3票) vs 需要(0票)
New York University,MS,Mathematics,文理研究生院,Graduate School of Arts and Science,不需要,投票结果-不需要(2票) vs 需要(1票)
New York University,MS,Mathematics,文理研究生院,Graduate School of Arts and Science,不需要,投票结果-不需要(2票) vs 需要(1票)
New York University,Ph.D,Mathematics,文理研究生院,Graduate School of Arts and Science,,PhD项目-默认跳过
New York University,Ph.D,Mathematics-Atmosphere Ocean Science,文理研究生院,Courant Institute of Mathematical Sciences,,PhD项目-默认跳过
New York University,MS,Mathematics,工程学院,NYU Tandon School of Engineering,需要,投票结果-需要(3票) vs 不需要(0票)
"University of Wisconsin, Madison",MA,Mathematics,文理学院,College of Letters & Science,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Wisconsin, Madison",MA,Mathematics,文理学院,Department of Mathematics,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Wisconsin, Madison",PHD,Mathematics,文理学院,College of Letters & Science,,PhD项目-默认跳过
"University of Illinois, Urbana-Champaign",PHD,Mathematics,文理学院,College of Liberal Arts & Sciences,,PhD项目-默认跳过
"University of Illinois, Urbana-Champaign",PHD,Mathematics:Actuarial Science & Risk Analytics ,文理学院,College of Liberal Arts & Sciences,,PhD项目-默认跳过
"University of Illinois, Urbana-Champaign",MMS,Master's of Mathematical Sciences ,文理学院,College of Liberal Arts & Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Illinois, Urbana-Champaign",MS,"Applied Mathematics, MS",文理学院,College of Liberal Arts & Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
Boston College,Ph.D.,Mathematics,文理学院,Morrissey College of Arts and Sciences,,PhD项目-默认跳过
University of Washington,MS,Applied Mathematics (MS),文理学院,College of Arts & Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Washington,MS,Master of Science in Applied and Computational Mathematics,文理学院,College of Arts & Sciences,不需要,投票结果-不需要(2票) vs 需要(1票)
University of Washington,PHD,Applied Mathematics (PhD),文理学院,College of Arts & Sciences,,PhD项目-默认跳过
University of Washington,PHD,"Ph.D., Applied Mathematics: Advanced Data Science",文理学院,College of Arts & Sciences,,PhD项目-默认跳过
University of Washington,MA,Mathematics (MA) ,文理学院,College of Arts & Sciences,不需要,投票结果-不需要(2票) vs 需要(0票)
University of Washington,MS,Mathematics (MS) ,文理学院,College of Arts & Sciences,不需要,投票结果-不需要(2票) vs 需要(0票)
University of Washington,PHD,Mathematics (PhD) ,文理学院,College of Arts & Sciences,,PhD项目-默认跳过
University of Washington,PHD,Mathematics (PhD) —Data Science Option,文理学院,College of Arts & Sciences,,PhD项目-默认跳过
"Rutgers University, New Brunswick",MS,Mathematics,文理学院,School of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"Rutgers University, New Brunswick",MS,Mathematics,文理学院,School of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"Rutgers University, New Brunswick",PHD,Mathematics,文理学院,School of Graduate Studies,,PhD项目-默认跳过
Tufts University,MS,Mathematics,文理学院,Graduate School of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
Tufts University,PHD,Mathematics,文理学院,Graduate School of Arts and Sciences,,PhD项目-默认跳过
Boston University,MA,mathematics,艺术与科学学院,College of Arts & Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
Boston University,Ph.D,mathematics,艺术与科学学院,College of Arts & Sciences,,PhD项目-默认跳过
"Ohio State University, Columbus",PHD,Mathematics,文理学院,College of Arts and Sciences,,PhD项目-默认跳过
"Purdue University, West Lafayette",MS,Mathematics,理学院,College of Science,不需要,投票结果-不需要(3票) vs 需要(0票)
"Purdue University, West Lafayette",PHD,Mathematics,理学院,,,PhD项目-默认跳过
"Purdue University, West Lafayette",PHD,Mathematical and Computational Psychology,健康与人文科学学院,College of Health and Human Sciences,,PhD项目-默认跳过
"University of Maryland, College Park",MS,Applied Mathematics,计算机、数学与自然科学学院,College of Computer,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Maryland, College Park",PhD,Applied Mathematics,计算机、数学与自然科学学院,College of Computer,,PhD项目-默认跳过
"University of Maryland, College Park",PhD,Mathematics,计算机、数学与自然科学学院,College of Computer,,PhD项目-默认跳过
"Texas A&M University, College Station",Ph.D, Mathematics,文理学院,College of Arts & Sciences,,PhD项目-默认跳过
"Texas A&M University, College Station",Ph.D, Mathematics,文理学院,College of Arts and Sciences,,PhD项目-默认跳过
"Texas A&M University, College Station",MS, Mathematics：Teaching track,文理学院,College of Arts & Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"Texas A&M University, College Station",MS, Mathematics：Teaching track,文理学院,College of Arts & Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"Texas A&M University, College Station",MS, Mathematics,文理学院,College of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"Texas A&M University, College Station",MS,Computational Math,文理学院,College of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"Texas A&M University, College Station",MS,Industrial Math,文理学院,College of Arts & Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"Texas A&M University, College Station",MS,Math Biology,文理学院,College of Arts & Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"Texas A&M University, College Station",MS, Mathematics,文理学院,College of Arts & Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"Texas A&M University, College Station",MS,Computational Math,文理学院,College of Arts & Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"Texas A&M University, College Station",MS,Industrial Math,文理学院,College of Arts & Sciences,不需要,投票结果-不需要(2票) vs 需要(0票)
"Texas A&M University, College Station",MS,Math Biology,文理学院,College of Arts & Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
Virginia Tech,PHD,Mathematics,理学院,College of Science,,PhD项目-默认跳过
Virginia Tech,MS,Mathematics ,理学院,College of Science,不需要,投票结果-不需要(3票) vs 需要(0票)
Lehigh University,Ph.D,Mathematics,文理学院,College of Arts and Sciences,,PhD项目-默认跳过
Lehigh University,MS,Mathematics,文理学院,College of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
Lehigh University,MS,Applied Mathematics,文理学院,College of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
Lehigh University,Ph.D,Applied Mathematics,文理学院,College of Arts and Sciences,,PhD项目-默认跳过
University of Rochester,Ph.D,Mathematics,文理学院,School of Arts & Sciences,,PhD项目-默认跳过
Wake Forest University,MA, Mathematics (MA),文理研究生院,Graduate School of Arts & Sciences,不需要,投票结果-不需要(2票) vs 需要(1票)
University of Georgia,MA,Mathematics,文理学院,Franklin College of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
University of Georgia,PHD,Mathematics,文理学院,Franklin College of Arts and Sciences,,PhD项目-默认跳过
University of Georgia,MS,Master of Applied Mathematical Sciences,文理学院,Franklin College of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
Northeastern University（Boston）,PHD,Math ,科学学院,College of Science,,PhD项目-默认跳过
Northeastern University（Boston）,MS,Applied Math,科学学院,College of Science,不需要,投票结果-不需要(3票) vs 需要(0票)
Northeastern University（Boston）,MS,Applied Math,科学学院,College of Science,不需要,投票结果-不需要(3票) vs 需要(0票)
Northeastern University（Boston）,MS,Math ,科学学院,College of Science,不需要,投票结果-不需要(3票) vs 需要(0票)
Northeastern University（Boston）,MS,Math ,科学学院,College of Science,不需要,投票结果-不需要(3票) vs 需要(0票)
Northeastern University（Boston）,MS,Math  Operations Research,科学学院,College of Science,不需要,投票结果-不需要(3票) vs 需要(0票)
Northeastern University（Boston）,MS,Math  Operations Research,科学学院,College of Science,不需要,投票结果-不需要(3票) vs 需要(0票)
Northeastern University（Boston）,硕士预科项目,Applied Mathematics（College of Science）,Global Pathways项目,College of Science,不需要,投票结果-不需要(3票) vs 需要(0票)
Northeastern University（Boston）,硕士预科项目,Applied Mathematics（College of Science）,Global Pathways项目,College of Science,不需要,投票结果-不需要(3票) vs 需要(0票)
Northeastern University（Boston）,硕士预科项目,Operations Research: Mathematics（College of Science）,Global Pathways项目,College of Science,不需要,投票结果-不需要(3票) vs 需要(0票)
Northeastern University（Boston）,硕士预科项目,Operations Research: Mathematics（College of Science）,Global Pathways项目,College of Science,不需要,投票结果-不需要(3票) vs 需要(0票)
Florida State University,PHD,Pure Mathematics ,文理学院,College of Arts and Sciences,,PhD项目-默认跳过
Florida State University,MS,Pure Mathematics ,文理学院,College of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
Florida State University,PHD,Applied & Computational Mathematics,文理学院,College of Arts and Sciences,,PhD项目-默认跳过
Florida State University,MS,Mathematics,文理学院,College of Arts and Sciences,需要,投票结果-需要(3票) vs 不需要(0票)
Florida State University,MS,Mathematical Statistics,文理学院,College of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
Florida State University,MS,Mathematical Statistics,文理学院,College of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
Case Western Reserve University,MS ,Mathematics,文理学院,College of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
Case Western Reserve University,PhD,Mathematics,文理学院,College of Arts and Sciences,,PhD项目-默认跳过
Case Western Reserve University,Ph.D,Applied Mathematics,文理学院,College of Arts and Sciences,,PhD项目-默认跳过
Case Western Reserve University,MS,Applied Mathematics,文理学院,College of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Minnesota, Twin Cities",PHD,Mathematics Ph.D.,理工学院,College of Science and Engineering,,PhD项目-默认跳过
"University of Minnesota, Twin Cities",MS,MS Mathematics: Data Science,理工学院,College of Science and Engineering,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Minnesota, Twin Cities",MS,MS Mathematics: Industrial and Applied Mathematics,理工学院,College of Science and Engineering,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Minnesota, Twin Cities",MS,MS Mathematics: Math Education ,理工学院,College of Science and Engineering,不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Minnesota, Twin Cities",MS,MS Mathematics,理工学院,College of Science & Engineering,不需要,投票结果-不需要(3票) vs 需要(0票)
College of William & Mary,MS,Applied Science—Applied Mathematics,文理学院,School of Computing,不需要,投票结果-不需要(3票) vs 需要(0票)
College of William & Mary,MS,Applied Science—Mathematical and Computational Biology,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票)
College of William & Mary,Ph.D,Applied Science—Applied Mathematics,文理学院,School of Computing,,PhD项目-默认跳过
College of William & Mary,Ph.D,Applied Science—Mathematical and Computational Biology,文理学院,School of Computing,,PhD项目-默认跳过
College of William & Mary,MS,Applied Science—Applied Mathematics,文理学院,School of Computing,不需要,投票结果-不需要(3票) vs 需要(0票)
College of William & Mary,MS,Applied Science—Mathematical and Computational Biology,文理学院,College of Arts & Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
College of William & Mary,Ph.D,Applied Science—Applied Mathematics,文理学院,School of Computing,,PhD项目-默认跳过
College of William & Mary,Ph.D,Applied Science—Mathematical and Computational Biology,文理学院,School of Computing,,PhD项目-默认跳过
University of Connecticut,M.S.,Mathematics,文理学院,College of Liberal Arts and Sciences,不需要,投票结果-不需要(2票) vs 需要(0票)
University of Connecticut,Ph.D.,Mathematics,文理学院,College of Liberal Arts and Sciences,,PhD项目-默认跳过
"Stony Brook University, SUNY",PHD,Mathematics,文理学院,College of Arts and Sciences,,PhD项目-默认跳过
"Stony Brook University, SUNY",MA,Mathematics,文理学院,College of Arts and Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"Stony Brook University, SUNY",MS,Computational Applied Mathematics  ,工程与应用科学学院,College of Engineering and Applied Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"Stony Brook University, SUNY",PHD,Computational Applied Mathematics  ,工程与应用科学学院,,,PhD项目-默认跳过
"Stony Brook University, SUNY",MS,Computational Applied Mathematics  ,工程与应用科学学院,College of Engineering and Applied Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"Stony Brook University, SUNY",PHD,Computational Applied Mathematics  ,工程与应用科学学院,College of Engineering and Applied Sciences,,PhD项目-默认跳过
"North Carolina State University, Raleigh",MS,Applied Mathematics,科学学院,College of Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"North Carolina State University, Raleigh",MS,Applied Mathematics,科学学院,College of Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"North Carolina State University, Raleigh",MS,Mathematics,科学学院,College of Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
"North Carolina State University, Raleigh",MS,Mathematics,科学学院,College of Sciences,不需要,投票结果-不需要(3票) vs 需要(0票)
