大学英文名称,学位,专业英文名称,所属院系,所属院系（英文）,招生网址,专业网址,所属院系网址,学费
Northwestern University,PhD,Engineering Sciences and Applied Mathematics,工程与应用科学学院,McCormick School of Engineering and Applied Science,https://www.mccormick.northwestern.edu/applied-math/academics/graduate/phd/admissions.html,https://www.mccormick.northwestern.edu/applied-math/academics/graduate/phd/,https://www.mccormick.northwestern.edu,
Northwestern University,PhD,Mathematics,文理学院,Weinberg College of Arts and Sciences,https://www.math.northwestern.edu/graduate/application.html,https://www.math.northwestern.edu/graduate/,https://weinberg.northwestern.edu/,
Johns Hopkins University,PHD,Mathematics,艺术与科学学院,Krieger School of Arts & Sciences,https://mathematics.jhu.edu/graduate/admissions/,https://mathematics.jhu.edu/graduate/,https://krieger.jhu.edu,
Johns Hopkins University,MSE,Applied Mathematics and Statistics,工程学院,Johns Hopkins Whiting School of Engineering,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/ms-in-applied-mathematics-and-statistics/,https://engineering.jhu.edu,
Johns Hopkins University,MSE,Applied Mathematics and Statistics,工程学院,Whiting School of Engineering,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/ms-in-applied-mathematics-and-statistics/,https://engineering.jhu.edu,
Johns Hopkins University,PHD,Applied Mathematics and Statistics,工程学院,Whiting School of Engineering,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/doctoral-program/,https://engineering.jhu.edu,
Johns Hopkins University,PHD,Applied Mathematics and Statistics,工程学院,Whiting School of Engineering,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/doctoral-program/,https://engineering.jhu.edu/,
Columbia University,MS,Applied Mathematics,工程与应用科学研究生学院,The Fu Foundation School of Engineering and Applied Science,https://www.gradengineering.columbia.edu/graduate-admissions/application-requirements,https://www.apam.columbia.edu/applied-mathematics-graduate-programs,https://engineering.columbia.edu,
Columbia University,MS,Applied Mathematics,工程与应用科学研究生学院,The Fu Foundation School of Engineering and Applied Science,https://www.gradengineering.columbia.edu/graduate-admissions/application-requirements,https://www.apam.columbia.edu/applied-mathematics-graduate-programs,https://engineering.columbia.edu,
Columbia University,MS/PHD,Applied Mathematics,工程与应用科学研究生学院,The Fu Foundation School of Engineering and Applied Science,https://www.gradengineering.columbia.edu/graduate-admissions/application-requirements,https://www.apam.columbia.edu/applied-mathematics-graduate-programs,https://engineering.columbia.edu,
Columbia University,PhD,Applied Mathematics,工程与应用科学研究生学院,The Fu Foundation School of Engineering and Applied Science,https://www.gradengineering.columbia.edu/graduate-admissions/application-requirements,https://www.apam.columbia.edu/applied-mathematics-graduate-programs,https://engineering.columbia.edu,
Columbia University,PhD,Mathematics,艺术与科学研究生院,Graduate School of Arts and Sciences,https://www.gsas.columbia.edu/content/mathematics,https://www.math.columbia.edu/programs-math/graduate-program/,https://www.gsas.columbia.edu,
Columbia University,MA,Mathematics with a Specialization in the Mathematics of Finance,艺术与科学研究生院,Graduate School of Arts and Sciences,https://www.gsas.columbia.edu/content/mathematics-specialization-mathematics-finance,https://www.math.columbia.edu/mafn/,https://www.gsas.columbia.edu,
Cornell University,Ph.D.,Applied Mathematics (Ph.D.) ,应用数学中心,Graduate School,https://gradschool.cornell.edu/academics/fields-of-study/subject/applied-mathematics/applied-mathematics-phd-ithaca/,https://www.cam.cornell.edu/cam/academics/phd-program,https://gradschool.cornell.edu,
Cornell University,Ph.D.,Mathematics (Ph.D.) ,文理学院,The College of Arts & Sciences,https://gradschool.cornell.edu/academics/fields-of-study/subject/mathematics/mathematics-phd-ithaca/,https://math.cornell.edu/phd,https://arts.cornell.edu,
University of Chicago,MS,Computational and Applied Mathematics,物理科学部,Physical Sciences Division,https://voices.uchicago.edu/cammasters/prospectivestudents/,https://voices.uchicago.edu/cammasters/,https://physicalsciences.uchicago.edu/,
University of Chicago,Ph.D,Computational and Applied Mathematics,物理科学部,Physical Sciences Division,https://cam.uchicago.edu/academics/how-to-apply/,https://cam.uchicago.edu/academics/graduate-programs/phd-program/,https://physicalsciences.uchicago.edu,
University of Chicago,Joint  PhD,Ph. D. in Mathematics and Computer Science,物理科学部,Physical Sciences Division,https://cs.uchicago.edu/academics/phd/joint-math-cs-phd/,https://cs.uchicago.edu/academics/phd/joint-math-cs-phd/,https://psd.uchicago.edu,
University of Chicago,Ph.D,Mathematics,物理科学部,Physical Sciences Division,https://mathematics.uchicago.edu/graduate/mathematics-phd-program/how-to-apply/,https://mathematics.uchicago.edu/graduate/mathematics-phd-program/,https://psd.uchicago.edu,
University of Chicago,MS-PSD,Mathematics,物理科学部,Physical Sciences Division,https://mspsd.uchicago.edu/application-information/,https://mspsd.uchicago.edu/,https://physicalsciences.uchicago.edu,
"University of California, Berkeley",Ph.D.,Applied Mathematics,数学系,Department of Mathematics,https://grad.berkeley.edu/program/applied-mathematics/,https://math.berkeley.edu/graduate/phd-program,https://math.berkeley.edu,
"University of California, Berkeley",Ph.D,Mathematics,数学系,Department of Mathematics,https://grad.berkeley.edu/program/mathematics/,https://math.berkeley.edu/graduate/phd-program,https://math.berkeley.edu,
"University of California, Berkeley",Ph.D.,Applied Science & Technology,应用科学与技术项目,College of Engineering,https://grad.berkeley.edu/program/applied-science-tech/,https://ast.berkeley.edu/,https://engineering.berkeley.edu,
"University of California, Berkeley",Ph.D.,Logic & the Methodology of Science,逻辑与科学方法论小组,Group in Logic and the Methodology of Science,https://grad.berkeley.edu/program/logic-the-methodology-of-science/,https://logic.berkeley.edu/,https://logic.berkeley.edu/,
"University of California, Los Angeles",PHD,Mathematics,物理科学学院,Division of Physical Sciences,https://grad.ucla.edu/programs/physical-sciences/mathematics/,https://ww3.math.ucla.edu/overview-2/,https://physicalsciences.ucla.edu,
"University of California, Los Angeles",MA,Mathematics,物理科学学院,UCLA College of Letters and Science,https://grad.ucla.edu/programs/physical-sciences/mathematics/,https://ww3.math.ucla.edu/overview-2/,https://college.ucla.edu/,
Rice University,Ph.D.,Computational and Applied Mathematics,工程学院,George R. Brown School of Engineering and Computing,https://cmor.rice.edu/academics/graduate-programs/graduate-admissions,https://cmor.rice.edu/academics/graduate-programs/phd-program,https://engineering.rice.edu,
Rice University,M.C.A.A.M.,The Professional Master's of Computational and Applied Mathematics,工程学院,George R. Brown School of Engineering,https://cmor.rice.edu/academics/graduate-programs/graduate-admissions,https://cmor.rice.edu/academics/graduate-programs/professional-masters-programs,https://engineering.rice.edu,
Rice University,PHD,Mathematics,自然科学学院,The Wiess School of Natural Sciences,https://math.rice.edu/application-procedure,https://math.rice.edu/graduate-program,https://naturalsciences.rice.edu,
Dartmouth College,PHD,Mathematics,研究生院,Guarini School of Graduate and Advanced Studies,https://math.dartmouth.edu/graduate-students/appl-info/,https://math.dartmouth.edu/graduate-students/,https://graduate.dartmouth.edu,
Vanderbilt University,MA,Mathematics,文理学院,College of Arts and Science,https://as.vanderbilt.edu/math/graduate/info_for_prospective_students/,https://as.vanderbilt.edu/math/graduate/about/,https://as.vanderbilt.edu,
Vanderbilt University,PHD,Mathematics,文理学院,College of Arts and Science,https://as.vanderbilt.edu/math/graduate/info_for_prospective_students/,https://as.vanderbilt.edu/math/graduate/about/,https://as.vanderbilt.edu,
" 
University of Notre Dame",M.S.,Applied and Computational Mathematics ,理学院,College of Science,https://graduateschool.nd.edu/degree-programs/applied-and-computational-mathematics-and-statistics-ms---masters-professional/,https://acms.nd.edu/graduate/professional-masters-programs/,https://science.nd.edu/,
" 
University of Notre Dame",M.S.,Applied and Computational Mathematics ,理学院,College of Science,https://graduateschool.nd.edu/degree-programs/applied-and-computational-mathematics-and-statistics-ms---masters-professional/,https://acms.nd.edu/graduate/professional-masters-programs/,https://science.nd.edu/,
" 
University of Notre Dame",Ph.D.,Applied and Computational Mathematics and Statistics,理学院,College of Science,https://graduateschool.nd.edu/degree-programs/applied-and-computational-mathematics-and-statistics-phd---doctoral/,https://acms.nd.edu/graduate/phd-programs/,https://science.nd.edu/,
" 
University of Notre Dame",Ph.D.,Mathematics,理学院,College of Science,https://graduateschool.nd.edu/degree-programs/mathematics-phd---doctoral/,https://math.nd.edu/graduate/,https://science.nd.edu/,
"University of Michigan, Ann Arbor",Ph.D,Applied and Interdisciplinary Mathematics,文化、科学与艺术学院,College of Literature,https://lsa.umich.edu/math/graduates/Admissions/applying.html,https://lsa.umich.edu/math/graduates/GraduateStudentHandbook/applied-and-interdisciplinary-mathematics--aim-.html,https://lsa.umich.edu,
"University of Michigan, Ann Arbor",Ph.D,Mathematics,文化、科学与艺术学院,College of Literature,https://lsa.umich.edu/math/graduates/Admissions/applying.html,https://lsa.umich.edu/math/graduates/GraduateStudentHandbook/ph-d-programs1.html,https://lsa.umich.edu,
"University of Michigan, Ann Arbor",MS,Applied and Interdisciplinary Mathematics,文化、科学与艺术学院,,https://lsa.umich.edu/math/graduates/Admissions/applying1.html,https://lsa.umich.edu/math/graduates/GraduateStudentHandbook/aim-masters.html,,
"University of Michigan, Ann Arbor",MS,General Mathematics Master's Program,文化、科学与艺术学院,College of Literature,https://lsa.umich.edu/math/graduates/Admissions/applying1.html,https://lsa.umich.edu/math/graduates/GraduateStudentHandbook/mathematics-master-s-degree.html,https://lsa.umich.edu,
"University of Michigan, Ann Arbor",MS,Applied Mathematics Master's Program,文化、科学与艺术学院,College of Literature,https://lsa.umich.edu/math/graduates/Admissions/applying1.html,https://lsa.umich.edu/math/graduates/GraduateStudentHandbook/mathematics-master-s-degree.html,https://lsa.umich.edu,
"University of Michigan, Ann Arbor",MS,Actuarial Mathematics Master's Program,文化、科学与艺术学院,College of Literature,https://lsa.umich.edu/math/graduates/Admissions/applying1.html,https://lsa.umich.edu/math/graduates/GraduateStudentHandbook/mathematics-master-s-degree.html,https://lsa.umich.edu,
"University of North Carolina, Chapel Hill",Ph.D,Mathematics,文理学院,Department of Mathematics,https://gradschool.sites.unc.edu/mathematics/,https://math.unc.edu/graduates/ph-d-requirements/,https://math.unc.edu,
"University of North Carolina, Chapel Hill",MS,Mathematics,文理学院,The Graduate School,https://gradschool.sites.unc.edu/mathematics/,https://math.unc.edu/graduates/masters-requirements/,https://gradschool.unc.edu/,
"University of North Carolina, Chapel Hill",MA,Mathematics,文理学院,College of Arts and Sciences,https://gradschool.sites.unc.edu/mathematics/,https://math.unc.edu/graduates/masters-requirements/,https://college.unc.edu,
Georgetown University,PHD,PhD program in Applied Mathematics,文理研究生院,College of Arts & Sciences,https://grad.georgetown.edu/mathematics-and-statistics/#admissions-requirements,https://mathstat.georgetown.edu/phd-program/,https://college.georgetown.edu,
Georgetown University,M.S.,Mathematics & Statistics ,文理研究生院,College of Arts & Sciences,https://grad.georgetown.edu/mathematics-and-statistics/,https://mathstat.georgetown.edu/graduate/,https://college.georgetown.edu,
Georgetown University,M.S.,Mathematics & Statistics ,文理研究生院,College of Arts & Sciences,https://grad.georgetown.edu/mathematics-and-statistics/,https://mathstat.georgetown.edu/graduate/,https://college.georgetown.edu,
Emory University,PhD,Mathematics,研究生院,Laney Graduate School,https://math.emory.edu/graduate/admissions/,https://math.emory.edu/graduate/general-information/,http://www.gs.emory.edu/,
Emory University,MS,Mathematics,研究生院,Emory College of Arts and Sciences,https://math.emory.edu/graduate/admissions/,https://math.emory.edu/graduate/general-information/,https://college.emory.edu,
University of Virginia,PHD,MATHEMATICS,文理研究生院,Graduate School of Arts and Sciences,https://graduate.as.virginia.edu/requirements,https://math.virginia.edu/graduate/,https://graduate.as.virginia.edu,
Carnegie Mellon University,Ph.D.,Pure and Applied Logic,人文与社会科学学院,Dietrich College of Humanities and Social Sciences,https://www.cmu.edu/dietrich/philosophy/graduate/graduate-application/index.html,https://www.cmu.edu/dietrich/philosophy/graduate/index.html,https://www.cmu.edu/dietrich/,
Carnegie Mellon University,Ph.D.,"Doctor of Philosophy in Algorithms, Combinatorics, and Optimization (ACO)",科学学院,Mellon College of Science,https://www.cmu.edu/math/grad/phd/admissions.html,https://www.cmu.edu/math/grad/phd/index.html,https://www.cmu.edu/mcs/,
Carnegie Mellon University,Ph.D.,Doctor of Philosophy in Mathematical Sciences,科学学院,Mellon College of Science,https://www.cmu.edu/math/grad/phd/admissions.html,https://www.cmu.edu/math/grad/phd/index.html,https://www.cmu.edu/mcs/,
Carnegie Mellon University,DAM,Doctor of Arts in Mathematical Sciences,科学学院,Mellon College of Science,https://www.cmu.edu/math/grad/phd/admissions.html,https://www.cmu.edu/math/grad/phd/index.html,https://www.cmu.edu/mcs/,
Washington University in St. Louis,MS,Systems Science & Mathematics,工程学院,McKelvey School of Engineering,https://engineering.wustl.edu/academics/graduate-admissions/application-checklist.html,https://ese.wustl.edu/academics/graduate-programs/masters-and-certificates/MS-in-Systems-Science-Mathematics.html,https://engineering.wustl.edu,
Washington University in St. Louis,MS,Systems Science & Mathematics,工程学院,McKelvey School of Engineering,https://engineering.wustl.edu/academics/graduate-admissions/application-checklist.html,https://ese.wustl.edu/academics/graduate-programs/masters-and-certificates/MS-in-Systems-Science-Mathematics.html,https://engineering.wustl.edu,
Washington University in St. Louis,PHD,Project Management,工程学院,McKelvey School of Engineering,https://engineering.wustl.edu/academics/graduate-admissions/application-checklist.html,https://ese.wustl.edu/academics/graduate-programs/doctoral/PhD-in-Systems-Science-Mathematics.html,https://engineering.wustl.edu,
Washington University in St. Louis,DSc,Project Management,工程学院,McKelvey School of Engineering,https://engineering.wustl.edu/academics/graduate-admissions/application-checklist.html,https://ese.wustl.edu/academics/graduate-programs/doctoral/DSc-in-Systems-Science-Mathematics.html,https://engineering.wustl.edu,
Washington University in St. Louis,PHD,Mathematics ,文理学院,Arts & Sciences,https://math.wustl.edu/graduate-application-information,https://math.wustl.edu/graduate-degree-programs-requirements,https://artsci.wustl.edu/,
Washington University in St. Louis,MA,Mathematics ,文理学院,Arts & Sciences,https://math.wustl.edu/graduate-application-information,https://math.wustl.edu/graduate-degree-programs-requirements,https://artsci.wustl.edu,
University of Florida,MS,Mathematics,文理学院,College of Liberal Arts and Sciences,https://math.ufl.edu/graduate-studies-in-mathematics/admission-to-the-mathematics-graduate-program/,https://math.ufl.edu/graduate-studies-in-mathematics/,https://clas.ufl.edu,
University of Florida,PHD,Mathematics,文理学院,College of Liberal Arts and Sciences,https://math.ufl.edu/graduate-studies-in-mathematics/admission-to-the-mathematics-graduate-program/,https://math.ufl.edu/graduate-studies-in-mathematics/,https://clas.ufl.edu/,
University of Florida,MS,Applied Mathematics,文理学院,College of Liberal Arts and Sciences,https://math.ufl.edu/graduate-studies-in-mathematics/admission-to-the-mathematics-graduate-program/,https://math.ufl.edu/graduate-studies-in-mathematics/,https://clas.ufl.edu,
"University of California, Davis",MS,Applied Mathematics,文学与科学学院,College of Letters and Science,https://www.math.ucdavis.edu/grad/apply,https://appliedmath.ucdavis.edu/graduate,https://lettersandscience.ucdavis.edu,
"University of California, Davis",PHD,Applied Mathematics,文学与科学学院,College of Letters & Science,https://www.math.ucdavis.edu/grad/apply,https://appliedmath.ucdavis.edu/graduate,https://lettersandscience.ucdavis.edu,
"University of California, Davis",MA,Mathematics,文学与科学学院,College of Letters and Science,https://www.math.ucdavis.edu/grad/apply,https://www.math.ucdavis.edu/grad/gpc,https://lettersandscience.ucdavis.edu,
"University of California, Davis",PHD,Mathematics,文学与科学学院,College of Letters and Science,https://www.math.ucdavis.edu/grad/apply,https://www.math.ucdavis.edu/grad/gpc,https://lettersandscience.ucdavis.edu,
"University of California, San Diego",Ph.D,"Computational Science, Mathematics and Engineering",物理科学部,Division of Physical Sciences,https://csme.ucsd.edu/admission/index.html,https://csme.ucsd.edu/csme-phd/index.html,https://physicalsciences.ucsd.edu,
"University of California, San Diego",Ph.D,Ph.D. in Mathematics with a Specialization in Computational Science,物理科学部,School of Physical Sciences,https://math.ucsd.edu/students/graduate/how-to-apply,https://math.ucsd.edu/students/graduate/phd-mathematics,https://physicalsciences.ucsd.edu,
"University of California, San Diego",Ph.D,Pure Mathematics,物理科学部,School of Physical Sciences,https://math.ucsd.edu/students/graduate/how-to-apply,https://math.ucsd.edu/students/graduate/phd-mathematics,https://physicalsciences.ucsd.edu,
"University of California, San Diego",Ph.D,Applied Mathematics,物理科学部,School of Physical Sciences,https://math.ucsd.edu/students/graduate/how-to-apply,https://math.ucsd.edu/students/graduate/phd-mathematics,https://physicalsciences.ucsd.edu,
"University of California, San Diego",MA,M.A. in Applied Mathematics,物理科学部,School of Physical Sciences,https://math.ucsd.edu/students/graduate/how-to-apply,https://math.ucsd.edu/students/graduate/ma-applied-mathematics,https://physicalsciences.ucsd.edu,
"University of California, San Diego",MA,M.A. in Pure Mathematics,物理科学部,School of Physical Sciences,https://math.ucsd.edu/students/graduate/how-to-apply,https://math.ucsd.edu/students/graduate/ma-pure-mathematics,https://physicalsciences.ucsd.edu,
University of Southern California,M.A.,Applied Mathematics,文理学院,Dana and David Dornsife College of Letters,https://dornsife.usc.edu/mathematics/admissions/,https://dornsife.usc.edu/mathematics/degree-requirements/,https://dornsife.usc.edu,
University of Southern California,M.S.,Applied Mathematics,文理学院,Dana and David Dornsife College of Letters,https://dornsife.usc.edu/mathematics/admissions/,https://dornsife.usc.edu/mathematics/degree-requirements/,https://dornsife.usc.edu,
University of Southern California,M.A.,Mathematics,文理学院,Dana and David Dornsife College of Letters,https://dornsife.usc.edu/mathematics/admissions/,https://dornsife.usc.edu/mathematics/degree-requirements/,https://dornsife.usc.edu,
University of Southern California,M.A.,Applied Mathematics,文理学院,Dana and David Dornsife College of Letters,https://dornsife.usc.edu/mathematics/admissions/,https://dornsife.usc.edu/mathematics/degree-requirements/,https://dornsife.usc.edu,
University of Southern California,M.S.,Applied Mathematics,文理学院,Dana and David Dornsife College of Letters,https://dornsife.usc.edu/mathematics/admissions/,https://dornsife.usc.edu/mathematics/degree-requirements/,https://dornsife.usc.edu,
University of Southern California,M.A.,Mathematics,文理学院,Dana and David Dornsife College of Letters,https://dornsife.usc.edu/mathematics/admissions/,https://dornsife.usc.edu/mathematics/degree-requirements/,https://dornsife.usc.edu,
University of Southern California,PhD,Applied Mathematics,文理学院,Dana and David Dornsife College of Letters,https://dornsife.usc.edu/mathematics/admissions/,https://dornsife.usc.edu/mathematics/degree-requirements/,https://dornsife.usc.edu,
University of Southern California,PhD,Mathematics,文理学院,Dana and David Dornsife College of Letters,https://dornsife.usc.edu/mathematics/admissions/,https://dornsife.usc.edu/mathematics/degree-requirements/,https://dornsife.usc.edu,
"University of Texas, Austin",PHD,Mathematics,自然科学学院,College of Natural Sciences,https://www.ma.utexas.edu/academics/graduate/admissions,https://www.ma.utexas.edu/academics/graduate/,https://cns.utexas.edu,
"University of Texas, Austin",MA,Mathematics- Actuarial program,自然科学学院,College of Natural Sciences,https://www.ma.utexas.edu/academics/graduate/admissions,https://www.ma.utexas.edu/academics/graduate/,https://cns.utexas.edu,
"University of Texas, Austin",MSCSEM,"Computational Science, Engineering, and Mathematics",计算工程与科学研究所,Oden Institute,https://www.oden.utexas.edu/academics/prospective-students/how-to-apply/,https://www.oden.utexas.edu/academics/masters-program/,https://www.oden.utexas.edu,
"University of Texas, Austin",Ph.D.,"Computational Science, Engineering, and Mathematics",计算工程与科学研究所,Oden Institute,https://www.oden.utexas.edu/academics/prospective-students/how-to-apply/,https://www.oden.utexas.edu/academics/phd-program/,https://www.oden.utexas.edu,
"University of California, Irvine",MS,Mathematics M.S.,物理科学学院,School of Physical Sciences,https://www.math.uci.edu/admission,https://www.math.uci.edu/graduate,https://ps.uci.edu/,
"University of California, Irvine",Ph.D.,Mathematics Ph.D.,物理科学学院,School of Physical Sciences,https://www.math.uci.edu/admission,https://www.math.uci.edu/graduate,https://ps.uci.edu/,
"University of California, Irvine",Ph.D.,Logic & Philosophy of Science Ph.D.,社会科学学院,School of Social Sciences,https://www.lps.uci.edu/grad/admissions.php,https://www.lps.uci.edu/grad/overview.php,https://www.socsci.uci.edu/,
Georgia Institute of Technology,Ph.D,"Algorithms, Combinatrics, and Optimization",计算机学院,,https://aco.gatech.edu/admissions/admission-aco-program,https://aco.gatech.edu/,,
Georgia Institute of Technology,M.S.,Mathematics,科学学院,School of Mathematics,https://grad.gatech.edu/degree-programs/mathematics,https://math.gatech.edu/graduate/graduate-programs,https://math.gatech.edu/,
Georgia Institute of Technology,Ph.D,Mathematics,科学学院,School of Mathematics,https://grad.gatech.edu/degree-programs/mathematics,https://math.gatech.edu/graduate/graduate-programs,https://math.gatech.edu,
"University of California, Santa Barbara",MA,Applied Mathematics  ,文理学院,Department of Mathematics,https://www.graddiv.ucsb.edu/graduate-programs/departments/applied-mathematics,https://www.math.ucsb.edu/graduate/masters,https://www.math.ucsb.edu/graduate,
"University of California, Santa Barbara",MA,Mathematics  ,文理学院,Department of Mathematics,https://www.graddiv.ucsb.edu/graduate-programs/departments/mathematics,https://www.math.ucsb.edu/graduate/masters,https://www.math.ucsb.edu,
"University of California, Santa Barbara",MA/PhD,Mathematics  ,文理学院,Graduate Division,https://www.graddiv.ucsb.edu/graduate-programs/departments/mathematics,https://www.math.ucsb.edu/graduate/phd,https://www.graddiv.ucsb.edu,
"University of California, Santa Barbara",PHD,Mathematics  ,文理学院,College of Letters & Science,https://www.graddiv.ucsb.edu/graduate-programs/departments/mathematics,https://www.math.ucsb.edu/graduate/phd,https://college.ucsb.edu,
New York University,MS,Mathematics,文理研究生院,Graduate School of Arts & Science,https://gsas.nyu.edu/admissions/arc/programs/mathematics.html,https://math.nyu.edu/dynamic/graduate/ms-gsas/ms-mathematics/,https://gsas.nyu.edu,
New York University,MS,Mathematics,文理研究生院,Graduate School of Arts and Science,https://gsas.nyu.edu/admissions/arc/programs/mathematics.html,https://math.nyu.edu/dynamic/graduate/ms-gsas/ms-mathematics/,https://gsas.nyu.edu,
New York University,MS,Mathematics,文理研究生院,Graduate School of Arts and Science,https://gsas.nyu.edu/admissions/arc/programs/mathematics.html,https://math.nyu.edu/dynamic/graduate/ms-gsas/ms-mathematics/,https://gsas.nyu.edu,
