univ_rank,univ_name,city,degree_detail,program_name,program_detail,program_length,application_fee_usd,terms_start,deadline,gpa_req,toefl_req,ielts_req,gre_req,gmat_req,academic_background,material_requirements,admission_url,program_url,more_info,course_url,interview,application_fee_waiver,department,department_url,recommendation_letters,ets_code,tags,professional_program,grad_requirement
7,Duke University,"Durham, NC",MS,Electrical and Computer Engineering-Machine Learning & Big Data,,1.5-2年,$95,秋季,1月16日,要求,90,7,可选,不接受,,Transcripts；Letters of recommendation；Statement of purpose；Resume,https://gradschool.duke.edu/academics/programs-degrees/electrical-and-computer-engineering-ms/,https://ece.duke.edu/academics/masters/ms/,"• Flexible curriculum: coursework-only, project, or thesis options for degree completion.
• Machine Learning & Big Data specialization: core focus within broad ECE research themes.
• Interdisciplinary research opportunities: connections across engineering, computer science, natural sciences, and medical school.
• Professional development: internships and teaching assistantships available.
- Additional deadlines: 2月27日",,需要,not applicable,Pratt School of Engineering,https://pratt.duke.edu,3 letters of recommendation,5156,"Electrical Engineering, Computer Engineering, Interdisciplinary, Machine Learning & Big Data, Quantum Computing",non-professional,"Students can choose from a final exam, a project with a written report and oral presentation, or a thesis with a written thesis and oral defense."
7,Duke University,"Durham, NC",Meng,Electrical and Computer Engineering-Machine Learning & Big Data,,1.5-2年,$75,秋季,1月15日,过往均分3.6-3.9,要求，过往均分102-109,要求，过往均分7.0-7.5,可选，过往均分V155-162;Q168-170,不接受,Duolingo首选，过往均分115-130,Transcripts；Letters of recommendation；Statement of purpose；Resume,https://masters.pratt.duke.edu/apply/requirements/,https://ece.duke.edu/academics/masters/meng/,"• Industry-focused curriculum: integrates business fundamentals and high-tech management with advanced technical training.
• Mandatory industry internship: provides practical experience and professional development support.
• Machine Learning & Big Data specialization: emphasizes mathematical foundations, programming, and advanced ML techniques.
• Flexible, individualized curriculum: offers diverse study tracks and project-based learning opportunities.
- Additional deadlines: 3月15日",,需要,not applicable,Pratt School of Engineering,https://pratt.duke.edu,3 letters of recommendation,5156,"Engineering, Computer Science, Machine Learning/Ai, Mathematics/Statistics, Interdisciplinary",professional,Industry internship and ECE Master's Success Weekly Seminar are required.
7,Duke University,"Durham, NC",MS,Statistical Science（Data Science & Analytics ）,,2年,$95,秋季,1月6日,过往均分3.8,90,7,要求，过往均分V160+Q168,不接受,,Transcripts；Letters of recommendation；Statement of purpose；Resume,https://gradschool.duke.edu/academics/programs-degrees/statistical-science-ms/,https://stat.duke.edu/ms/ms-focus-areas-tracks,"• Advanced curriculum in stochastic model-based inference, Bayesian, and machine learning for massive data.
• Interdisciplinary applications across biomedical sciences, business, economics, and engineering fields.
• Year-long capstone project providing practical solutions for real clients with faculty mentorship.
• Robust career services including industry partnerships, internships, and professional development resources.
• Impressive career outcomes: 2024 graduates averaged $131,250 base salary in diverse roles like data scientist.",https://stat.duke.edu/ms/mss/program-requirements,不需要,not applicable,The Graduate School,https://gradschool.duke.edu,3 letters of recommendation,5156,"Statistics, Interdisciplinary, Machine Learning, Bayesian Methods, Data Science",non-professional,"A Master's thesis, Master's portfolio, or Master's capstone project is required, each culminating in an oral completion exam."
7,Duke University,"Durham, NC",MS,Interdisciplinary Data Science,,2年,$95,秋季,2月13日,要求,90,7,可选,不接受,,Transcripts；Letters of recommendation；Statement of purpose；Resume； writing sample,https://gradschool.duke.edu/academics/programs-degrees/master-interdisciplinary-data-science/,https://datascience.duke.edu/,"• Interdisciplinary curriculum combines rigorous computational training with field knowledge.
• Capstone projects provide real-world experience with non-academic stakeholders.
• Team-based science approach emphasizes collaborative leadership and communication skills.
• Summer internships offer practical experience and industry engagement.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFWIRaYDJ5oHTWIW7HtQqn6eB0t5GmMlD7p8CIAWuxwPIvESXC2qQjywlRMHG79qO9iXw8G8fanNT78XG3SPLP93PeQBOArcqWWjTrQuHMBjQ9XwIAkQqdMlFsJwID4yGJS2wMdtss1Sqq0KBbZWhETUyfr8mpptSOOaDG9R_DBAbQ=,需要,,The Graduate School,https://gradschool.duke.edu,3 letters of recommendation,5156,"Data Science, Interdisciplinary, Computational Training, Technical Training, Teamwork",non-professional,Capstone project required.
7,Duke University,"Durham, NC",MENG,Electrical and Computer Engineering,软件开发; 大数据分析,,$95,秋季,12 月 15 日,要求，过往均分3.7,90,7,24年可选,不接受,,Transcripts；Letters of recommendation；Statement of purpose；Resume,https://iapse.dukekunshan.edu.cn/ece/admissions/how-to-apply/,https://iapse.dukekunshan.edu.cn/ece/,"• Industry-focused curriculum integrating technical classes with business leadership and management.
• Required internship or project provides practical experience for IT industry roles.
• Dedicated career services and professional development team supports job and internship searches.
• Curriculum adaptable for students without prior engineering or computer science degrees.
- Additional deadlines: 1月 15 日",,需要,applicable,Pratt School of Engineering,https://pratt.duke.edu,3 letters of recommendation,5156,"Electrical Engineering, Computer Engineering, Interdisciplinary, Software Development, Big Data Analysis",non-professional,An industry internship and a master of engineering project with assessment are required.
9," 
Brown University","Providence, RI",MS,Data Science,通过研究数学，统计学和计算机科学中的相关主题，包括机器学习，数据挖掘，安全和隐私，可视化，以及数据科学的方法和算法，提供基本的理解,,$100,秋季,2 月 1 日,要求,90,7,不要求,不接受,建议进入该课程的学生至少完成一年的微积分，一个学期的线性代数（，一个学期的微积分概率和统计，以及编程介绍。我们还承认缺乏线性代数，概率和统计学以及计算机科学中一项或多项最低要求的优秀学生。这些学生将在课程开始前在布朗或其他地方参加课程以达到必要的准备,Personal Statement ;Transcripts;Letters of Recommendation ;Resume,https://graduateprograms.brown.edu/graduate-program/data-science-scm,https://dsi.brown.edu/academics/masters-degree,"• Integrated curriculum: foundational computer science, mathematics, statistics, and domain-specific knowledge.
• Core technical areas: machine learning, data mining, visualization, and data management.
• Experiential capstone project: hands-on application of data science methods to real-world problems.
• Ethical and societal implications: addresses responsible data-driven approaches and AI governance.",,不需要,applicable,Data Science Institute,https://dsi.brown.edu,3 letters of recommendation,3094,"Data Science, Computer Science, Mathematics, Statistics, Interdisciplinary",non-professional,Capstone project required.
9,Northwestern University,"Evanston, IL",MS,Master of Science in Machine Learning and Data Science,西北大学的机器学习和数据科学理学硕士（MLDS）课程为数据科学家提供了机器学习和人工智能的技术背景，并辅以道德领导所需的软技能。我们的毕业生准备引导团队，组织和社会进入一个隐私，公平和自治将处于决策前沿的未来。,15个月,$75,秋季,12月1日,3,95,7.5,可选,可选,鼓励所有背景的申请人申请。但是，具有强大定量技能或数学，IT和编程学术/专业背景的候选人在申请过程中更具竞争力,Transcripts； letters of recommendation；Personal Statement；CV or Resume,https://www.mccormick.northwestern.edu/machine-learning-data-science/admissions/,https://www.mccormick.northwestern.edu/machine-learning-data-science/overview/,"• 15-month professional master's with applied curriculum in ML, AI, data engineering, and business analytics.
• Required summer internship and two industry-sourced projects: 8-month Practicum and 10-week Capstone.
• Cross-disciplinary faculty expertise from engineering, computer science, business, journalism, and industry.
• Dedicated career support, including networking events and full access to university career services for alumni.
• Small cohort size (~55 students) ensures individualized attention and fosters a strong, collaborative community.
- Additional deadlines: 1月15日",,需要,applicable,Robert R. McCormick School of Engineering and Applied Science,https://www.mccormick.northwestern.edu/,3 letters of recommendation,1565,"Machine Learning, Data Science, Artificial Intelligence, Statistics, Interdisciplinary",professional,"A required summer internship, an 8-month practicum project, and a 10-week capstone project are required."
9,Northwestern University,"Evanston, IL",MS,Statistics and Data Science,为学生提供统计和数据科学高级理论和方法的全面培训，并接触前沿研究或合作经验，以实际应用统计和数据科学。,,$95,秋季,1 月 15 日,3,80,7,可选,不接受,,Transcripts； letters of recommendation；Personal Statement；CV or Resume;,https://statistics.northwestern.edu/graduate/ms-stat-program/how_to_apply.html,https://statistics.northwestern.edu/graduate/ms-stat-program/,"• Comprehensive training in advanced statistics and data science theory and methodology.
• Interdisciplinary faculty with diverse research interests and collaborations across multiple fields.
• Flexible curriculum allowing specialization, optional thesis, and study duration from four quarters to two years.
• Practical experience facilitated through internship opportunities with CPT information for students.",,不需要,not applicable,Weinberg College of Arts & Sciences,https://weinberg.northwestern.edu/,2 letters of recommendation,1565,"Statistics, Data Science, Mathematics, Interdisciplinary",non-professional,No additional graduation requirement.
9,Johns Hopkins University,"Baltimore, MD",MSE,Data Science,旨在培养下一代数据科学领导者，强调掌握将现实世界数据驱动问题转化为数学问题所需的技能，然后使用各种科学工具解决这些问题,,$75,秋季,12月15日,要求,100,7,要求 ，建议提供GRE数学科目成绩,不接受,最好是工程、数学、计算机科学或科学学士学位。此外，候选人应至少完成微积分（通过多变量微积分）、线性代数、微分方程、概率、计算机编程（例如，在 C++ 或 Python）方面的本科课程，最好辅以统计学课程，并且至少一门证明写作课程。,Official transcripts ；Three letters of recommendation；Resume or curriculum vitae；Personal statement,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/ms-in-data-science/,"• Mastery emphasis: translating real-world data problems into mathematical ones using diverse scientific tools.
• Capstone experience: a six-credit research-oriented project culminating in a written paper and poster session.
• Foundational training: applied mathematics, statistics, and computer science for comprehensive data science understanding.
• Career resources: access to the university's Life Design Lab and Graduate Career/Life Design Lab.",https://engineering.jhu.edu/ams/academics/graduate-studies/ms-in-data-science/,不需要,applicable,Whiting School of Engineering,https://engineering.jhu.edu,3 letters of recommendation,,"Applied Mathematics, Statistics, Computer Science, Data Science, Interdisciplinary",non-professional,Capstone project required.
9,Johns Hopkins University,"Baltimore, MD",MSE,Data Science,旨在培养下一代数据科学领导者，强调掌握将现实世界数据驱动问题转化为数学问题所需的技能，然后使用各种科学工具解决这些问题,,$75,春季,9月15日,要求,100,7,要求 ，建议提供GRE数学科目成绩,不接受,最好是工程、数学、计算机科学或科学学士学位。此外，候选人应至少完成微积分（通过多变量微积分）、线性代数、微分方程、概率、计算机编程（例如，在 C++ 或 Python）方面的本科课程，最好辅以统计学课程，并且至少一门证明写作课程。,Official transcripts ；Three letters of recommendation；Resume or curriculum vitae；Personal statement,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/ms-in-data-science/,"• Fully residential MSE program emphasizing real-world data problem translation and solution.
• Six-credit research-oriented Capstone Experience with faculty supervision and poster session.
• Comprehensive training in applied mathematics, statistics, and computer science for data science.
• Dedicated career support through the Life Design Lab and Graduate Career/Life Design Lab.",,不需要,applicable,Whiting School of Engineering,https://engineering.jhu.edu,3 letters of recommendation,,"Data Science, Applied Mathematics, Statistics, Computer Science, Interdisciplinary",non-professional,Capstone project required.
9,Johns Hopkins University,"Baltimore, MD",PHD,Applied Mathematics and Statistics,"博士课程的研究和学术机会涵盖了应用数学中广泛相互关联的领域，这些领域反映了该系教师不同的科学兴趣。这些包括：

数据科学，侧重于理论基础、建模技术和算法开发。
概率和统计，侧重于理论和应用，特别是与机器学习相关的知识。
金融数学，以及专注于优化/运筹学，解决离散和连续优化问题。
离散数学，重点是组合学和图论。
计算和应用数学，重点是为流体动力学、形状分析和生物医学工程中的各种应用开发数学和数值模型。",,$75,秋季,12月15日,要求,100,7,不要求,不接受,最好完成工程学，数学，科学，金融*或经济学*的学士学位。此外，理想的候选人应完成本科课程：微积分，通过多变量微积分；线性代数；微分方程；概率和统计；微观经济学和宏观经济学*；计算机编程（例如，在C ++中）,Official transcripts ；Three letters of recommendation；Resume or curriculum vitae；Personal statement,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/doctoral-program/,"• Core research in Data Science, Probability/Statistics, Financial Mathematics, and Computational/Applied Mathematics.
• Interdisciplinary focus: computational medicine research via partnership with JHU's Institute for Computational Medicine.
• Internship Network in Mathematical Sciences (INMAS) for careers in business, industry, and government.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEOULXrmvYxs21YX7BnzBhnewTQOu5l2VI8wfijwBYgLc4d56fGXsy40E_UGbMH4LV6LP8T_EUeiKrrNSz0f9w0KI48PvxTxwqfJrw5uR0G581v5HNjCcaKHG7tYBFsQ378d8_D5JapvClS0F7s363oJfZ6-l9gCB1SwmG-9-YVJrtR2Lxv5BTh2MtXBj3ay_34zpZBi-s6bSUFY2tMN1nOMcf7fOyEuH1_DUkzTpl4dBpcxkPjiCyijDXijwSV0TEaTYbhqUMeadb-nd43Izni9fv7tQ==,,,Whiting School of Engineering,https://engineering.jhu.edu,3 letters of recommendation,,"Applied Mathematics, Statistics, Interdisciplinary, Data Science, Machine Learning",non-professional,"A doctoral dissertation, an Introductory Examination, a Ph.D. Candidacy Examination, a Graduate Board Oral Examination, and a teaching or research assistantship are required."
9,Johns Hopkins University,"Baltimore, MD",PHD,Applied Mathematics and Statistics,"博士课程的研究和学术机会涵盖了应用数学中广泛相互关联的领域，这些领域反映了该系教师不同的科学兴趣。这些包括：

数据科学，侧重于理论基础、建模技术和算法开发。
概率和统计，侧重于理论和应用，特别是与机器学习相关的知识。
金融数学，以及专注于优化/运筹学，解决离散和连续优化问题。
离散数学，重点是组合学和图论。
计算和应用数学，重点是为流体动力学、形状分析和生物医学工程中的各种应用开发数学和数值模型。",,$75,春季,9月15日,要求,100,7,不要求,不接受,最好完成工程学，数学，科学，金融*或经济学*的学士学位。此外，理想的候选人应完成本科课程：微积分，通过多变量微积分；线性代数；微分方程；概率和统计；微观经济学和宏观经济学*；计算机编程（例如，在C ++中）,Official transcripts ；Three letters of recommendation；Resume or curriculum vitae；Personal statement,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/doctoral-program/,"• Diverse research areas: data science, probability/statistics, financial mathematics, discrete mathematics, and computational/applied mathematics.
• Interdisciplinary focus: computational medicine partnership with JHU's Institute for Computational Medicine.
• Career readiness: Internship Network in Mathematical Sciences (INMAS) for industry and government careers.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGIi30OGe8T8RDi5ftjB3uAQuxut3_kf8E8wN9MM6vwjca_62IThNLicSOsuPXlxo8q095dA0T44cOqRNE_JOb5ouz5dJPB6nxIl8wOZQuu2iV6yYYxpVNHUv2eYNgCruz40FMJJ5qbs4vXOxFRoWcIgKEIb4xeyy31Gq7YGFrf9khoLchGWe4-CzMwOnRAZX_z-pqYzRABBeCK8EB9ElfFhft3tUVflqGNTqotUPi8pe8VIIYEI4HeFhFTpyOf2cxsKi2x4PWHC4gZAnUmxepRI1fjoQ==,,,Johns Hopkins Whiting School of Engineering,https://engineering.jhu.edu/,3 letters of recommendation,,"Applied Mathematics, Statistics, Interdisciplinary, Data Science, Financial Mathematics",non-professional,A research dissertation is required.
9,Johns Hopkins University,"Baltimore, MD",MSEM,Master of Science in Global Innovation and Leadership：Technical Concentrations,从以下六个技术方向选择：网络安全；数据分析；工程管理；环境规划与管理；医疗保健系统工程；系统工程,,$75,秋季,3月15日,要求,100,7,要求,不接受,,Official transcripts ；Three letters of recommendation；Resume or curriculum vitae；Personal statement,https://msil.engineering.jhu.edu/admissions/,https://msil.engineering.jhu.edu/academics/technical-track/,"• Dual-track curriculum: Combines a cohort-based management track with six specialized technical tracks for comprehensive global leadership skills.
• Practical experience: Offers real-world projects, case studies, and a 1-credit internship opportunity.
• Career readiness: Prepares graduates for leadership roles in diverse sectors, supported by an industry professional network.
• STEM-designated degree: Provides a competitive advantage in the job market, welcoming students from varied academic backgrounds.",https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFchlni9HNzVG1IyBjYyqyA9F0hetTWRnPqAqjzRFqaFV9x7QNzpUW_PaGv5PFm07v2TmazFvvrsWl3_ZyhJyxR6jMaNiV5evbZDxrR4UwSxq-K-fyriTmk-73846hdOliFDO7rZgKzvWiDw-9eyK1LycpZk4a4LZjdFCTL_wh8l9XcvdqvZhRxR6x_F9otpGpn-4QmKeNxRg288vybe5uM8F3INxeo0jOYdupY2ojfiHh0WBbU0cCiJ5z0ZzfmdklqRDWRLOitEfNxRnYYlnFo1P9ZuP5Ch7u5-zowC5Bulw==,不需要,applicable,Whiting School of Engineering,https://engineering.jhu.edu,3 letters of recommendation,,需要额外确认,non-professional,No additional graduation requirement.
12,Columbia University,"New York, NY",MS,Data Science,,30学分,$85,秋季,1月15日,要求,99,6.5,可选,可选,,Official transcript ；Three recommendation letters；Personal statement；Resumé or Curriculum Vitae,https://datascience.columbia.edu/education/programs/m-s-in-data-science/admissions/,https://datascience.columbia.edu/education/programs/m-s-in-data-science/,"• Year-long capstone project with industry, government, or non-profit partners.
• Interdisciplinary curriculum jointly offered by Statistics, Computer Science, and Industrial Engineering.
• Strong career placement at leading companies including Amazon, Google, and McKinsey.
• Flexible electives: explore entrepreneurship or specialized tracks via eight research centers.
- Additional deadlines: 2月15日",https://datascience.columbia.edu/education/programs/m-s-in-data-science/,不需要,applicable,The Fu Foundation School of Engineering and Applied Science,https://engineering.columbia.edu,3 letters of recommendation,,"Data Science, Statistics, Computer Science, Engineering, Interdisciplinary",non-professional,Capstone project required.
