大学英文名称,学位,专业英文名称,所属院系,所属院系（英文）,所属院系网址,招生网址,专业网址,valid_response_count,consistency_type,consistency_detail,response_1,response_1_valid,response_2,response_2_valid,response_3,response_3_valid
Yale University,Ph.D,Applied Mathematics,艺术与科学研究生院,Graduate School of Arts and Sciences,https://gsas.yale.edu,https://gsas.yale.edu/programs-of-study/applied-mathematics,https://applied.math.yale.edu/graduate-program-0,3,all_valid_same,All 3 valid responses are identical,"Graduate School of Arts and Sciences, https://gsas.yale.edu",True,"Graduate School of Arts and Sciences, https://gsas.yale.edu",True,"Graduate School of Arts and Sciences, https://gsas.yale.edu",True
Yale University,PH.D.,Mathematics,艺术与科学研究生院,Graduate School of Arts and Sciences,https://gsas.yale.edu,https://gsas.yale.edu/programs-of-study/mathematics,https://math.yale.edu/graduate-programs,3,all_valid_same,All 3 valid responses are identical,"Graduate School of Arts and Sciences, https://gsas.yale.edu",True,"Graduate School of Arts and Sciences, https://gsas.yale.edu",True,"Graduate School of Arts and Sciences, https://gsas.yale.edu",True
University of Pennsylvania,MA,Applied Math and Computational Science,文理学院,School of Arts and Sciences,https://www.sas.upenn.edu,https://amcs.upenn.edu/admission/,https://amcs.upenn.edu/masters-program/,3,all_valid_same,All 3 valid responses are identical,"School of Arts and Sciences, https://www.sas.upenn.edu",True,"School of Arts and Sciences, https://www.sas.upenn.edu",True,"School of Arts and Sciences, https://www.sas.upenn.edu",True
University of Pennsylvania,PHD,Applied Math and Computational Science,文理学院,School of Arts and Sciences,https://www.sas.upenn.edu,https://amcs.upenn.edu/admission/,https://amcs.upenn.edu/phd-program/,3,majority_valid_same,2 valid responses are identical,"School of Arts and Sciences, https://www.sas.upenn.edu",True,"School of Arts and Sciences, https://www.sas.upenn.edu",True,"School of Arts and Sciences, https://www.sas.upenn.edu/",True
University of Pennsylvania,AM,Mathematics,文理学院,School of Arts and Sciences,https://www.sas.upenn.edu/,https://www.math.upenn.edu/graduate/admissions/how-apply,https://www.math.upenn.edu/graduate/program-description,3,all_valid_different,"All valid responses are different, randomly selected","University of Pennsylvania School of Arts and Sciences, https://www.sas.upenn.edu
",True,"School of Arts and Sciences, https://www.sas.upenn.edu/",True,"School of Arts and Sciences, https://www.sas.upenn.edu",True
University of Pennsylvania,M.Phil,Mathematics,文理学院,School of Arts and Sciences,https://www.sas.upenn.edu,https://www.math.upenn.edu/graduate/admissions/how-apply,https://www.math.upenn.edu/graduate/program-description,3,majority_valid_same,2 valid responses are identical,"School of Arts and Sciences, https://www.sas.upenn.edu",True,"School of Arts and Sciences, https://www.sas.upenn.edu
",True,"School of Arts and Sciences, https://www.sas.upenn.edu",True
University of Pennsylvania,phd+ms,Mathematics,文理学院,School of Arts and Sciences,https://www.sas.upenn.edu,https://www.math.upenn.edu/graduate/admissions/how-apply,https://www.math.upenn.edu/graduate/csma,3,majority_valid_same,2 valid responses are identical,"School of Arts and Sciences, https://www.sas.upenn.edu",True,"School of Arts and Sciences, https://www.sas.upenn.edu",True,"School of Arts & Sciences, https://www.sas.upenn.edu",True
University of Pennsylvania,phd+ms,Mathematics,文理学院,School of Arts and Sciences,https://www.sas.upenn.edu,https://www.math.upenn.edu/graduate/admissions/how-apply,https://www.math.upenn.edu/graduate/statma,3,majority_valid_same,2 valid responses are identical,"School of Arts and Sciences, https://www.sas.upenn.edu",True,"School of Arts and Sciences, https://www.sas.upenn.edu",True,"School of Arts & Sciences, https://www.sas.upenn.edu",True
University of Pennsylvania,PHD,Mathematics,文理学院,School of Arts and Sciences,https://www.sas.upenn.edu,https://www.math.upenn.edu/graduate/admissions/how-apply,https://www.math.upenn.edu/graduate/program-description#phd,3,all_valid_same,All 3 valid responses are identical,"School of Arts and Sciences, https://www.sas.upenn.edu",True,"School of Arts and Sciences, https://www.sas.upenn.edu",True,"School of Arts and Sciences, https://www.sas.upenn.edu",True
Duke University,PHD,Mathematics,文理学院,The Graduate School,https://gradschool.duke.edu,https://gradschool.duke.edu/academics/programs-degrees/mathematics/,https://math.duke.edu/graduate,3,all_valid_same,All 3 valid responses are identical,"The Graduate School, https://gradschool.duke.edu",True,"The Graduate School, https://gradschool.duke.edu",True,"The Graduate School, https://gradschool.duke.edu",True
California Institute of Technology,PHD,Applied and Computational Mathematics,工程与应用科学学部,Division of Engineering and Applied Science,https://eas.caltech.edu,https://www.cms.caltech.edu/academics/grad,https://www.cms.caltech.edu/academics/grad/grad_acm,3,majority_valid_same,2 valid responses are identical,"Division of Engineering and Applied Science, https://eas.caltech.edu",True,"Division of Engineering and Applied Science, https://www.eas.caltech.edu",True,"Division of Engineering and Applied Science, https://eas.caltech.edu",True
California Institute of Technology,PHD,Computing + Mathematical Sciences,工程与应用科学学部,Division of Engineering and Applied Science,https://eas.caltech.edu,https://www.cms.caltech.edu/academics/grad,https://www.cms.caltech.edu/academics/grad/grad_cms,3,majority_valid_same,2 valid responses are identical,"Division of Engineering and Applied Science, https://eas.caltech.edu
",True,"Division of Engineering and Applied Science, https://eas.caltech.edu",True,"Division of Engineering and Applied Science, https://eas.caltech.edu",True
California Institute of Technology,PHD,Mathematics,物理，数学和天文学系,The Division of Physics,https://www.pma.caltech.edu,https://www.pma.caltech.edu/admissions-and-financial-support,https://www.pma.caltech.edu/research-and-academics/mathematics/math-graduate-studies,3,all_valid_same,All 3 valid responses are identical,"The Division of Physics, Mathematics and Astronomy, https://www.pma.caltech.edu",True,"The Division of Physics, Mathematics and Astronomy, https://www.pma.caltech.edu",True,"The Division of Physics, Mathematics and Astronomy, https://www.pma.caltech.edu",True
" 
Brown University",PHD,Applied Mathematics,研究生院,Graduate School,https://graduateprograms.brown.edu,https://graduateprograms.brown.edu/graduate-program/applied-mathematics-phd,https://appliedmath.brown.edu/graduate,3,majority_valid_same,2 valid responses are identical,"Graduate School, https://graduateprograms.brown.edu",True,"Graduate School, https://graduateprograms.brown.edu/",True,"Graduate School, https://graduateprograms.brown.edu",True
" 
Brown University",PHD,Mathematics,研究生院,Graduate School,https://www.brown.edu/academics/gradschool/,https://graduateprograms.brown.edu/graduate-program/mathematics-phd,https://www.brown.edu/academics/math/graduate,2,all_valid_same,All 2 valid responses are identical,"Graduate School, https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGVoZbmFybkIFejdNWt8kJ5KuBvDvo0F4yVojet3pIUZe4DOH7ZuZjMIJC7KLsCZ-EO2-XfSsfJAtoCp6zlLZ1le0DaqSVhNzrbWe-4FvBXivf5R5QA49l6WvzoHQ==",False,"Graduate School, https://www.brown.edu/academics/gradschool/",True,"Graduate School, https://www.brown.edu/academics/gradschool/",True
Northwestern University,MS,MS in Engineering Sciences and Applied Mathematics,工程与应用科学学院,McCormick School of Engineering and Applied Science,https://www.mccormick.northwestern.edu,https://www.mccormick.northwestern.edu/applied-math/academics/graduate/masters/admissions.html,https://www.mccormick.northwestern.edu/applied-math/academics/graduate/masters/,3,majority_valid_same,2 valid responses are identical,"Robert R. McCormick School of Engineering and Applied Science, https://www.mccormick.northwestern.edu",True,"McCormick School of Engineering and Applied Science, https://www.mccormick.northwestern.edu",True,"McCormick School of Engineering and Applied Science, https://www.mccormick.northwestern.edu",True
Northwestern University,PhD,Engineering Sciences and Applied Mathematics,工程与应用科学学院,McCormick School of Engineering and Applied Science,https://www.mccormick.northwestern.edu,https://www.mccormick.northwestern.edu/applied-math/academics/graduate/phd/admissions.html,https://www.mccormick.northwestern.edu/applied-math/academics/graduate/phd/,3,majority_valid_same,2 valid responses are identical,"McCormick School of Engineering and Applied Science, https://www.mccormick.northwestern.edu",True,"McCormick School of Engineering and Applied Science, https://www.mccormick.northwestern.edu",True,"Robert R. McCormick School of Engineering and Applied Science, https://www.mccormick.northwestern.edu",True
Northwestern University,PhD,Mathematics,文理学院,Weinberg College of Arts and Sciences,https://weinberg.northwestern.edu/,https://www.math.northwestern.edu/graduate/application.html,https://www.math.northwestern.edu/graduate/,3,all_valid_different,"All valid responses are different, randomly selected","Weinberg College of Arts and Sciences, https://weinberg.northwestern.edu",True,"Weinberg College of Arts and Sciences, https://weinberg.northwestern.edu/",True,"Weinberg College of Arts and Sciences, https://www.weinberg.northwestern.edu/",True
Johns Hopkins University,PHD,Mathematics,艺术与科学学院,Krieger School of Arts & Sciences,https://krieger.jhu.edu,https://mathematics.jhu.edu/graduate/admissions/,https://mathematics.jhu.edu/graduate/,3,majority_valid_same,2 valid responses are identical,"Krieger School of Arts & Sciences, https://krieger.jhu.edu",True,"Zanvyl Krieger School of Arts and Sciences, https://krieger.jhu.edu",True,"Krieger School of Arts & Sciences, https://krieger.jhu.edu",True
Johns Hopkins University,MSE,Applied Mathematics and Statistics,工程学院,Johns Hopkins Whiting School of Engineering,https://engineering.jhu.edu,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/ms-in-applied-mathematics-and-statistics/,3,majority_valid_same,2 valid responses are identical,"Johns Hopkins Whiting School of Engineering, https://engineering.jhu.edu",True,"Johns Hopkins Whiting School of Engineering, https://engineering.jhu.edu",True,"Whiting School of Engineering, https://engineering.jhu.edu/",True
Johns Hopkins University,MSE,Applied Mathematics and Statistics,工程学院,Whiting School of Engineering,https://engineering.jhu.edu,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/ms-in-applied-mathematics-and-statistics/,3,majority_valid_same,2 valid responses are identical,"Whiting School of Engineering, https://engineering.jhu.edu",True,"Whiting School of Engineering, https://engineering.jhu.edu/",True,"Whiting School of Engineering, https://engineering.jhu.edu",True
Johns Hopkins University,PHD,Applied Mathematics and Statistics,工程学院,Whiting School of Engineering,https://engineering.jhu.edu,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/doctoral-program/,3,all_valid_same,All 3 valid responses are identical,"Whiting School of Engineering, https://engineering.jhu.edu",True,"Whiting School of Engineering, https://engineering.jhu.edu",True,"Whiting School of Engineering, https://engineering.jhu.edu",True
Johns Hopkins University,PHD,Applied Mathematics and Statistics,工程学院,Whiting School of Engineering,https://engineering.jhu.edu/,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/doctoral-program/,3,majority_valid_same,2 valid responses are identical,"Whiting School of Engineering, https://engineering.jhu.edu/",True,"Whiting School of Engineering, https://engineering.jhu.edu/",True,"Johns Hopkins Whiting School of Engineering, https://engineering.jhu.edu/",True
Columbia University,MS,Applied Mathematics,工程与应用科学研究生学院,The Fu Foundation School of Engineering and Applied Science,https://engineering.columbia.edu,https://www.gradengineering.columbia.edu/graduate-admissions/application-requirements,https://www.apam.columbia.edu/applied-mathematics-graduate-programs,3,all_valid_same,All 3 valid responses are identical,"The Fu Foundation School of Engineering and Applied Science, https://engineering.columbia.edu",True,"The Fu Foundation School of Engineering and Applied Science, https://engineering.columbia.edu",True,"The Fu Foundation School of Engineering and Applied Science, https://engineering.columbia.edu",True
Columbia University,MS,Applied Mathematics,工程与应用科学研究生学院,The Fu Foundation School of Engineering and Applied Science,https://engineering.columbia.edu,https://www.gradengineering.columbia.edu/graduate-admissions/application-requirements,https://www.apam.columbia.edu/applied-mathematics-graduate-programs,3,all_valid_same,All 3 valid responses are identical,"The Fu Foundation School of Engineering and Applied Science, https://engineering.columbia.edu",True,"The Fu Foundation School of Engineering and Applied Science, https://engineering.columbia.edu",True,"The Fu Foundation School of Engineering and Applied Science, https://engineering.columbia.edu",True
Columbia University,MS/PHD,Applied Mathematics,工程与应用科学研究生学院,The Fu Foundation School of Engineering and Applied Science,https://engineering.columbia.edu,https://www.gradengineering.columbia.edu/graduate-admissions/application-requirements,https://www.apam.columbia.edu/applied-mathematics-graduate-programs,3,all_valid_same,All 3 valid responses are identical,"The Fu Foundation School of Engineering and Applied Science, https://engineering.columbia.edu",True,"The Fu Foundation School of Engineering and Applied Science, https://engineering.columbia.edu",True,"The Fu Foundation School of Engineering and Applied Science, https://engineering.columbia.edu",True
Columbia University,PhD,Applied Mathematics,工程与应用科学研究生学院,The Fu Foundation School of Engineering and Applied Science,https://engineering.columbia.edu,https://www.gradengineering.columbia.edu/graduate-admissions/application-requirements,https://www.apam.columbia.edu/applied-mathematics-graduate-programs,3,all_valid_same,All 3 valid responses are identical,"The Fu Foundation School of Engineering and Applied Science, https://engineering.columbia.edu",True,"The Fu Foundation School of Engineering and Applied Science, https://engineering.columbia.edu",True,"The Fu Foundation School of Engineering and Applied Science, https://engineering.columbia.edu",True
Columbia University,PhD,Mathematics,艺术与科学研究生院,Graduate School of Arts and Sciences,https://www.gsas.columbia.edu,https://www.gsas.columbia.edu/content/mathematics,https://www.math.columbia.edu/programs-math/graduate-program/,3,all_valid_same,All 3 valid responses are identical,"Graduate School of Arts and Sciences, https://www.gsas.columbia.edu",True,"Graduate School of Arts and Sciences, https://www.gsas.columbia.edu",True,"Graduate School of Arts and Sciences, https://www.gsas.columbia.edu",True
Columbia University,MA,Mathematics with a Specialization in the Mathematics of Finance,艺术与科学研究生院,Graduate School of Arts and Sciences,https://www.gsas.columbia.edu,https://www.gsas.columbia.edu/content/mathematics-specialization-mathematics-finance,https://www.math.columbia.edu/mafn/,3,all_valid_same,All 3 valid responses are identical,"Graduate School of Arts and Sciences, https://www.gsas.columbia.edu",True,"Graduate School of Arts and Sciences, https://www.gsas.columbia.edu",True,"Graduate School of Arts and Sciences, https://www.gsas.columbia.edu",True
Cornell University,Ph.D.,Applied Mathematics (Ph.D.) ,应用数学中心,Graduate School,https://gradschool.cornell.edu,https://gradschool.cornell.edu/academics/fields-of-study/subject/applied-mathematics/applied-mathematics-phd-ithaca/,https://www.cam.cornell.edu/cam/academics/phd-program,3,all_valid_different,"All valid responses are different, randomly selected","Graduate School, https://gradschool.cornell.edu",True,"Center for Applied Mathematics, https://www.cam.cornell.edu/",True,"Cornell University Graduate School, https://gradschool.cornell.edu",True
Cornell University,Ph.D.,Mathematics (Ph.D.) ,文理学院,The College of Arts & Sciences,https://arts.cornell.edu,https://gradschool.cornell.edu/academics/fields-of-study/subject/mathematics/mathematics-phd-ithaca/,https://math.cornell.edu/phd,3,all_valid_different,"All valid responses are different, randomly selected","The College of Arts & Sciences, https://arts.cornell.edu",True,"College of Arts & Sciences, https://as.cornell.edu/",True,"The College of Arts & Sciences, https://as.cornell.edu",True
University of Chicago,MS,Computational and Applied Mathematics,物理科学部,Physical Sciences Division,https://physicalsciences.uchicago.edu/,https://voices.uchicago.edu/cammasters/prospectivestudents/,https://voices.uchicago.edu/cammasters/,3,all_valid_same,All 3 valid responses are identical,"Physical Sciences Division, https://physicalsciences.uchicago.edu/",True,"Physical Sciences Division, https://physicalsciences.uchicago.edu/",True,"Physical Sciences Division, https://physicalsciences.uchicago.edu/",True
University of Chicago,Ph.D,Computational and Applied Mathematics,物理科学部,Physical Sciences Division,https://physicalsciences.uchicago.edu,https://cam.uchicago.edu/academics/how-to-apply/,https://cam.uchicago.edu/academics/graduate-programs/phd-program/,3,all_valid_different,"All valid responses are different, randomly selected","Physical Sciences Division, https://physicalsciences.uchicago.edu/",True,"Physical Sciences Division, https://physicalsciences.uchicago.edu",True,"Physical Sciences Division, https://psd.uchicago.edu/",True
University of Chicago,Joint  PhD,Ph. D. in Mathematics and Computer Science,物理科学部,Physical Sciences Division,https://psd.uchicago.edu,https://cs.uchicago.edu/academics/phd/joint-math-cs-phd/,https://cs.uchicago.edu/academics/phd/joint-math-cs-phd/,3,majority_valid_same,2 valid responses are identical,"Physical Sciences Division, https://psd.uchicago.edu",True,"Physical Sciences Division, https://psd.uchicago.edu",True,"Physical Sciences Division, https://physical-sciences.uchicago.edu/",True
University of Chicago,Ph.D,Mathematics,物理科学部,Physical Sciences Division,https://psd.uchicago.edu,https://mathematics.uchicago.edu/graduate/mathematics-phd-program/how-to-apply/,https://mathematics.uchicago.edu/graduate/mathematics-phd-program/,2,all_valid_different,"All valid responses are different, randomly selected","Physical Sciences Division, https://physicalsciences.uchicago.edu",True,"Physical Sciences Division, https://psd.uchicago.edu",True,Not found,False
University of Chicago,MS-PSD,Mathematics,物理科学部,Physical Sciences Division,https://physicalsciences.uchicago.edu,https://mspsd.uchicago.edu/application-information/,https://mspsd.uchicago.edu/,3,all_valid_same,All 3 valid responses are identical,"Physical Sciences Division, https://physicalsciences.uchicago.edu",True,"Physical Sciences Division, https://physicalsciences.uchicago.edu",True,"Physical Sciences Division, https://physicalsciences.uchicago.edu",True
"University of California, Berkeley",Ph.D.,Applied Mathematics,数学系,Department of Mathematics,https://math.berkeley.edu,https://grad.berkeley.edu/program/applied-mathematics/,https://math.berkeley.edu/graduate/phd-program,3,all_valid_same,All 3 valid responses are identical,"Department of Mathematics, https://math.berkeley.edu",True,"Department of Mathematics, https://math.berkeley.edu",True,"Department of Mathematics, https://math.berkeley.edu",True
"University of California, Berkeley",Ph.D,Mathematics,数学系,Department of Mathematics,https://math.berkeley.edu,https://grad.berkeley.edu/program/mathematics/,https://math.berkeley.edu/graduate/phd-program,3,majority_valid_same,2 valid responses are identical,"College of Letters and Science, https://ls.berkeley.edu",True,"Department of Mathematics, https://math.berkeley.edu",True,"Department of Mathematics, https://math.berkeley.edu",True
"University of California, Berkeley",Ph.D.,Applied Science & Technology,应用科学与技术项目,College of Engineering,https://engineering.berkeley.edu,https://grad.berkeley.edu/program/applied-science-tech/,https://ast.berkeley.edu/,3,all_valid_same,All 3 valid responses are identical,"College of Engineering, https://engineering.berkeley.edu",True,"College of Engineering, https://engineering.berkeley.edu",True,"College of Engineering, https://engineering.berkeley.edu",True
"University of California, Berkeley",Ph.D.,Logic & the Methodology of Science,逻辑与科学方法论小组,Group in Logic and the Methodology of Science,https://logic.berkeley.edu/,https://grad.berkeley.edu/program/logic-the-methodology-of-science/,https://logic.berkeley.edu/,3,all_valid_same,All 3 valid responses are identical,"Group in Logic and the Methodology of Science, https://logic.berkeley.edu/",True,"Group in Logic and the Methodology of Science, https://logic.berkeley.edu/",True,"Group in Logic and the Methodology of Science, https://logic.berkeley.edu/",True
"University of California, Los Angeles",PHD,Mathematics,物理科学学院,Division of Physical Sciences,https://physicalsciences.ucla.edu,https://grad.ucla.edu/programs/physical-sciences/mathematics/,https://ww3.math.ucla.edu/overview-2/,2,all_valid_same,All 2 valid responses are identical,"Division of Physical Sciences, https://physicalsciences.ucla.edu",True,"Division of Physical Sciences, https://physicalsciences.ucla.edu",True,Not found,False
"University of California, Los Angeles",MA,Mathematics,物理科学学院,UCLA College of Letters and Science,https://college.ucla.edu/,https://grad.ucla.edu/programs/physical-sciences/mathematics/,https://ww3.math.ucla.edu/overview-2/,3,all_valid_different,"All valid responses are different, randomly selected","Division of Physical Sciences, https://physicalsciences.ucla.edu",True,"UCLA College of Letters and Science, https://college.ucla.edu/",True,"UCLA Mathematics, https://ww3.math.ucla.edu/",True
Rice University,Ph.D.,Computational and Applied Mathematics,工程学院,George R. Brown School of Engineering and Computing,https://engineering.rice.edu,https://cmor.rice.edu/academics/graduate-programs/graduate-admissions,https://cmor.rice.edu/academics/graduate-programs/phd-program,3,majority_valid_same,2 valid responses are identical,"George R. Brown School of Engineering and Computing, https://engineering.rice.edu",True,"George R. Brown School of Engineering and Computing, https://engineering.rice.edu",True,"George R. Brown School of Engineering and Computing, https://engineering.rice.edu
",True
Rice University,M.C.A.A.M.,The Professional Master's of Computational and Applied Mathematics,工程学院,George R. Brown School of Engineering,https://engineering.rice.edu,https://cmor.rice.edu/academics/graduate-programs/graduate-admissions,https://cmor.rice.edu/academics/graduate-programs/professional-masters-programs,3,majority_valid_same,2 valid responses are identical,"George R. Brown School of Engineering, https://engineering.rice.edu",True,"George R. Brown School of Engineering, https://engineering.rice.edu",True,"George R. Brown School of Engineering and Computing, https://engineering.rice.edu",True
Rice University,PHD,Mathematics,自然科学学院,The Wiess School of Natural Sciences,https://naturalsciences.rice.edu,https://math.rice.edu/application-procedure,https://math.rice.edu/graduate-program,3,majority_valid_same,2 valid responses are identical,"The Wiess School of Natural Sciences, https://naturalsciences.rice.edu",True,"The Wiess School of Natural Sciences, https://naturalsciences.rice.edu",True,"Wiess School of Natural Sciences, https://naturalsciences.rice.edu",True
Dartmouth College,PHD,Mathematics,研究生院,Guarini School of Graduate and Advanced Studies,https://graduate.dartmouth.edu,https://math.dartmouth.edu/graduate-students/appl-info/,https://math.dartmouth.edu/graduate-students/,3,majority_valid_same,2 valid responses are identical,"Guarini School of Graduate and Advanced Studies, https://graduate.dartmouth.edu",True,"Guarini School of Graduate and Advanced Studies, https://graduate.dartmouth.edu/",True,"Guarini School of Graduate and Advanced Studies, https://graduate.dartmouth.edu",True
Vanderbilt University,MA,Mathematics,文理学院,College of Arts and Science,https://as.vanderbilt.edu,https://as.vanderbilt.edu/math/graduate/info_for_prospective_students/,https://as.vanderbilt.edu/math/graduate/about/,3,all_valid_same,All 3 valid responses are identical,"College of Arts and Science, https://as.vanderbilt.edu",True,"College of Arts and Science, https://as.vanderbilt.edu",True,"College of Arts and Science, https://as.vanderbilt.edu",True
Vanderbilt University,PHD,Mathematics,文理学院,College of Arts and Science,https://as.vanderbilt.edu,https://as.vanderbilt.edu/math/graduate/info_for_prospective_students/,https://as.vanderbilt.edu/math/graduate/about/,3,majority_valid_same,2 valid responses are identical,"College of Arts and Science, https://as.vanderbilt.edu",True,"College of Arts and Science, https://as.vanderbilt.edu",True,"College of Arts and Science, https://as.vanderbilt.edu/",True
" 
University of Notre Dame",M.S.,Applied and Computational Mathematics ,理学院,College of Science,https://science.nd.edu/,https://graduateschool.nd.edu/degree-programs/applied-and-computational-mathematics-and-statistics-ms---masters-professional/,https://acms.nd.edu/graduate/professional-masters-programs/,3,all_valid_same,All 3 valid responses are identical,"College of Science, https://science.nd.edu/",True,"College of Science, https://science.nd.edu/",True,"College of Science, https://science.nd.edu/",True
" 
University of Notre Dame",M.S.,Applied and Computational Mathematics ,理学院,College of Science,https://science.nd.edu/,https://graduateschool.nd.edu/degree-programs/applied-and-computational-mathematics-and-statistics-ms---masters-professional/,https://acms.nd.edu/graduate/professional-masters-programs/,2,all_valid_different,"All valid responses are different, randomly selected",,False,"College of Science, https://science.nd.edu",True,"College of Science, https://science.nd.edu/",True
" 
University of Notre Dame",Ph.D.,Applied and Computational Mathematics and Statistics,理学院,College of Science,https://science.nd.edu/,https://graduateschool.nd.edu/degree-programs/applied-and-computational-mathematics-and-statistics-phd---doctoral/,https://acms.nd.edu/graduate/phd-programs/,3,majority_valid_same,2 valid responses are identical,"College of Science, https://science.nd.edu/",True,"College of Science, http://science.nd.edu/",True,"College of Science, https://science.nd.edu/",True
" 
University of Notre Dame",Ph.D.,Mathematics,理学院,College of Science,https://science.nd.edu/,https://graduateschool.nd.edu/degree-programs/mathematics-phd---doctoral/,https://math.nd.edu/graduate/,3,all_valid_different,"All valid responses are different, randomly selected","The Graduate School, https://graduateschool.nd.edu",True,"College of Science, https://science.nd.edu/",True,"College of Science, https://science.nd.edu",True
