大学英文名称,学位,专业英文名称,所属院系,所属院系（英文）,所属院系网址,招生网址,专业网址,valid_response_count,consistency_type,consistency_detail,response_1,response_1_valid,response_2,response_2_valid,response_3,response_3_valid
Duke University,MENG,Electrical and Computer Engineering,杜克昆山分校,Pratt School of Engineering,https://pratt.duke.edu,https://iapse.dukekunshan.edu.cn/ece/admissions/how-to-apply/,https://iapse.dukekunshan.edu.cn/ece/,3,all_valid_same,All 3 valid responses are identical,"Pratt School of Engineering, https://pratt.duke.edu",TRUE,"Pratt School of Engineering, https://pratt.duke.edu",TRUE,"Pratt School of Engineering, https://pratt.duke.edu",TRUE
" 
Brown University",MS,Data Science,研究生院,Data Science Institute,https://dsi.brown.edu,https://graduateprograms.brown.edu/graduate-program/data-science-scm,https://dsi.brown.edu/academics/masters-degree,3,all_valid_same,All 3 valid responses are identical,"Data Science Institute, https://dsi.brown.edu",TRUE,"Data Science Institute, https://dsi.brown.edu",TRUE,"Data Science Institute, https://dsi.brown.edu",TRUE
Northwestern University,MS,Master of Science in Machine Learning and Data Science,工程与应用科学学院,Robert R. McCormick School of Engineering and Applied Science,https://www.mccormick.northwestern.edu/,https://www.mccormick.northwestern.edu/machine-learning-data-science/admissions/,https://www.mccormick.northwestern.edu/machine-learning-data-science/overview/,3,majority_valid_same,2 valid responses are identical,"Robert R. McCormick School of Engineering and Applied Science, https://www.mccormick.northwestern.edu/",TRUE,"Robert R. McCormick School of Engineering and Applied Science, https://www.mccormick.northwestern.edu/",TRUE,"Robert R. McCormick School of Engineering and Applied Science, https://www.mccormick.northwestern.edu",TRUE
Northwestern University,MS,Statistics and Data Science,文理学院,Weinberg College of Arts & Sciences,https://www.weinberg.northwestern.edu/,https://statistics.northwestern.edu/graduate/ms-stat-program/how_to_apply.html,https://statistics.northwestern.edu/graduate/ms-stat-program/,2,all_valid_different,"All valid responses are different, randomly selected",,FALSE,"Weinberg College of Arts & Sciences, https://weinberg.northwestern.edu/",TRUE,"Weinberg College of Arts & Sciences, https://www.weinberg.northwestern.edu/",TRUE
Johns Hopkins University,MSE,Data Science,工程学院,Whiting School of Engineering,https://engineering.jhu.edu,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/ms-in-data-science/,3,majority_valid_same,2 valid responses are identical,"Whiting School of Engineering, https://engineering.jhu.edu",TRUE,"Whiting School of Engineering, https://engineering.jhu.edu",TRUE,"Johns Hopkins Whiting School of Engineering, https://engineering.jhu.edu/",TRUE
Johns Hopkins University,MSE,Data Science,工程学院,Whiting School of Engineering,https://engineering.jhu.edu,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/ms-in-data-science/,2,all_valid_same,All 2 valid responses are identical,"Whiting School of Engineering, https://engineering.jhu.edu",TRUE,"Whiting School of Engineering, https://engineering.jhu.edu",TRUE,The browse result for `https://engineering.jhu.edu/` clearly shows the title "Johns Hopkins Whiting School of Engineering". The content further confirms that this is indeed the School of Engineering at Johns Hopkins University. The URL `https://engineering.jhu.edu` is the official homepage for this school.,FALSE
Johns Hopkins University,PHD,Applied Mathematics and Statistics,工程学院,Johns Hopkins Whiting School of Engineering,https://engineering.jhu.edu,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/doctoral-program/,3,all_valid_different,"All valid responses are different, randomly selected","Johns Hopkins Whiting School of Engineering, https://engineering.jhu.edu",TRUE,"Whiting School of Engineering, https://engineering.jhu.edu",TRUE,"Whiting School of Engineering, https://engineering.jhu.edu/
",TRUE
Johns Hopkins University,PHD,Applied Mathematics and Statistics,工程学院,Johns Hopkins Whiting School of Engineering,https://engineering.jhu.edu/,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/doctoral-program/,3,all_valid_different,"All valid responses are different, randomly selected","Whiting School of Engineering, https://engineering.jhu.edu/",TRUE,"Whiting School of Engineering, https://engineering.jhu.edu",TRUE,"Johns Hopkins Whiting School of Engineering, https://engineering.jhu.edu/",TRUE
Johns Hopkins University,MSEM,Master of Science in Global Innovation and Leadership：Technical Concentrations,工程学院,Whiting School of Engineering,https://engineering.jhu.edu,https://msil.engineering.jhu.edu/admissions/,https://msil.engineering.jhu.edu/academics/technical-track/,3,all_valid_same,All 3 valid responses are identical,"Whiting School of Engineering, https://engineering.jhu.edu",TRUE,"Whiting School of Engineering, https://engineering.jhu.edu",TRUE,"Whiting School of Engineering, https://engineering.jhu.edu",TRUE
Columbia University,MS,Data Science,工程与应用科学研究生学院,The Fu Foundation School of Engineering and Applied Science,https://engineering.columbia.edu,https://datascience.columbia.edu/education/programs/m-s-in-data-science/admissions/,https://datascience.columbia.edu/education/programs/m-s-in-data-science/,3,all_valid_same,All 3 valid responses are identical,"The Fu Foundation School of Engineering and Applied Science, https://engineering.columbia.edu",TRUE,"The Fu Foundation School of Engineering and Applied Science, https://engineering.columbia.edu",TRUE,"The Fu Foundation School of Engineering and Applied Science, https://engineering.columbia.edu",TRUE
Columbia University,PhD,The PhD specialization in Data Science,工程与应用科学研究生学院,The Fu Foundation School of Engineering and Applied Science,https://engineering.columbia.edu,https://datascience.columbia.edu/education/programs/ph-d-with-a-specialization-in-data-science/,https://datascience.columbia.edu/education/programs/ph-d-with-a-specialization-in-data-science/,3,majority_valid_same,2 valid responses are identical,"The Data Science Institute, https://datascience.columbia.edu",TRUE,"The Fu Foundation School of Engineering and Applied Science, https://engineering.columbia.edu",TRUE,"The Fu Foundation School of Engineering and Applied Science, https://engineering.columbia.edu",TRUE
Columbia University,MS,Applied Analytics,School of Professional Studies,School of Professional Studies,https://sps.columbia.edu,https://sps.columbia.edu/admissions/masters-degree-applicants,https://sps.columbia.edu/academics/masters/applied-analytics,2,all_valid_different,"All valid responses are different, randomly selected","Columbia University School of Professional Studies, https://sps.columbia.edu",TRUE,,FALSE,"School of Professional Studies, https://sps.columbia.edu",TRUE
Columbia University,MS,Applied Analytics,School of Professional Studies,School of Professional Studies,https://sps.columbia.edu,https://sps.columbia.edu/admissions/masters-degree-applicants,https://sps.columbia.edu/academics/masters/applied-analytics,3,majority_valid_same,2 valid responses are identical,"Columbia University School of Professional Studies, https://sps.columbia.edu",TRUE,"School of Professional Studies, https://sps.columbia.edu",TRUE,"School of Professional Studies, https://sps.columbia.edu",TRUE
Cornell University,M.Eng.,Operations Research and Information Engineering ：Data Analytics (DA),工程学院,School of Operations Research and Information Engineering,https://www.orie.cornell.edu,https://gradschool.cornell.edu/academics/fields-of-study/subject/operations-research-and-information-engineering/operations-research-and-information-engineering-meng-ithaca/,https://www.orie.cornell.edu/orie/programs/meng-degree-ithaca,3,majority_valid_same,2 valid responses are identical,"School of Operations Research and Information Engineering, https://www.orie.cornell.edu/orie/",TRUE,"School of Operations Research and Information Engineering, https://www.orie.cornell.edu",TRUE,"School of Operations Research and Information Engineering, https://www.orie.cornell.edu",TRUE
Cornell University,M.Eng.,Operations Research and Information Engineering ：Data Analytics (DA),工程学院,School of Operations Research and Information Engineering,https://www.orie.cornell.edu/orie/,https://gradschool.cornell.edu/academics/fields-of-study/subject/operations-research-and-information-engineering/operations-research-and-information-engineering-meng-ithaca/,https://www.orie.cornell.edu/orie/programs/meng-degree-ithaca,3,majority_valid_same,2 valid responses are identical,"School of Operations Research and Information Engineering, https://www.orie.cornell.edu/orie/",TRUE,"School of Operations Research and Information Engineering, https://www.orie.cornell.edu/orie/",TRUE,"Cornell Engineering, https://www.engineering.cornell.edu",TRUE
Cornell University,M.Eng.,Operations Research and Information Engineering (M.Eng.) (Cornell NYC Tech),康奈尔科技学院,Cornell Tech,https://tech.cornell.edu,https://tech.cornell.edu/admissions/meng-application/,https://tech.cornell.edu/programs/masters-programs/master-in-operations-research-and-information-engineering/,3,all_valid_same,All 3 valid responses are identical,"Cornell Tech, https://tech.cornell.edu",TRUE,"Cornell Tech, https://tech.cornell.edu",TRUE,"Cornell Tech, https://tech.cornell.edu",TRUE
Cornell University,M.P.S.,Information Science (M.P.S.) , 计算与信息科学学院,Cornell Ann S. Bowers College of Computing and Information Science,https://cis.cornell.edu,https://gradschool.cornell.edu/academics/fields-of-study/subject/information-science/information-science-mps-ithaca/,https://infosci.cornell.edu/masters/mps,3,majority_valid_same,2 valid responses are identical,"Cornell Ann S. Bowers College of Computing and Information Science, https://cis.cornell.edu/",TRUE,"Cornell Ann S. Bowers College of Computing and Information Science, https://cis.cornell.edu",TRUE,"Cornell Ann S. Bowers College of Computing and Information Science, https://cis.cornell.edu",TRUE
Cornell University,Ph.D.,Information Science (Ph.D.) , 计算与信息科学学院,Cornell Ann S. Bowers College of Computing and Information Science,https://www.cis.cornell.edu/,https://gradschool.cornell.edu/academics/fields-of-study/subject/information-science/information-science-phd-ithaca/,https://infosci.cornell.edu/phd,2,all_valid_different,"All valid responses are different, randomly selected","Faculty of Computing and Information Science, https://infosci.cornell.edu/",TRUE,,FALSE,"Cornell Ann S. Bowers College of Computing and Information Science, https://www.cis.cornell.edu/",TRUE
Cornell University,M.P.S.,Applied Statistics (Data Science) , 计算与信息科学学院,Cornell Ann S. Bowers College of Computing and Information Science,https://www.cis.cornell.edu/,https://gradschool.cornell.edu/academics/fields-of-study/subject/statistics/applied-statistics-mps-as-ithaca/,https://stat.cornell.edu/academics/mps-data-science-and-applied-statistics,3,all_valid_different,"All valid responses are different, randomly selected","Department of Statistics and Data Science, https://stat.cornell.edu",TRUE,"Cornell Ann S. Bowers College of Computing and Information Science, https://www.cis.cornell.edu/",TRUE,"Cornell Ann S. Bowers College of Computing and Information Science, https://www.cis.cornell.edu",TRUE
Cornell University,M.P.S.,Applied Statistics (Data Science) , 计算与信息科学学院,Cornell Ann S. Bowers College of Computing and Information Science,https://www.cis.cornell.edu/,https://gradschool.cornell.edu/academics/fields-of-study/subject/statistics/applied-statistics-mps-as-ithaca/,https://stat.cornell.edu/academics/mps-data-science-and-applied-statistics,2,all_valid_different,"All valid responses are different, randomly selected","Cornell Ann S. Bowers College of Computing and Information Science, https://cis.cornell.edu/",TRUE,"The first URL, `https://gradschool.cornell.edu/academics/fields-of-study/subject/statistics/applied-statistics-mps-as-ithaca/`, is from the Cornell University Graduate School. It mentions that the program draws elective coursework from the ""Department of Statistical Science"" and provides a contact website: `http://www.stat.cornell.edu`. This suggests the program is housed within the Department of Statistical Science.

The second URL, `https://stat.cornell.edu/academics/mps-data-science-and-applied-statistics`, is from the ""Cornell University Department of Statistics and Data Science"". The title of the page confirms this. It explicitly states: ""Welcome to the Department of Statistics and Data Science"" and describes the MPS program as part of its offerings. This is a direct match.

Therefore, the school/college is the Department of Statistics and Data Science, and its homepage is `https://stat.cornell.edu`.
Department of Statistics and Data Science, https://stat.cornell.edu",FALSE,"Cornell Ann S. Bowers College of Computing and Information Science, https://www.cis.cornell.edu/",TRUE
University of Chicago,MScA,Applied Data Science,物理科学部,Data Science Institute,https://datascience.uchicago.edu,https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/how-to-apply/,https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/,2,all_valid_different,"All valid responses are different, randomly selected","Data Science Institute, https://datascience.uchicago.edu",TRUE,"Physical Sciences Division, https://physicalsciences.uchicago.edu/",TRUE,"The browsed pages indicate that the program is housed within the ""Data Science Institute (DSI)"" at the University of Chicago. Both pages prominently feature ""DSI"" and state ""The Data Science Institute (DSI) executes the University of Chicago's bold, innovative vision of Data Science as a new discipline.""

The footer of both pages also lists ""Physical Sciences Division"". However, the program itself clearly states it's from the Data Science Institute. The Data Science Institute seems to be the direct ""school/college/faculty"" for this program, and its main page is the one I'm currently on, https://datascience.uchicago.edu.

I will confirm this by checking the ""Physical Sciences Division"" website if it provides more clarity. I'll search for ""University of Chicago Physical Sciences Division"" to find its homepage.",FALSE
University of Chicago,MS,Data Science ,物理科学部,Physical Sciences Division,https://physicalsciences.uchicago.edu/,https://codas.uchicago.edu/how-to-apply/,https://codas.uchicago.edu/academics/ms-data-science/,2,all_valid_different,"All valid responses are different, randomly selected",,FALSE,"Physical Sciences Division, https://physicalsciences.uchicago.edu/",TRUE,"Physical Sciences Division, https://physicalsciences.uchicago.edu",TRUE
University of Chicago,Ph.D,Data Science ,物理科学部,Data Science Institute,https://dsi.uchicago.edu/,https://codas.uchicago.edu/how-to-apply/,https://codas.uchicago.edu/academics/phd-in-data-science/,3,all_valid_different,"All valid responses are different, randomly selected","Physical Sciences Division, https://psd.uchicago.edu",TRUE,"Physical Sciences Division, https://physicalsciences.uchicago.edu/",TRUE,"Data Science Institute, https://dsi.uchicago.edu/",TRUE
"University of California, Berkeley",M.Eng,Data Science  ,电子工程和计算机科学系,College of Engineering,https://engineering.berkeley.edu,https://grad.berkeley.edu/program/electrical-engineering-computer-sciences-meng/,https://eecs.berkeley.edu/academics/graduate/industry-programs/meng/,3,majority_valid_same,2 valid responses are identical,"College of Engineering, https://engineering.berkeley.edu",TRUE,"College of Engineering, https://engineering.berkeley.edu",TRUE,"Department of Electrical Engineering and Computer Sciences, https://eecs.berkeley.edu",TRUE
"University of California, Berkeley",MAna,Master of Analytics,工业工程与运筹学系,College of Engineering,https://engineering.berkeley.edu,https://grad.berkeley.edu/program/master-of-analytics-manlytx/,https://analytics.berkeley.edu/,3,majority_valid_same,2 valid responses are identical,"College of Engineering, https://engineering.berkeley.edu",TRUE,"College of Engineering, https://engineering.berkeley.edu/",TRUE,"College of Engineering, https://engineering.berkeley.edu",TRUE
"University of California, Los Angeles",MENG,Data Science ,工程与应用科学学院,UCLA Samueli School of Engineering,https://samueli.ucla.edu,https://grad.ucla.edu/programs/school-of-engineering-and-applied-science/engineering-master-of-engineering/,https://www.meng.ucla.edu/,2,all_valid_same,All 2 valid responses are identical,"UCLA Samueli School of Engineering, https://samueli.ucla.edu",TRUE,"UCLA Samueli School of Engineering, https://samueli.ucla.edu",TRUE,,FALSE
"University of California, Los Angeles",M.A.S.D.S,Master of Applied Statistics and Data Science,物理科学学院,Department of Statistics and Data Science,https://stat.ucla.edu/,https://grad.ucla.edu/programs/physical-sciences/statistics-and-data-science-department/statistics-master-of-applied-statistics-and-data-science/,https://master.stat.ucla.edu/,2,all_valid_different,"All valid responses are different, randomly selected","Statistics and Data Science Department, https://www.stat.ucla.edu/",TRUE,,FALSE,"Department of Statistics and Data Science, https://stat.ucla.edu/",TRUE
Rice University,MDS,Master of Data Science,工程学院,George R. Brown School of Engineering and Computing,https://engineering.rice.edu,https://cs.rice.edu/academics/graduate-programs/admission/graduate-program-application,https://cs.rice.edu/academics/graduate-programs/professional-master-data-science,3,majority_valid_same,2 valid responses are identical,"George R. Brown School of Engineering and Computing, https://engineering.rice.edu",TRUE,"George R. Brown School of Engineering and Computing, https://engineering.rice.edu",TRUE,"Department of Computer Science, https://cs.rice.edu",TRUE
Vanderbilt University,MS,Data Science ,文理学院,Vanderbilt Data Science,https://www.vanderbilt.edu/datascience/,https://www.vanderbilt.edu/datascience/msprogram/admissions/,https://www.vanderbilt.edu/datascience/msprogram/,2,all_valid_different,"All valid responses are different, randomly selected",,FALSE,"Data Science Institute, https://www.vanderbilt.edu/datascience/",TRUE,"Vanderbilt Data Science, https://www.vanderbilt.edu/datascience/",TRUE
" 
University of Notre Dame",PHD,PHD IN ANALYTICS,商学院,Mendoza College of Business,https://mendoza.nd.edu,https://graduateschool.nd.edu/degree-programs/analytics-phd---doctoral/,https://mendoza.nd.edu/research-faculty/academic-departments/phd-analytics/,3,majority_valid_same,2 valid responses are identical,"Mendoza College of Business, https://mendoza.nd.edu",TRUE,"Mendoza College of Business, https://mendoza.nd.edu",TRUE,"Mendoza College of Business, https://mendoza.nd.edu/",TRUE
" 
University of Notre Dame",M.S.,Applied and Computational Mathematics ,理学院,College of Science,https://science.nd.edu/,https://graduateschool.nd.edu/degree-programs/applied-and-computational-mathematics-and-statistics-ms---masters-professional/,https://acms.nd.edu/graduate/professional-masters-programs/,3,majority_valid_same,2 valid responses are identical,"College of Science, https://science.nd.edu/",TRUE,"College of Science, https://science.nd.edu",TRUE,"College of Science, https://science.nd.edu/",TRUE
" 
University of Notre Dame",M.S.,Applied and Computational Mathematics ,理学院,College of Science,https://science.nd.edu/,https://graduateschool.nd.edu/degree-programs/applied-and-computational-mathematics-and-statistics-ms---masters-professional/,https://acms.nd.edu/graduate/professional-masters-programs/,3,all_valid_same,All 3 valid responses are identical,"College of Science, https://science.nd.edu/",TRUE,"College of Science, https://science.nd.edu/",TRUE,"College of Science, https://science.nd.edu/",TRUE
"University of Michigan, Ann Arbor",MENG,Data Science and Machine Learning,工程学院,College of Engineering,https://engineering.umich.edu,https://ece.engin.umich.edu/academics/graduate-programs/prospective-grad-students/apply-for-grad/apply-for-meng/,https://ece.engin.umich.edu/academics/graduate-programs/prospective-grad-students/about-the-master-of-engineering-meng-program/,3,majority_valid_same,2 valid responses are identical,"College of Engineering, https://engineering.umich.edu",TRUE,"College of Engineering, https://engineering.umich.edu",TRUE,"College of Engineering, https://engin.umich.edu",TRUE
"University of Michigan, Ann Arbor",Ph.D,Industrial and Operations Engineering,工程学院,College of Engineering,https://engin.umich.edu,https://ioe.engin.umich.edu/graduate/phd-program/phd-admissions-planning/,https://ioe.engin.umich.edu/graduate/phd-program/,3,majority_valid_same,2 valid responses are identical,"College of Engineering, https://engineering.umich.edu",TRUE,"College of Engineering, https://engin.umich.edu",TRUE,"College of Engineering, https://engin.umich.edu",TRUE
"University of Michigan, Ann Arbor",MS,Industrial and Operations Engineering,工程学院,College of Engineering,https://engin.umich.edu,https://ioe.engin.umich.edu/graduate/masters-program/masters-admissions-planning/,https://ioe.engin.umich.edu/graduate/masters-program/masters-program-curriculum/,3,majority_valid_same,2 valid responses are identical,"College of Engineering, https://engin.umich.edu",TRUE,"College of Engineering, https://www.engin.umich.edu/",TRUE,"College of Engineering, https://engin.umich.edu",TRUE
"University of Michigan, Ann Arbor",MSE,Industrial and Operations Engineering,工程学院,College of Engineering,https://engin.umich.edu,https://ioe.engin.umich.edu/graduate/masters-program/masters-admissions-planning/,https://ioe.engin.umich.edu/graduate/masters-program/masters-program-curriculum/,3,majority_valid_same,2 valid responses are identical,"College of Engineering, http://engin.umich.edu",TRUE,"College of Engineering, https://engin.umich.edu",TRUE,"College of Engineering, https://engin.umich.edu",TRUE
"University of Michigan, Ann Arbor",MS,Industrial and Operations Engineering,工程学院,College of Engineering,https://engin.umich.edu,https://ioe.engin.umich.edu/graduate/masters-program/masters-admissions-planning/,https://ioe.engin.umich.edu/graduate/masters-program/masters-program-curriculum/,2,all_valid_same,All 2 valid responses are identical,,FALSE,"College of Engineering, https://engin.umich.edu",TRUE,"College of Engineering, https://engin.umich.edu",TRUE
"University of Michigan, Ann Arbor",MSE,Industrial and Operations Engineering,工程学院,College of Engineering,https://www.engin.umich.edu,https://ioe.engin.umich.edu/graduate/masters-program/masters-admissions-planning/,https://ioe.engin.umich.edu/graduate/masters-program/masters-program-curriculum/,3,all_valid_different,"All valid responses are different, randomly selected","College of Engineering, https://engin.umich.edu/",TRUE,"College of Engineering, https://engin.umich.edu",TRUE,"College of Engineering, https://www.engin.umich.edu",TRUE
"University of Michigan, Ann Arbor",Ph.D,Information,信息学院,School of Information,https://www.si.umich.edu,https://www.si.umich.edu/programs/phd-information/how-do-i-apply,https://www.si.umich.edu/programs/phd-information,1,single_valid_response,Only one valid response,"School of Information, https://www.si.umich.edu",TRUE,"The browsed pages consistently refer to ""University of Michigan School of Information"" and ""UMSI"". The URLs also use `si.umich.edu`. This strongly indicates that the ""School of Information"" is the correct entity. The homepage URL appears to be `https://www.si.umich.edu`.

I will confirm this is the official homepage.",FALSE,The browsed pages clearly state "University of Michigan School of Information" and the URL is `https://www.si.umich.edu`. This looks like the official homepage for the school/college housing the program.,FALSE
"University of Michigan, Ann Arbor",MS,Information,信息学院,School of Information,https://www.si.umich.edu,https://www.si.umich.edu/programs/master-science-information/how-do-i-apply,https://www.si.umich.edu/programs/master-science-information,3,all_valid_same,All 3 valid responses are identical,"School of Information, https://www.si.umich.edu",TRUE,"School of Information, https://www.si.umich.edu",TRUE,"School of Information, https://www.si.umich.edu",TRUE
"University of Michigan, Ann Arbor",MS,Data Science ,文化、科学与艺术学院,College of Literature,https://lsa.umich.edu,https://lsa.umich.edu/stats/masters_students/prospective-masters-students/data-science-masters-application.html,https://lsa.umich.edu/stats/masters_students/mastersprograms/data-science-masters-program.html,3,all_valid_same,All 3 valid responses are identical,"College of Literature, Science, and The Arts, https://lsa.umich.edu",TRUE,"College of Literature, Science, and The Arts, https://lsa.umich.edu",TRUE,"College of Literature, Science, and The Arts, https://lsa.umich.edu",TRUE
"University of North Carolina, Chapel Hill",MS,"MS program in Statistics, Analytics and Data Science (STANDS)",文理学院,Department of Statistics and Operations Research,https://stor.unc.edu,https://gradschool.sites.unc.edu/statistics-and-operations-research/,https://stor.unc.edu/ms/program/,3,majority_valid_same,2 valid responses are identical,"School of Data Science and Society, https://datascience.unc.edu/",TRUE,"Department of Statistics and Operations Research, https://stor.unc.edu",TRUE,"Department of Statistics and Operations Research, https://stor.unc.edu",TRUE
Georgetown University,M.S.,Master of Science in Data Science and Analytics,文理研究生院,The Graduate School of Arts & Sciences,https://grad.georgetown.edu/,https://grad.georgetown.edu/data-science-analytics/,https://analytics.georgetown.edu/,3,majority_valid_same,2 valid responses are identical,"The Graduate School of Arts & Sciences, https://grad.georgetown.edu/",TRUE,"The Graduate School of Arts & Sciences, https://grad.georgetown.edu",TRUE,"The Graduate School of Arts & Sciences, https://grad.georgetown.edu/",TRUE
