大学英文名称,学位,专业英文名称,所属院系,招生网址,专业网址,托福送分ETS code,判断状态,有效回答数,总回答数,Response 1 提取,Response 2 提取,Response 3 提取,Response 1 原文,Response 2 原文,Response 3 原文
Duke University,MS,Statistical Science（Data Science & Analytics ）,文理学院,https://gradschool.duke.edu/academics/programs-degrees/statistical-science-ms/,https://stat.duke.edu/ms/ms-focus-areas-tracks,5156,三个回答完全一致,3,3,5156,5156,5156,5156,5156,5156
Duke University,MS,Interdisciplinary Data Science,文理学院,https://gradschool.duke.edu/academics/programs-degrees/master-interdisciplinary-data-science/,https://datascience.duke.edu/,5156,三个回答完全一致,3,3,5156,5156,5156,5156,5156,5156
Duke University,MENG,Electrical and Computer Engineering,杜克昆山分校,https://iapse.dukekunshan.edu.cn/ece/admissions/how-to-apply/,https://iapse.dukekunshan.edu.cn/ece/,5156,三个回答完全一致,3,3,5156,5156,5156,5156,5156,5156
Brown University,MS,Data Science,研究生院,https://graduateprograms.brown.edu/graduate-program/data-science-scm,https://dsi.brown.edu/academics/masters-degree,3094,三个回答完全一致,3,3,3094,3094,3094,3094,3094,3094
Northwestern University,MS,Master of Science in Machine Learning and Data Science,工程与应用科学学院,https://www.mccormick.northwestern.edu/machine-learning-data-science/admissions/,https://www.mccormick.northwestern.edu/machine-learning-data-science/overview/,1565,三个回答完全一致,3,3,1565,1565,1565,1565,1565,1565
Northwestern University,MS,Statistics and Data Science,文理学院,https://statistics.northwestern.edu/graduate/ms-stat-program/how_to_apply.html,https://statistics.northwestern.edu/graduate/ms-stat-program/,1565,三个回答完全一致,3,3,1565,1565,1565,1565,1565,1565
Johns Hopkins University,MSE,Data Science,工程学院,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/ms-in-data-science/,需要额外确认,所有回答都无效,0,3,invalid,invalid,invalid,C559,C559,C559
Johns Hopkins University,MSE,Data Science,工程学院,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/ms-in-data-science/,需要额外确认,所有回答都无效,0,3,invalid,invalid,invalid,C559,C559,C559
Johns Hopkins University,PHD,Applied Mathematics and Statistics,工程学院,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/doctoral-program/,需要额外确认,所有回答都无效,0,3,invalid,invalid,invalid,C559,C559,C559
Johns Hopkins University,PHD,Applied Mathematics and Statistics,工程学院,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/doctoral-program/,需要额外确认,所有回答都无效,0,3,invalid,invalid,invalid,C559,C559,C559
Johns Hopkins University,MSEM,Master of Science in Global Innovation and Leadership：Technical Concentrations,工程学院,https://msil.engineering.jhu.edu/admissions/,https://msil.engineering.jhu.edu/academics/technical-track/,需要额外确认,所有回答都无效,0,2,invalid,invalid,invalid,C559,,C559
Columbia University,MS,Data Science,工程与应用科学研究生学院,https://datascience.columbia.edu/education/programs/m-s-in-data-science/admissions/,https://datascience.columbia.edu/education/programs/m-s-in-data-science/,需要额外确认,只有一个有效回答，不足以确认,1,3,2111,invalid,invalid,2111,Not found,Not found
Columbia University,PhD,The PhD specialization in Data Science,工程与应用科学研究生学院,https://datascience.columbia.edu/education/programs/ph-d-with-a-specialization-in-data-science/,https://datascience.columbia.edu/education/programs/ph-d-with-a-specialization-in-data-science/,需要额外确认,所有回答都无效,0,3,invalid,invalid,invalid,Not found,Not found,Not found
Columbia University,MS,Applied Analytics,School of Professional Studies,https://sps.columbia.edu/admissions/masters-degree-applicants,https://sps.columbia.edu/academics/masters/applied-analytics,2594,三个回答完全一致,3,3,2594,2594,2594,2594,2594,2594
Columbia University,MS,Applied Analytics,School of Professional Studies,https://sps.columbia.edu/admissions/masters-degree-applicants,https://sps.columbia.edu/academics/masters/applied-analytics,2594,三个回答完全一致,3,3,2594,2594,2594,2594,2594,2594
Cornell University,M.Eng.,Operations Research and Information Engineering ：Data Analytics (DA),工程学院,https://gradschool.cornell.edu/academics/fields-of-study/subject/operations-research-and-information-engineering/operations-research-and-information-engineering-meng-ithaca/,https://www.orie.cornell.edu/orie/programs/meng-degree-ithaca,2098,两个有效回答一致,2,3,invalid,2098,2098,The first URL could not be accessed. The second UR...,2098,2098
Cornell University,M.Eng.,Operations Research and Information Engineering ：Data Analytics (DA),工程学院,https://gradschool.cornell.edu/academics/fields-of-study/subject/operations-research-and-information-engineering/operations-research-and-information-engineering-meng-ithaca/,https://www.orie.cornell.edu/orie/programs/meng-degree-ithaca,2098,三个回答完全一致,3,3,2098,2098,2098,2098,2098,2098
Cornell University,M.Eng.,Operations Research and Information Engineering (M.Eng.) (Cornell NYC Tech),康奈尔科技学院,https://tech.cornell.edu/admissions/meng-application/,https://tech.cornell.edu/programs/masters-programs/master-in-operations-research-and-information-engineering/,2098,三个回答完全一致,3,3,2098,2098,2098,2098,2098,2098
Cornell University,M.P.S.,Information Science (M.P.S.) , 计算与信息科学学院,https://gradschool.cornell.edu/academics/fields-of-study/subject/information-science/information-science-mps-ithaca/,https://infosci.cornell.edu/masters/mps,2098,三个回答完全一致,3,3,2098,2098,2098,2098,2098,2098
Cornell University,Ph.D.,Information Science (Ph.D.) , 计算与信息科学学院,https://gradschool.cornell.edu/academics/fields-of-study/subject/information-science/information-science-phd-ithaca/,https://infosci.cornell.edu/phd,2098,两个有效回答一致,2,3,2098,2098,invalid,2098,2098,Not found
Cornell University,M.P.S.,Applied Statistics (Data Science) , 计算与信息科学学院,https://gradschool.cornell.edu/academics/fields-of-study/subject/statistics/applied-statistics-mps-as-ithaca/,https://stat.cornell.edu/academics/mps-data-science-and-applied-statistics,2098,两个有效回答一致,2,2,invalid,2098,2098,,2098,2098
Cornell University,M.P.S.,Applied Statistics (Data Science) , 计算与信息科学学院,https://gradschool.cornell.edu/academics/fields-of-study/subject/statistics/applied-statistics-mps-as-ithaca/,https://stat.cornell.edu/academics/mps-data-science-and-applied-statistics,2098,三个回答完全一致,3,3,2098,2098,2098,2098,2098,2098
University of Chicago,MScA,Applied Data Science,物理科学部,https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/how-to-apply/,https://datascience.uchicago.edu/education/masters-programs/ms-in-applied-data-science/,1832,两个有效回答一致,2,2,1832,invalid,1832,1832,,1832
University of Chicago,MS,Data Science ,物理科学部,https://codas.uchicago.edu/how-to-apply/,https://codas.uchicago.edu/academics/ms-data-science/,1832,两个有效回答一致,2,2,1832,1832,invalid,1832,1832,
University of Chicago,Ph.D,Data Science ,物理科学部,https://codas.uchicago.edu/how-to-apply/,https://codas.uchicago.edu/academics/phd-in-data-science/,1832,三个回答完全一致,3,3,1832,1832,1832,1832,1832,1832
"University of California, Berkeley",M.Eng,Data Science  ,电子工程和计算机科学系,https://grad.berkeley.edu/program/electrical-engineering-computer-sciences-meng/,https://eecs.berkeley.edu/academics/graduate/industry-programs/meng/,4833,三个回答完全一致,3,3,4833,4833,4833,4833,4833,4833
"University of California, Berkeley",MAna,Master of Analytics,工业工程与运筹学系,https://grad.berkeley.edu/program/master-of-analytics-manlytx/,https://analytics.berkeley.edu/,4833,三个回答完全一致,3,3,4833,4833,4833,4833,4833,4833
"University of California, Los Angeles",MENG,Data Science ,工程与应用科学学院,https://grad.ucla.edu/programs/school-of-engineering-and-applied-science/engineering-master-of-engineering/,https://www.meng.ucla.edu/,4837,两个有效回答一致,2,3,invalid,4837,4837,The browsed content does not explicitly state the ...,4837,4837
"University of California, Los Angeles",M.A.S.D.S,Master of Applied Statistics and Data Science,物理科学学院,https://grad.ucla.edu/programs/physical-sciences/statistics-and-data-science-department/statistics-master-of-applied-statistics-and-data-science/,https://master.stat.ucla.edu/,4837,两个有效回答一致,2,3,4837,4837,invalid,4837,4837,Not found
Rice University,MDS,Master of Data Science,工程学院,https://cs.rice.edu/academics/graduate-programs/admission/graduate-program-application,https://cs.rice.edu/academics/graduate-programs/professional-master-data-science,6609,三个回答完全一致,3,3,6609,6609,6609,6609,6609,6609
Vanderbilt University,MS,Data Science ,文理学院,https://www.vanderbilt.edu/datascience/msprogram/admissions/,https://www.vanderbilt.edu/datascience/msprogram/,1871,两个有效回答一致,2,3,1871,1871,invalid,1871,1871,"1871
03"
University of Notre Dame,PHD,PHD IN ANALYTICS,商学院,https://graduateschool.nd.edu/degree-programs/analytics-phd---doctoral/,https://mendoza.nd.edu/research-faculty/academic-departments/phd-analytics/,需要额外确认,只有一个有效回答，不足以确认,1,3,invalid,invalid,1841,"The first URL, ""https://graduateschool.nd.edu/degr...",Not found.,1841
University of Notre Dame,M.S.,Applied and Computational Mathematics ,理学院,https://graduateschool.nd.edu/degree-programs/applied-and-computational-mathematics-and-statistics-ms---masters-professional/,https://acms.nd.edu/graduate/professional-masters-programs/,1841,两个有效回答一致,2,3,invalid,1841,1841,The,1841,1841
University of Notre Dame,M.S.,Applied and Computational Mathematics ,理学院,https://graduateschool.nd.edu/degree-programs/applied-and-computational-mathematics-and-statistics-ms---masters-professional/,https://acms.nd.edu/graduate/professional-masters-programs/,1841,三个回答完全一致,3,3,1841,1841,1841,1841,1841,1841
"University of Michigan, Ann Arbor",MENG,Data Science and Machine Learning,工程学院,https://ece.engin.umich.edu/academics/graduate-programs/prospective-grad-students/apply-for-grad/apply-for-meng/,https://ece.engin.umich.edu/academics/graduate-programs/prospective-grad-students/about-the-master-of-engineering-meng-program/,1839,三个回答完全一致,3,3,1839,1839,1839,1839,1839,1839
"University of Michigan, Ann Arbor",Ph.D,Industrial and Operations Engineering,工程学院,https://ioe.engin.umich.edu/graduate/phd-program/phd-admissions-planning/,https://ioe.engin.umich.edu/graduate/phd-program/,1839,三个回答完全一致,3,3,1839,1839,1839,1839,1839,1839
"University of Michigan, Ann Arbor",MS,Industrial and Operations Engineering,工程学院,https://ioe.engin.umich.edu/graduate/masters-program/masters-admissions-planning/,https://ioe.engin.umich.edu/graduate/masters-program/masters-program-curriculum/,1839,三个回答完全一致,3,3,1839,1839,1839,1839,1839,1839
"University of Michigan, Ann Arbor",MSE,Industrial and Operations Engineering,工程学院,https://ioe.engin.umich.edu/graduate/masters-program/masters-admissions-planning/,https://ioe.engin.umich.edu/graduate/masters-program/masters-program-curriculum/,1839,两个有效回答一致,2,3,1839,invalid,1839,1839,The browsed pages do not contain the ETS code. Now...,1839
"University of Michigan, Ann Arbor",MS,Industrial and Operations Engineering,工程学院,https://ioe.engin.umich.edu/graduate/masters-program/masters-admissions-planning/,https://ioe.engin.umich.edu/graduate/masters-program/masters-program-curriculum/,1839,三个回答完全一致,3,3,1839,1839,1839,1839,1839,1839
"University of Michigan, Ann Arbor",MSE,Industrial and Operations Engineering,工程学院,https://ioe.engin.umich.edu/graduate/masters-program/masters-admissions-planning/,https://ioe.engin.umich.edu/graduate/masters-program/masters-program-curriculum/,1839,三个回答完全一致,3,3,1839,1839,1839,1839,1839,1839
"University of Michigan, Ann Arbor",Ph.D,Information,信息学院,https://www.si.umich.edu/programs/phd-information/how-do-i-apply,https://www.si.umich.edu/programs/phd-information,1839,三个回答完全一致,3,3,1839,1839,1839,1839,1839,1839
"University of Michigan, Ann Arbor",MS,Information,信息学院,https://www.si.umich.edu/programs/master-science-information/how-do-i-apply,https://www.si.umich.edu/programs/master-science-information,1839,三个回答完全一致,3,3,1839,1839,1839,1839,1839,1839
"University of Michigan, Ann Arbor",MS,Data Science ,文化、科学与艺术学院,https://lsa.umich.edu/stats/masters_students/prospective-masters-students/data-science-masters-application.html,https://lsa.umich.edu/stats/masters_students/mastersprograms/data-science-masters-program.html,1839,三个回答完全一致,3,3,1839,1839,1839,1839,1839,1839
"University of North Carolina, Chapel Hill",MS,"MS program in Statistics, Analytics and Data Science (STANDS)",文理学院,https://gradschool.sites.unc.edu/statistics-and-operations-research/,https://stor.unc.edu/ms/program/,需要额外确认,只有一个有效回答，不足以确认,1,2,5816,invalid,invalid,5816,,Not found
Georgetown University,M.S.,Master of Science in Data Science and Analytics,文理研究生院,https://grad.georgetown.edu/data-science-analytics/,https://analytics.georgetown.edu/,5244,三个回答完全一致,3,3,5244,5244,5244,5244,5244,5244
Georgetown University,M.S.,Mathematics & Statistics ,文理研究生院,https://grad.georgetown.edu/mathematics-and-statistics/,https://mathstat.georgetown.edu/graduate/,5244,三个回答完全一致,3,3,5244,5244,5244,5244,5244,5244
Georgetown University,M.S.,Mathematics & Statistics ,文理研究生院,https://grad.georgetown.edu/mathematics-and-statistics/,https://mathstat.georgetown.edu/graduate/,5244,三个回答完全一致,3,3,5244,5244,5244,5244,5244,5244
Emory University,MS,Quantitative Theory and Methods,研究生院,https://quantitative.emory.edu/academics/masters/Who-Should-Apply.html,https://quantitative.emory.edu/academics/masters/index.html,5187,两个有效回答一致,2,3,5187,invalid,5187,5187,The browsed pages mention TOEFL scores but do not ...,5187
University of Virginia,PHD,Data Analytics and Decision Science,达顿商学院,https://www.darden.virginia.edu/phd/application-requirements,https://www.darden.virginia.edu/phd/data-analytics-and-decision-science,5820,三个回答完全一致,3,3,5820,5820,5820,5820,5820,5820
University of Virginia,MSDS,Data Science,数据科学学院,https://datascience.virginia.edu/msds/admissions,https://datascience.virginia.edu/degrees/msds-residential,需要额外确认,所有回答都无效,0,3,invalid,invalid,invalid,B875,B875,B875
University of Virginia,PHD,Data Science,数据科学学院,https://datascience.virginia.edu/phd/admissions,https://datascience.virginia.edu/degrees/phd,需要额外确认,所有回答都无效,0,3,invalid,invalid,invalid,B875,B875,B875
Carnegie Mellon University,MITS,Master of Information Technology Strategy (MITS),人文与社会科学学院,https://www.cmu.edu/cmist/academics/graduate-programs/mits/mits-admissions.html,https://www.cmu.edu/cmist/academics/graduate-programs/msirp/index.html,需要额外确认,所有回答都无效,0,3,invalid,invalid,invalid,C583,C583,C583
Carnegie Mellon University,MADS,Master of Science in Applied Data Science (MADS),人文与社会科学学院,https://www.cmu.edu/dietrich/statistics-datascience/academics/mads/how-to-apply.html,https://www.cmu.edu/dietrich/statistics-datascience/academics/mads/index.html,2074,两个有效回答一致,2,3,2074,2074,invalid,2074,2074,"2074
59"
Carnegie Mellon University,MISM,Information Systems Management（BUSINESS INTELLIGENCE & DATA ANALYTICS）,信息系统与公共政策学院 ,https://www.heinz.cmu.edu/admissions/information-systems-management/,https://www.heinz.cmu.edu/programs/information-systems-management-master/,需要额外确认,"回答不一致: {'2176': 2, '2074': 1}",3,3,2176,2074,2176,2176,2074,2176
Carnegie Mellon University,MISM,Information Systems Management（BUSINESS INTELLIGENCE & DATA ANALYTICS）,信息系统与公共政策学院 ,https://www.heinz.cmu.edu/admissions/information-systems-management/,https://www.heinz.cmu.edu/programs/information-systems-management-master/,需要额外确认,两个有效回答不一致: 2176 vs 2074,2,3,2176,invalid,2074,2176,Not found,2074
Carnegie Mellon University,MS,MS in DATA ANALYTICS FOR SCIENCE,科学学院,https://www.cmu.edu/mcs/grad/programs/ms-data-analytics/application-process.html,https://www.cmu.edu/mcs/grad/programs/ms-data-analytics/index.html,2074,三个回答完全一致,3,3,2074,2074,2074,2074,2074,2074
Carnegie Mellon University,MCDS,Computational Data Science,计算机科学学院,https://mcds.cs.cmu.edu/apply-mcds-program,https://mcds.cs.cmu.edu/learn-us-requirements,4256,三个回答完全一致,3,3,4256,4256,4256,4256,4256,4256
Carnegie Mellon University,MCDS,Computational Data Science,计算机科学学院,https://mcds.cs.cmu.edu/apply-mcds-program,https://mcds.cs.cmu.edu/learn-us-requirements,4256,三个回答完全一致,3,3,4256,4256,4256,4256,4256,4256
Washington University in St. Louis,MS,MS in Engineering Data Analytics & Statistics,工程学院,https://engineering.wustl.edu/academics/graduate-admissions/application-checklist.html,https://ese.wustl.edu/academics/graduate-programs/masters-and-certificates/MS-in-Data-Analytics-Statistics.html,6929,三个回答完全一致,3,3,6929,6929,6929,6929,6929,6929
Washington University in St. Louis,MS,MS in Engineering Data Analytics & Statistics,工程学院,https://engineering.wustl.edu/academics/graduate-admissions/application-checklist.html,https://ese.wustl.edu/academics/graduate-programs/masters-and-certificates/MS-in-Data-Analytics-Statistics.html,6929,三个回答完全一致,3,3,6929,6929,6929,6929,6929,6929
Washington University in St. Louis,PHD,Computational & Data Sciences ,工程学院,https://engineering.wustl.edu/academics/graduate-admissions/application-checklist.html,https://datasciences.wustl.edu/,6929,三个回答完全一致,3,3,6929,6929,6929,6929,6929,6929
Washington University in St. Louis,MS,Master of Data Analytics & Applications,继续和专业教育学院,https://caps.washu.edu/student-success/graduate-application-requirements/,https://caps.washu.edu/lp/master-of-data-analytics-applications/,6929,两个有效回答一致,2,3,6929,6929,invalid,6929,6929,Not found
Washington University in St. Louis,MS,Master of Data Analytics & Applications,继续和专业教育学院,https://caps.washu.edu/student-success/graduate-application-requirements/,https://caps.washu.edu/lp/master-of-data-analytics-applications/,需要额外确认,只有一个有效回答，不足以确认,1,2,invalid,invalid,6929,,The,6929
University of Florida,M.S.,Information Systems and Operations Management：Data Science,商学院,https://warrington.ufl.edu/master-of-science-in-information-systems-and-operations-management/admissions/,https://warrington.ufl.edu/master-of-science-in-information-systems-and-operations-management/program-options/,需要额外确认,只有一个有效回答，不足以确认,1,3,invalid,invalid,5812,"The admissions page mentions ""International applic...",Not found,5812
University of Florida,M.S.,Information Systems and Operations Management：Data Science,商学院,https://warrington.ufl.edu/master-of-science-in-information-systems-and-operations-management/admissions/,https://warrington.ufl.edu/master-of-science-in-information-systems-and-operations-management/program-options/,需要额外确认,只有一个有效回答，不足以确认,1,3,invalid,invalid,5812,Not found,Not found,5812
University of Florida,M.S.,Information Systems and Operations Management：Data Science,商学院,https://warrington.ufl.edu/master-of-science-in-information-systems-and-operations-management/admissions/,https://warrington.ufl.edu/master-of-science-in-information-systems-and-operations-management/program-options/,5812,三个回答完全一致,3,3,5812,5812,5812,5812,5812,5812
University of Florida,M.S.,Information Systems and Operations Management：Data Science,商学院,https://warrington.ufl.edu/master-of-science-in-information-systems-and-operations-management/admissions/,https://warrington.ufl.edu/master-of-science-in-information-systems-and-operations-management/program-options/,需要额外确认,只有一个有效回答，不足以确认,1,3,5812,invalid,invalid,5812,Not found.,Not found
"University of California, Davis",MS,Statistics- DATA SCIENCE TRACK (48 units),文学与科学学院,https://statistics.ucdavis.edu/grad/admissions,https://statistics.ucdavis.edu/grad/ms,4834,三个回答完全一致,3,3,4834,4834,4834,4834,4834,4834
"University of California, San Diego",PhD,Data Science,数据科学研究所,https://datascience.ucsd.edu/graduate/graduate-admissions/,https://datascience.ucsd.edu/graduate/phd-program/,4836,三个回答完全一致,3,3,4836,4836,4836,4836,4836,4836
"University of California, San Diego",MS,Data Science,数据科学研究所,https://datascience.ucsd.edu/graduate/graduate-admissions/,https://datascience.ucsd.edu/graduate/ms-program/,4836,三个回答完全一致,3,3,4836,4836,4836,4836,4836,4836
"University of California, San Diego",MS,Machine Learning and Data Science ,工程学院,https://www.ece.ucsd.edu/graduate/graduate-admissions,https://www.ece.ucsd.edu/graduate/information-new-ece-graduate-students,4836,三个回答完全一致,3,3,4836,4836,4836,4836,4836,4836
"University of California, San Diego",PHD,Machine Learning and Data Science ,工程学院,https://www.ece.ucsd.edu/graduate/graduate-admissions,https://www.ece.ucsd.edu/graduate/information-new-ece-graduate-students,4836,两个有效回答一致,2,3,4836,4836,invalid,4836,4836,"The first URL, ""Graduate Admissions | Electrical a..."
University of Southern California,PhD,Business Administration( Data Sciences & Operations),商学院,https://www.marshall.usc.edu/programs/graduate-programs/phd-program/admissions,https://www.marshall.usc.edu/programs/graduate-programs/phd-program/data-sciences-operations,4852,三个回答完全一致,3,3,4852,4852,4852,4852,4852,4852
University of Southern California,M.S.,Computer Science (Data Science),工程学院,https://viterbigradadmission.usc.edu/programs/masters/msprograms/computer-science/ms-cs-data-science/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/computer-science/ms-cs-data-science/,4852,三个回答完全一致,3,3,4852,4852,4852,4852,4852,4852
University of Southern California,M.S.,Computer Science (Data Science),工程学院,https://viterbigradadmission.usc.edu/programs/masters/msprograms/computer-science/ms-cs-data-science/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/computer-science/ms-cs-data-science/,4852,两个有效回答一致,2,3,4852,invalid,4852,4852,The browsed pages do not contain the TOEFL ETS cod...,4852
University of Southern California,M.S.,Applied Data Science,工程学院,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/ms-applied-data-science/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/ms-applied-data-science/,4852,两个有效回答一致,2,2,invalid,4852,4852,,4852,4852
University of Southern California,M.S.,Applied Data Science,工程学院,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/ms-applied-data-science/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/ms-applied-data-science/,4852,三个回答完全一致,3,3,4852,4852,4852,4852,4852,4852
University of Southern California,M.S.,ECE-Machine Learning and Data Science,工程学院,https://viterbigradadmission.usc.edu/programs/masters/msprograms/electrical-computer-engineering/ms-in-electrical-and-computer-engineering-machine-learning-and-data-science/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/electrical-computer-engineering/ms-in-electrical-and-computer-engineering-machine-learning-and-data-science/,4852,三个回答完全一致,3,3,4852,4852,4852,4852,4852,4852
University of Southern California,M.S.,ECE-Machine Learning and Data Science,工程学院,https://viterbigradadmission.usc.edu/programs/masters/msprograms/electrical-computer-engineering/ms-in-electrical-and-computer-engineering-machine-learning-and-data-science/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/electrical-computer-engineering/ms-in-electrical-and-computer-engineering-machine-learning-and-data-science/,4852,三个回答完全一致,3,3,4852,4852,4852,4852,4852,4852
University of Southern California,M.S.,Analytics,工程学院,https://viterbigradadmission.usc.edu/programs/masters/msprograms/industrial-systems-engineering/ms-analytics/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/industrial-systems-engineering/ms-analytics/,4852,两个有效回答一致,2,2,invalid,4852,4852,,4852,4852
University of Southern California,M.S.,Analytics,工程学院,https://viterbigradadmission.usc.edu/programs/masters/msprograms/industrial-systems-engineering/ms-analytics/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/industrial-systems-engineering/ms-analytics/,4852,三个回答完全一致,3,3,4852,4852,4852,4852,4852,4852
University of Southern California,M.S.,Mathematical Data Science M.S.,文理学院,https://dornsife.usc.edu/math-data-science/admissions-2/,https://dornsife.usc.edu/math-data-science/,4852,三个回答完全一致,3,3,4852,4852,4852,4852,4852,4852
"University of Texas, Austin", Ph.D.,Electrical and Computer Engineering ,工程学院,https://www.ece.utexas.edu/academics/graduate/admissions,https://www.ece.utexas.edu/academics/graduate/degrees,6882,三个回答完全一致,3,3,6882,6882,6882,6882,6882,6882
"University of Texas, Austin", Ph.D.,Electrical and Computer Engineering ,工程学院,https://www.ece.utexas.edu/academics/graduate/admissions,https://www.ece.utexas.edu/academics/graduate/degrees,6882,两个有效回答一致,2,3,invalid,6882,6882,The browse results for the admissions and program ...,6882,6882
"University of Texas, Austin",MSE ,Electrical and Computer Engineering,工程学院,https://www.ece.utexas.edu/academics/graduate/admissions,https://www.ece.utexas.edu/academics/graduate/degrees,6882,三个回答完全一致,3,3,6882,6882,6882,6882,6882,6882
"University of Texas, Austin",MSE ,Electrical and Computer Engineering,工程学院,https://www.ece.utexas.edu/academics/graduate/admissions,https://www.ece.utexas.edu/academics/graduate/degrees,6882,三个回答完全一致,3,3,6882,6882,6882,6882,6882,6882
"University of California, Irvine",MDS,Master of Data Science,信息与计算机科学学院,https://mds.ics.uci.edu/overview/admissions/,https://mds.ics.uci.edu/,4859,三个回答完全一致,3,3,4859,4859,4859,4859,4859,4859
Georgia Institute of Technology,MS,Analytics,商学院,https://www.analytics.gatech.edu/admissions,https://www.analytics.gatech.edu/,5248,三个回答完全一致,3,3,5248,5248,5248,5248,5248,5248
"University of California, Santa Barbara",MA,Statistics-Data Science,文理学院,https://www.graddiv.ucsb.edu/graduate-programs/departments/statistics,https://www.pstat.ucsb.edu/graduate/ma,4835,三个回答完全一致,3,3,4835,4835,4835,4835,4835,4835
"University of California, Santa Barbara",MA,Statistics-Data Science,文理学院,https://www.graddiv.ucsb.edu/graduate-programs/departments/statistics,https://www.pstat.ucsb.edu/graduate/ma,4835,三个回答完全一致,3,3,4835,4835,4835,4835,4835,4835
"University of California, Santa Barbara",MA,Statistics-Data Science,文理学院,https://www.graddiv.ucsb.edu/graduate-programs/departments/statistics,https://www.pstat.ucsb.edu/graduate/ma,4835,三个回答完全一致,3,3,4835,4835,4835,4835,4835,4835
New York University,Ph.D,Data Science ,文理研究生院,https://gsas.nyu.edu/admissions/arc/programs/data-science.html,https://cds.nyu.edu/phd-curriculum/,2596,三个回答完全一致,3,3,2596,2596,2596,2596,2596,2596
