大学英文名称,学位,专业英文名称,所属院系,招生网址,专业网址,托福送分ETS code,判断状态,有效回答数,总回答数,Response 1 提取,Response 2 提取,Response 3 提取,Response 1 原文,Response 2 原文,Response 3 原文
Brown University,MS,Social Data Analytics,研究生院,https://graduateprograms.brown.edu/graduate-program/social-data-analytics-scm,https://www.brown.edu/academics/sociology/programs/masters-scm-program-social-data-analytics,3094,三个回答完全一致,3,3,3094,3094,3094,3094,3094,3094
Columbia University,M.A.,"Master of Science (M.S.) in Data, Learning, and Society",师范学院,https://www.tc.columbia.edu/human-development/data-learning-and-society/degrees--requirements/data-learning-and-society/,https://www.tc.columbia.edu/human-development/data-learning-and-society/degrees--requirements/data-learning-and-society/,需要额外确认,所有回答都无效,0,3,invalid,invalid,invalid,Not found,Not found,Not found
Columbia University,MA,Quantitative Methods in the Social Sciences,艺术与科学研究生院,https://www.gsas.columbia.edu/content/quantitative-methods-social-sciences,https://qmss.columbia.edu/,2162,三个回答完全一致,3,3,2162,2162,2162,2162,2162,2162
Cornell University,M.S.,Biostatistics and Data Science,威尔康奈尔医学科学研究生院,https://gradschool.weill.cornell.edu/programs/population-health-sciences,https://gradschool.weill.cornell.edu/programs/population-health-sciences,需要额外确认,只有一个有效回答，不足以确认,1,3,invalid,invalid,2098,"Based on the search results, I found two potential...","Based on the search results, there appear to be tw...",2098
University of Chicago,MSCAPP,MS in Computational Analysis and Public Policy,物理科学部,https://harris.uchicago.edu/admissions/requirements-and-deadlines,https://capp.uchicago.edu/,1832,两个有效回答一致,2,3,1832,invalid,1832,1832,"Based on the search results and browsed content, I...",1832
University of Chicago,M.S. ,MS in Environmental Science,物理科学部,https://geosci.uchicago.edu/academics/ms-in-environmental-sciences/admissions/,https://geosci.uchicago.edu/academics/ms-in-environmental-sciences//,1832,三个回答完全一致,3,3,1832,1832,1832,1832,1832,1832
University of Chicago,MAPSS,Quantitative Methods & Social Analysis,社会科学部,https://socialsciences.uchicago.edu/admissions/how-to-apply,https://mapss.uchicago.edu/programs-of-study,需要额外确认,只有一个有效回答，不足以确认,1,3,1832,invalid,invalid,1832,"Based on the search results and browsed content, t...","Based on the search results and browsed content, t..."
University of Chicago,MACSS,Computational Social Science,社会科学部,https://macss.uchicago.edu/apply/application-requirements,https://mapss.uchicago.edu/programs-of-study,1832,三个回答完全一致,3,3,1832,1832,1832,1832,1832,1832
University of Chicago,MACSS,Computational Social Science ：economics,社会科学部,https://macss.uchicago.edu/apply/application-requirements,https://mapss.uchicago.edu/programs-of-study,1832,三个回答完全一致,3,3,1832,1832,1832,1832,1832,1832
"University of California, Berkeley",M.A.,Master of Computational Social Science (MaCSS),计算社会科学学院,https://grad.berkeley.edu/program/master-of-computational-social-science-mcss/,https://macss.berkeley.edu/,4833,三个回答完全一致,3,3,4833,4833,4833,4833,4833,4833
Rice University,PSM,Applied Chemical Sciences ：Computational Chemistry and Data Science,自然科学学院,https://profms.rice.edu/application-deadlines,https://profms.rice.edu/programs/applied-chemical-sciences,6609,三个回答完全一致,3,3,6609,6609,6609,6609,6609,6609
Rice University,PSM,Applied Chemical Sciences ：Computational Chemistry and Data Science,自然科学学院,https://profms.rice.edu/application-deadlines,https://profms.rice.edu/programs/applied-chemical-sciences,6609,三个回答完全一致,3,3,6609,6609,6609,6609,6609,6609
"University of Michigan, Ann Arbor",Ph.D,Survey and Data Science,文化、科学与艺术学院,https://psm.isr.umich.edu/graduate-admissions,https://psm.isr.umich.edu/programs-study,需要额外确认,所有回答都无效,0,3,invalid,invalid,invalid,"Based on the search result, the Program in Survey ...",02401,"Based on the search result, the Program in Survey ..."
"University of Michigan, Ann Arbor",MS,Survey and Data Science,文化、科学与艺术学院,https://psm.isr.umich.edu/graduate-admissions,https://psm.isr.umich.edu/programs-study,需要额外确认,所有回答都无效,0,3,invalid,invalid,invalid,"Based on the search results, the University of Mic...","Based on the search results, the University of Mic...","Based on the search results, the Program in Survey..."
Georgetown University,M.S.,Data Science for Public Policy,公共政策学院,https://grad.georgetown.edu/public-policy/,https://mccourt.georgetown.edu/master-of-science-in-data-science-for-public-policy/,5244,三个回答完全一致,3,3,5244,5244,5244,5244,5244,5244
University of Virginia,ME,Biomedical Engineering,工程学院,https://engineering.virginia.edu/graduate-study/future-grad-students/graduate-admission,https://engineering.virginia.edu/department/biomedical-engineering/academics/graduate-programs/me-biomedical-engineering,需要额外确认,所有回答都无效,0,3,invalid,invalid,invalid,B875,B875,B875
Carnegie Mellon University,MSPPM,MACHINE LEARNING & PUBLIC POLICY,信息系统与公共政策学院 ,https://www.heinz.cmu.edu/admissions/public-policy-management/,https://www.heinz.cmu.edu/programs/public-policy-management-master/,2176,三个回答完全一致,3,3,2176,2176,2176,2176,2176,2176
Carnegie Mellon University,Ph.D.,Societal Computing,计算机科学学院,https://sc.cs.cmu.edu/prospective-students/index.html,https://sc.cs.cmu.edu/program/index.html,需要额外确认,所有回答都无效,0,3,invalid,invalid,invalid,"Based on the search results, I found two possible ...","Based on the search results, Carnegie Mellon Unive...",Based on the search results and the browsed conten...
Washington University in St. Louis,MSBDS,Master of Science in Biostatistics and Data Science (MSBDS),医学院,https://i2db.wustl.edu/education-programs/master-of-science-in-biostatistics-and-data-science/admissions/application-information/,https://i2db.wustl.edu/education-programs/master-of-science-in-biostatistics-and-data-science/,6929,三个回答完全一致,3,3,6929,6929,6929,6929,6929,6929
Washington University in St. Louis,PHD,Biomedical Informatics and Data Science,医学院,https://dbbs.wustl.edu/admissions/application-requirements/,https://dbbs.wustl.edu/programs/,6929,三个回答完全一致,3,3,6929,6929,6929,6929,6929,6929
"University of California, San Diego",MS,COMPUTATIONAL SOCIAL SCIENCE,社会科学部,https://css.ucsd.edu/masters/Prospectives.html,https://css.ucsd.edu/masters/index.html,4836,三个回答完全一致,3,3,4836,4836,4836,4836,4836,4836
"University of California, San Diego",PhD,COMPUTATIONAL SOCIAL SCIENCE,社会科学部,https://css.ucsd.edu/phd-specialization/admissions.html,https://css.ucsd.edu/phd-specialization/index.html,需要额外确认,只有一个有效回答，不足以确认,1,3,invalid,invalid,4836,Based on the search results and the browsed conten...,Based on the search results and the browsed conten...,4836
"University of California, San Diego",PHD,Computational Biology and Data Science,医学院,https://biomedsci.ucsd.edu/how-to-apply/index.html,https://biomedsci.ucsd.edu/training-areas/index.html,4836,三个回答完全一致,3,3,4836,4836,4836,4836,4836,4836
University of Southern California,M.S.,Communication Data Science,传播与新闻学院,https://annenberg.usc.edu/admissions/graduate-applicants,https://annenberg.usc.edu/academics/communication-data-science-ms,4852,三个回答完全一致,3,3,4852,4852,4852,4852,4852,4852
University of Southern California,M.S.,MS IN BIOMEDICAL ENGINEERING – BIOMEDICAL DATA ANALYTICS,工程学院,https://viterbigradadmission.usc.edu/programs/masters/msprograms/biomedical-engineering/ms-bme-biomedical-data-analytics/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/biomedical-engineering/ms-bme-biomedical-data-analytics/,4852,两个有效回答一致,2,3,invalid,4852,4852,The ETS code for USC is 4852. No department code i...,4852,4852
University of Southern California,M.S.,Master of Science in Communication Data Science,工程学院,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/master-communication-data-science/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/master-communication-data-science/,4852,两个有效回答一致,2,3,4852,invalid,4852,4852,Based on the search results and the browsed conten...,4852
University of Southern California,M.S.,MS IN ENVIRONMENTAL DATA SCIENCE,工程学院,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/ms-in-environmental-data-science/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/ms-in-environmental-data-science/,4852,两个有效回答一致,2,3,invalid,4852,4852,"Based on the search results, USC's institution cod...",4852,4852
University of Southern California,M.S.,Spatial Data Science,工程学院,https://gis.usc.edu/admissions/#mssds,https://gis.usc.edu/programs/masters-spatial-data-science/,4852,三个回答完全一致,3,3,4852,4852,4852,4852,4852,4852
University of Southern California,M.S.,M.S. in Spatial Economics and Data Analysis,文理学院,https://gis.usc.edu/admissions/#msseda,https://gis.usc.edu/programs/masters-spatial-economics-and-data-analysis/,需要额外确认,所有回答都无效,0,3,invalid,invalid,invalid,Not found,Based on the search results and the browsed conten...,The browsed results mention TOEFL/IELTS scores as ...
University of Southern California,M.S.,Public Policy Data Science,公共政策学院,https://priceschool.usc.edu/mppds/admission/,https://priceschool.usc.edu/mppds/,4852,三个回答完全一致,3,3,4852,4852,4852,4852,4852,4852
"University of California, Irvine",MENG,CIVIL AND ENVIRONMENTAL ENGINEERING,工程学院,https://meng.eng.uci.edu/apply/#admission%20requirements,https://meng.eng.uci.edu/explore/#concentrations,4859,三个回答完全一致,3,3,4859,4859,4859,4859,4859,4859
Georgia Institute of Technology,MS,Master of Science in Urban Analytics,设计学院,https://grad.gatech.edu/degree-programs/urban-analytics,https://planning.gatech.edu/master-science-urban-analytics,5248,三个回答完全一致,3,3,5248,5248,5248,5248,5248,5248
"University of California, Santa Barbara",MEDS,MASTER OF ENVIRONMENTAL DATA SCIENCE,环境科学与管理学院,https://www.graddiv.ucsb.edu/graduate-programs/departments/environmental-science-management-bren-school,https://bren.ucsb.edu/masters-programs/master-environmental-data-science,需要额外确认,所有回答都无效,0,3,invalid,invalid,invalid,"Based on the search results and browsed content, I...",Based on the browsed content from the admissions a...,Based on the search results and browsing the provi...
New York University,MS,Data Science – Biomedical Informatics Track,文理研究生院,https://gsas.nyu.edu/admissions/arc/programs/data-science.html,https://cds.nyu.edu/masters-in-data-science-tracks/,2596,三个回答完全一致,3,3,2596,2596,2596,2596,2596,2596
New York University,MS,Applied Statistics for Social Science Research (ASSR-MS),文化，教育和人类发展学院,https://steinhardt.nyu.edu/degree/ms-applied-statistics-social-science-research/how-apply,https://steinhardt.nyu.edu/degree/ms-applied-statistics-social-science-research,需要额外确认,所有回答都无效,0,3,invalid,invalid,invalid,Not found,Not found,Not found
New York University,MS/MPA,Applied Statistics for Social Science Research (MS) / Public and Nonprofit Management (MPA) - Dual Degree (ASSD-MS),文化，教育和人类发展学院,https://steinhardt.nyu.edu/degree/ms-applied-statistics-mpa-public-and-nonprofit-management-and-policy/how-apply,https://steinhardt.nyu.edu/degree/ms-applied-statistics-mpa-public-and-nonprofit-management-and-policy,需要额外确认,所有回答都无效,0,3,invalid,invalid,invalid,Not found,Not found,Not found
New York University,MS,Statistics and Computational Social Science,文化，教育和人类发展学院,https://steinhardt.nyu.edu/degree/phd-statistics-and-computational-social-science/how-apply,https://steinhardt.nyu.edu/degree/phd-statistics-and-computational-social-science,2556,三个回答完全一致,3,3,2556,2556,2556,2556,2556,2556
"University of Wisconsin, Madison",M.S.,Psychology：DATA SCIENCE IN HUMAN BEHAVIOR,文理学院,https://guide.wisc.edu/graduate/psychology/psychology-ms/psychology-data-science-human-behavior-ms/#admissionstext,https://datascience.psych.wisc.edu/,需要额外确认,所有回答都无效,0,3,invalid,invalid,invalid,Not found,"Based on the search results and browsed content, I...",Not found
"University of Wisconsin, Madison",M.S.,"Biomedical Data Science, M.S.",医学和公共卫生学院,https://guide.wisc.edu/graduate/biostatistics-medical-informatics/biomedical-data-science-ms/#admissionstext,https://biostat.wiscweb.wisc.edu/education/current-students/ms-bds/,需要额外确认,所有回答都无效,0,3,invalid,invalid,invalid,"Based on the search results and browsed content, I...","Based on the browsed content and search results, t...",The search results do not directly provide the TOE...
"University of Wisconsin, Madison",Ph.D.,"Biomedical Data Science, Ph.D.",医学和公共卫生学院,https://guide.wisc.edu/graduate/biostatistics-medical-informatics/biomedical-data-science-phd/#admissionstext,https://biostat.wiscweb.wisc.edu/education/current-students/phd-bds/,需要额外确认,所有回答都无效,0,3,invalid,invalid,invalid,"Based on the search results, the University of Wis...","Based on the search results and browsed content, t...","Based on the search results and browsed content, t..."
"University of Illinois, Urbana-Champaign",MS,statistics-analytics,文理学院,https://predictive-analytics.illinois.edu/apply-online/,https://predictive-analytics.illinois.edu/,1836,三个回答完全一致,3,3,1836,1836,1836,1836,1836,1836
"University of Illinois, Urbana-Champaign",MS,statistics-analytics,文理学院,https://predictive-analytics.illinois.edu/apply-online/,https://predictive-analytics.illinois.edu/,1836,三个回答完全一致,3,3,1836,1836,1836,1836,1836,1836
University of Washington,PHD,Bioengineering (PhD)：Data Science Option,工程学院,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-O-BIOEN-00-41,https://bioe.uw.edu/academic-programs/phd/,4854,三个回答完全一致,3,3,4854,4854,4854,4854,4854,4854
University of Washington,PHD,Chemical Engineering (PhD)：Advanced Data Science Option,工程学院,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-J-CHEM%20E-00-30,https://www.cheme.washington.edu/graduate_students/prosp_grad/program/ADS.html,4854,三个回答完全一致,3,3,4854,4854,4854,4854,4854,4854
University of Washington,PHD,Civil & Environmental Engineering - Data Science Option,工程学院,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-J-CIV%20E-00-30,https://www.ce.washington.edu/current/phd/data-science-option,4854,三个回答完全一致,3,3,4854,4854,4854,4854,4854,4854
University of Washington,MSEE,Electrical Engineering (MSEE) - Seattle ：Data Science Option,工程学院,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-J-E%20E-00-26,https://www.ece.uw.edu/academics/grad/,4854,两个有效回答一致,2,3,invalid,4854,4854,"Based on the search results and browsed content, t...",4854,4854
University of Washington,PHD,Electrical Engineering (PhD) - Seattle ：Data Science Option,工程学院,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-J-E%20E-00-30,https://www.ece.uw.edu/academics/grad/,4854,三个回答完全一致,3,3,4854,4854,4854,4854,4854,4854
University of Washington,PHD,"Ph.D., Applied Mathematics: Advanced Data Science",文理学院,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-C-AMATH-00-41,https://amath.washington.edu/phd-program,4854,三个回答完全一致,3,3,4854,4854,4854,4854,4854,4854
University of Washington,PHD,"Ph.D., Psychology: Data Science Option",文理学院,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-C-PSYCH-00-41,https://psych.uw.edu/graduate/areas,需要额外确认,只有一个有效回答，不足以确认,1,3,invalid,invalid,4854,"Based on the search results, the University of Was...","Based on the search results, the University of Was...",4854
University of Washington,PHD,Statistics (PhD)-Statistics in the Social Sciences,文理学院,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-C-STAT-00-30,https://stat.uw.edu/academics/graduate/programs/phd,4854,两个有效回答一致,2,3,invalid,4854,4854,Based on the search results and the browsed webpag...,4854,4854
University of Washington,MS,Aquatic & Fishery Sciences (MS)： DATA SCIENCE TRACK,环境学院,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-D-AFS-00-25,https://fish.uw.edu/students/graduate-program/,4854,三个回答完全一致,3,3,4854,4854,4854,4854,4854,4854
University of Washington,PHD,Aquatic & Fishery Sciences (PhD)： DATA SCIENCE TRACK,环境学院,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-D-AFS-00-41,https://fish.uw.edu/students/graduate-program/,4854,三个回答完全一致,3,3,4854,4854,4854,4854,4854,4854
University of Washington,PHD,Earth and Space Sciences (PhD) ： DATA SCIENCE  TRACK,环境学院,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-D-ESS-00-41,https://ess.uw.edu/education/graduate-program/,4854,三个回答完全一致,3,3,4854,4854,4854,4854,4854,4854
University of Washington,PHD,Atmospheric Sciences (PhD)： DATA SCIENCE  TRACK,环境学院,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-D-ATM%20S-00-41,https://atmos.uw.edu/students/graduate-program/academic-program/data-science-options/,需要额外确认,所有回答都无效,0,3,invalid,invalid,invalid,The search results indicate that the University of...,"Based on the search results, the TOEFL ETS code fo...","Based on the search results, the University of Was..."
University of Washington,PHD,Atmospheric Sciences (PhD)：ADVANCED DATA SCIENCE (ADS) TRACK,环境学院,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-D-ATM%20S-00-41,https://atmos.uw.edu/students/graduate-program/academic-program/data-science-options/,需要额外确认,只有一个有效回答，不足以确认,1,3,invalid,invalid,4854,The search results indicate that the University of...,"Based on the search results, the University of Was...",4854
University of Washington,PHD, PhD (Public Policy & Management) ： DATA SCIENCE  TRACK,公共政策与治理学院,https://evans.uw.edu/admissions/ph-d-admissions/,https://evans.uw.edu/academic-programs/phd/data-science-and-advanced-data-science-degree-options/,需要额外确认,只有一个有效回答，不足以确认,1,3,4854,invalid,invalid,4854,The search results and browsed content do not expl...,"Based on the search results and browsed content, t..."
University of Washington,PHD, PhD (Public Policy & Management) ：ADVANCED DATA SCIENCE (ADS) TRACK,公共政策与治理学院,https://evans.uw.edu/admissions/ph-d-admissions/,https://evans.uw.edu/academic-programs/phd/data-science-and-advanced-data-science-degree-options/,4854,三个回答完全一致,3,3,4854,4854,4854,4854,4854,4854
"Rutgers University, New Brunswick",MPI,Master of Public Informatics,规划与公共政策学院,https://bloustein.rutgers.edu/graduate/apply/,https://bloustein.rutgers.edu/graduate/public-informatics/,2790,两个有效回答一致,2,3,2790,2790,invalid,2790,2790,The TOEFL Institution Code for Rutgers is 2790.
"Rutgers University, New Brunswick",MPI,Master of Public Informatics,规划与公共政策学院,https://bloustein.rutgers.edu/graduate/apply/,https://bloustein.rutgers.edu/graduate/public-informatics/,2790,三个回答完全一致,3,3,2790,2790,2790,2790,2790,2790
Tufts University,MS,Nutrition Epidemiology and Data Science,营养科学与政策学院,https://nutrition.tufts.edu/admissions/application-checklist,https://nutrition.tufts.edu/academics/degree-programs/nutrition-data-science,3913,三个回答完全一致,3,3,3913,3913,3913,3913,3913,3913
Tufts University,MS,Nutrition Epidemiology and Data Science,营养科学与政策学院,https://nutrition.tufts.edu/admissions/application-checklist,https://nutrition.tufts.edu/academics/degree-programs/nutrition-data-science,3913,两个有效回答一致,2,3,invalid,3913,3913,Based on the browsed content of the application ch...,3913,3913
Tufts University,PHD,Nutrition Epidemiology and Data Science,营养科学与政策学院,https://nutrition.tufts.edu/admissions/application-checklist,https://nutrition.tufts.edu/academics/degree-programs/nutrition-data-science,3913,三个回答完全一致,3,3,3913,3913,3913,3913,3913,3913
"Purdue University, West Lafayette",MS,Geodata Science,理学院,https://www.purdue.edu/academics/ogsps/prospective/gradrequirements/westlafayette/eas.html,https://www.eaps.purdue.edu/for_students/graduate/index.html,1631,三个回答完全一致,3,3,1631,1631,1631,1631,1631,1631
"Purdue University, West Lafayette",MS,Geodata Science,理学院,https://www.purdue.edu/academics/ogsps/prospective/gradrequirements/westlafayette/eas.html,https://www.eaps.purdue.edu/for_students/graduate/index.html,1631,三个回答完全一致,3,3,1631,1631,1631,1631,1631,1631
"Purdue University, West Lafayette",MS,MS Data Science in Finance,理学院,https://www.purdue.edu/academics/ogsps/prospective/gradrequirements/westlafayette/stat.html,https://www.stat.purdue.edu/academic_programs/graduate/gradCompFinance.html,1631,三个回答完全一致,3,3,1631,1631,1631,1631,1631,1631
"Purdue University, West Lafayette",MS,MS Data Science in Finance,理学院,https://www.purdue.edu/academics/ogsps/prospective/gradrequirements/westlafayette/stat.html,https://www.stat.purdue.edu/academic_programs/graduate/gradCompFinance.html,1631,三个回答完全一致,3,3,1631,1631,1631,1631,1631,1631
"University of Maryland, College Park",MS,M.S. in Applied Political Analytics,行为与社会科学学院,https://gradschool.umd.edu/behavioralsocial-sciences/apan,https://gvpt.umd.edu/landingtopic/ms-applied-political-analytics,5814,三个回答完全一致,3,3,5814,5814,5814,5814,5814,5814
"University of Maryland, College Park",MS,Survey and Data Science,行为与社会科学学院,https://gradschool.umd.edu/behavioralsocial-sciences/suds,https://jpsm.umd.edu/landingtopic/onsite-programs,5814,两个有效回答一致,2,3,5814,invalid,5814,5814,The search results and browsed content mention TOE...,5814
"University of Maryland, College Park",PhD,Survey and Data Science,行为与社会科学学院,https://gradschool.umd.edu/behavioralsocial-sciences/surv,https://jpsm.umd.edu/landingtopic/onsite-programs,5814,三个回答完全一致,3,3,5814,5814,5814,5814,5814,5814
Northeastern University（Boston）,MS,Data and Systems,工程学院,https://coe.northeastern.edu/academics-experiential-learning/graduate-school-of-engineering/graduate-admissions/,https://cee.northeastern.edu/academics/graduate-studies/ms-cive/,3665,三个回答完全一致,3,3,3665,3665,3665,3665,3665,3665
Northeastern University（Boston）,MS,Data and Systems,工程学院,https://coe.northeastern.edu/academics-experiential-learning/graduate-school-of-engineering/graduate-admissions/,https://cee.northeastern.edu/academics/graduate-studies/ms-cive/,3665,三个回答完全一致,3,3,3665,3665,3665,3665,3665,3665
Northeastern University（Boston）,MS,Applied Quantitative Methods and Social Analysis,社会科学与人文学院,https://cssh.northeastern.edu/apply/graduate-admissions/,https://cssh.northeastern.edu/program/ms-science-in-applied-quantitative-methods-and-social-analysis/,3682,三个回答完全一致,3,3,3682,3682,3682,3682,3682,3682
Northeastern University（Boston）,MS,Applied Quantitative Methods and Social Analysis,社会科学与人文学院,https://cssh.northeastern.edu/apply/graduate-admissions/,https://cssh.northeastern.edu/program/ms-science-in-applied-quantitative-methods-and-social-analysis/,3682,三个回答完全一致,3,3,3682,3682,3682,3682,3682,3682
Northeastern University,MS,Applied Quantitative Methods and Social Analysis,东北大学（弗吉尼亚州阿灵顿）,https://cssh.northeastern.edu/apply/graduate-admissions/,https://arlington.northeastern.edu/programs/applied-quantitative-methods-and-social-analysis/,3682,三个回答完全一致,3,3,3682,3682,3682,3682,3682,3682
Northeastern University,MS,Applied Quantitative Methods and Social Analysis,东北大学（弗吉尼亚州阿灵顿）,https://cssh.northeastern.edu/apply/graduate-admissions/,https://arlington.northeastern.edu/programs/applied-quantitative-methods-and-social-analysis/,3682,三个回答完全一致,3,3,3682,3682,3682,3682,3682,3682
"University of Minnesota, Twin Cities",MS,M.S. in Data Science for Chemical Engineering and Materials Science,理工学院,https://cse.umn.edu/cems/master-science-data-science,https://cse.umn.edu/cems/ms-data-science,需要额外确认,只有一个有效回答，不足以确认,1,3,invalid,invalid,6874,Not found,"Based on the browsed results, the M.S. in Data Sci...",6874
"University of Minnesota, Twin Cities",PHD,health informatics：Data Science & Informatics Track,健康信息学研究所,https://healthinformatics.umn.edu/graduate-program/phd-graduate-program/data-science-informatics-track,https://healthinformatics.umn.edu/graduate-program/health-informatics-phd-graduate-program,6874,三个回答完全一致,3,3,6874,6874,6874,6874,6874,6874
"Pennsylvania State University, University Park",PHD,Social Data Analytics,人文科学学院,,https://soda.la.psu.edu/programs/graduate-program/,需要额外确认,只有一个有效回答，不足以确认,1,3,invalid,invalid,2660,"Based on the search results, Penn State's institut...","Based on the search results, the ETS code for Penn...",2660
Rensselaer Polytechnic Institute,MENG,Biomedical Data Science,工程学院,https://admissions.rpi.edu/graduate/masters-and-phd-applicants,https://bme.rpi.edu/graduate,2757,两个有效回答一致,2,3,2757,2757,invalid,2757,2757,Based on the search results and the browsed conten...
Rensselaer Polytechnic Institute,MENG,Biomedical Data Science,工程学院,https://admissions.rpi.edu/graduate/masters-and-phd-applicants,https://bme.rpi.edu/graduate,2757,三个回答完全一致,3,3,2757,2757,2757,2757,2757,2757
"University of Massachusetts, Amherst",MS,Economics,社会与行为科学学院,https://www.umass.edu/social-sciences/academics/dacss/dacss-admissions,https://www.umass.edu/social-sciences/academics/ms-dacss,3917,三个回答完全一致,3,3,3917,3917,3917,3917,3917,3917
"University of Massachusetts, Amherst",MS,Economics,社会与行为科学学院,https://www.umass.edu/social-sciences/academics/dacss/dacss-admissions,https://www.umass.edu/social-sciences/academics/ms-dacss,3917,三个回答完全一致,3,3,3917,3917,3917,3917,3917,3917
