大学英文名称,学位,专业英文名称,所属院系,招生网址,专业网址,申请费减免,判断状态,有效回答数,总回答数,Response 1 分类,Response 2 分类,Response 3 分类
Stanford University,MS,Biomedical Data Science,生物科学学院,https://dbds.stanford.edu/for-prospective-students/,https://dbds.stanford.edu/biomedical-data-science-graduate-program-overview/,not applicable,Majority vote: 2/3,3,3,not_applicable,applicable,not_applicable
University of Pennsylvania,MUSA,Master of Urban Spatial Analytics,设计学院,https://www.design.upenn.edu/graduate-admissions/how-apply,https://www.design.upenn.edu/musa/about,not applicable,只有一个有效回答,1,3,invalid,invalid,not_applicable
University of Pennsylvania,MSSP + DA,Social Policy+Data Analytics for Social Policy Certificate,社会政策与实践学院,https://sp3.upenn.edu/how-to-apply-mssp/,https://sp2.upenn.edu/program/master-of-science-in-social-policy-data-analytics-for-social-policy-certificate/,,所有回答无效,0,3,invalid,invalid,invalid
Brown University,MS,Social Data Analytics,研究生院,https://graduateprograms.brown.edu/graduate-program/social-data-analytics-scm,https://www.brown.edu/academics/sociology/programs/masters-scm-program-social-data-analytics,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
Columbia University,M.A.,"Master of Science (M.S.) in Data, Learning, and Society",师范学院,https://www.tc.columbia.edu/human-development/data-learning-and-society/degrees--requirements/data-learning-and-society/,https://www.tc.columbia.edu/human-development/data-learning-and-society/degrees--requirements/data-learning-and-society/,applicable,所有2个有效回答一致,2,3,applicable,applicable,invalid
Columbia University,MA,Quantitative Methods in the Social Sciences,艺术与科学研究生院,https://www.gsas.columbia.edu/content/quantitative-methods-social-sciences,https://qmss.columbia.edu/,applicable,所有2个有效回答一致,2,2,invalid,applicable,applicable
Cornell University,M.S.,Biostatistics and Data Science,威尔康奈尔医学科学研究生院,https://gradschool.weill.cornell.edu/programs/population-health-sciences,https://gradschool.weill.cornell.edu/programs/population-health-sciences,applicable,所有2个有效回答一致,2,3,applicable,invalid,applicable
University of Chicago,MSCAPP,MS in Computational Analysis and Public Policy,物理科学部,https://harris.uchicago.edu/admissions/requirements-and-deadlines,https://capp.uchicago.edu/,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
University of Chicago,M.S. ,MS in Environmental Science,物理科学部,https://geosci.uchicago.edu/academics/ms-in-environmental-sciences/admissions/,https://geosci.uchicago.edu/academics/ms-in-environmental-sciences//,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
University of Chicago,MAPSS,Quantitative Methods & Social Analysis,社会科学部,https://socialsciences.uchicago.edu/admissions/how-to-apply,https://mapss.uchicago.edu/programs-of-study,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
University of Chicago,MACSS,Computational Social Science,社会科学部,https://macss.uchicago.edu/apply/application-requirements,https://mapss.uchicago.edu/programs-of-study,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
University of Chicago,MACSS,Computational Social Science ：economics,社会科学部,https://macss.uchicago.edu/apply/application-requirements,https://mapss.uchicago.edu/programs-of-study,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
"University of California, Berkeley",M.A.,Master of Computational Social Science (MaCSS),计算社会科学学院,https://grad.berkeley.edu/program/master-of-computational-social-science-mcss/,https://macss.berkeley.edu/,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
Rice University,PSM,Applied Chemical Sciences ：Computational Chemistry and Data Science,自然科学学院,https://profms.rice.edu/application-deadlines,https://profms.rice.edu/programs/applied-chemical-sciences,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
Rice University,PSM,Applied Chemical Sciences ：Computational Chemistry and Data Science,自然科学学院,https://profms.rice.edu/application-deadlines,https://profms.rice.edu/programs/applied-chemical-sciences,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
"University of Michigan, Ann Arbor",Ph.D,Survey and Data Science,文化、科学与艺术学院,https://psm.isr.umich.edu/graduate-admissions,https://psm.isr.umich.edu/programs-study,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
"University of Michigan, Ann Arbor",MS,Survey and Data Science,文化、科学与艺术学院,https://psm.isr.umich.edu/graduate-admissions,https://psm.isr.umich.edu/programs-study,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
Georgetown University,M.S.,Data Science for Public Policy,公共政策学院,https://grad.georgetown.edu/public-policy/,https://mccourt.georgetown.edu/master-of-science-in-data-science-for-public-policy/,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
University of Virginia,ME,Biomedical Engineering,工程学院,https://engineering.virginia.edu/graduate-study/future-grad-students/graduate-admission,https://engineering.virginia.edu/department/biomedical-engineering/academics/graduate-programs/me-biomedical-engineering,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
Carnegie Mellon University,MSPPM,MACHINE LEARNING & PUBLIC POLICY,信息系统与公共政策学院 ,https://www.heinz.cmu.edu/admissions/public-policy-management/,https://www.heinz.cmu.edu/programs/public-policy-management-master/,applicable,所有2个有效回答一致,2,3,applicable,invalid,applicable
Carnegie Mellon University,Ph.D.,Societal Computing,计算机科学学院,https://sc.cs.cmu.edu/prospective-students/index.html,https://sc.cs.cmu.edu/program/index.html,,所有回答无效,0,3,invalid,invalid,invalid
Washington University in St. Louis,MSBDS,Master of Science in Biostatistics and Data Science (MSBDS),医学院,https://i2db.wustl.edu/education-programs/master-of-science-in-biostatistics-and-data-science/admissions/application-information/,https://i2db.wustl.edu/education-programs/master-of-science-in-biostatistics-and-data-science/,applicable,所有2个有效回答一致,2,3,applicable,applicable,invalid
Washington University in St. Louis,PHD,Biomedical Informatics and Data Science,医学院,https://dbbs.wustl.edu/admissions/application-requirements/,https://dbbs.wustl.edu/programs/,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
"University of California, San Diego",MS,COMPUTATIONAL SOCIAL SCIENCE,社会科学部,https://css.ucsd.edu/masters/Prospectives.html,https://css.ucsd.edu/masters/index.html,applicable,所有2个有效回答一致,2,3,applicable,applicable,invalid
"University of California, San Diego",PhD,COMPUTATIONAL SOCIAL SCIENCE,社会科学部,https://css.ucsd.edu/phd-specialization/admissions.html,https://css.ucsd.edu/phd-specialization/index.html,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
"University of California, San Diego",PHD,Computational Biology and Data Science,医学院,https://biomedsci.ucsd.edu/how-to-apply/index.html,https://biomedsci.ucsd.edu/training-areas/index.html,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
University of Southern California,M.S.,Communication Data Science,传播与新闻学院,https://annenberg.usc.edu/admissions/graduate-applicants,https://annenberg.usc.edu/academics/communication-data-science-ms,applicable,所有2个有效回答一致,2,3,applicable,invalid,applicable
University of Southern California,M.S.,MS IN BIOMEDICAL ENGINEERING – BIOMEDICAL DATA ANALYTICS,工程学院,https://viterbigradadmission.usc.edu/programs/masters/msprograms/biomedical-engineering/ms-bme-biomedical-data-analytics/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/biomedical-engineering/ms-bme-biomedical-data-analytics/,applicable,所有2个有效回答一致,2,3,invalid,applicable,applicable
University of Southern California,M.S.,Master of Science in Communication Data Science,工程学院,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/master-communication-data-science/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/master-communication-data-science/,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
University of Southern California,M.S.,MS IN ENVIRONMENTAL DATA SCIENCE,工程学院,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/ms-in-environmental-data-science/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/ms-in-environmental-data-science/,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
University of Southern California,M.S.,Spatial Data Science,工程学院,https://gis.usc.edu/admissions/#mssds,https://gis.usc.edu/programs/masters-spatial-data-science/,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
University of Southern California,M.S.,M.S. in Spatial Economics and Data Analysis,文理学院,https://gis.usc.edu/admissions/#msseda,https://gis.usc.edu/programs/masters-spatial-economics-and-data-analysis/,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
University of Southern California,M.S.,Public Policy Data Science,公共政策学院,https://priceschool.usc.edu/mppds/admission/,https://priceschool.usc.edu/mppds/,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
"University of California, Irvine",MENG,CIVIL AND ENVIRONMENTAL ENGINEERING,工程学院,https://meng.eng.uci.edu/apply/#admission%20requirements,https://meng.eng.uci.edu/explore/#concentrations,applicable,所有2个有效回答一致,2,2,invalid,applicable,applicable
Georgia Institute of Technology,MS,Master of Science in Urban Analytics,设计学院,https://grad.gatech.edu/degree-programs/urban-analytics,https://planning.gatech.edu/master-science-urban-analytics,applicable,所有2个有效回答一致,2,2,applicable,invalid,applicable
"University of California, Santa Barbara",MEDS,MASTER OF ENVIRONMENTAL DATA SCIENCE,环境科学与管理学院,https://www.graddiv.ucsb.edu/graduate-programs/departments/environmental-science-management-bren-school,https://bren.ucsb.edu/masters-programs/master-environmental-data-science,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
New York University,MS,Data Science – Biomedical Informatics Track,文理研究生院,https://gsas.nyu.edu/admissions/arc/programs/data-science.html,https://cds.nyu.edu/masters-in-data-science-tracks/,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
New York University,MS,Applied Statistics for Social Science Research (ASSR-MS),文化，教育和人类发展学院,https://steinhardt.nyu.edu/degree/ms-applied-statistics-social-science-research/how-apply,https://steinhardt.nyu.edu/degree/ms-applied-statistics-social-science-research,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
New York University,MS/MPA,Applied Statistics for Social Science Research (MS) / Public and Nonprofit Management (MPA) - Dual Degree (ASSD-MS),文化，教育和人类发展学院,https://steinhardt.nyu.edu/degree/ms-applied-statistics-mpa-public-and-nonprofit-management-and-policy/how-apply,https://steinhardt.nyu.edu/degree/ms-applied-statistics-mpa-public-and-nonprofit-management-and-policy,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
New York University,MS,Statistics and Computational Social Science,文化，教育和人类发展学院,https://steinhardt.nyu.edu/degree/phd-statistics-and-computational-social-science/how-apply,https://steinhardt.nyu.edu/degree/phd-statistics-and-computational-social-science,applicable,所有2个有效回答一致,2,3,invalid,applicable,applicable
"University of Wisconsin, Madison",M.S.,Psychology：DATA SCIENCE IN HUMAN BEHAVIOR,文理学院,https://guide.wisc.edu/graduate/psychology/psychology-ms/psychology-data-science-human-behavior-ms/#admissionstext,https://datascience.psych.wisc.edu/,applicable,只有一个有效回答,1,3,applicable,invalid,invalid
"University of Wisconsin, Madison",M.S.,"Biomedical Data Science, M.S.",医学和公共卫生学院,https://guide.wisc.edu/graduate/biostatistics-medical-informatics/biomedical-data-science-ms/#admissionstext,https://biostat.wiscweb.wisc.edu/education/current-students/ms-bds/,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
"University of Wisconsin, Madison",Ph.D.,"Biomedical Data Science, Ph.D.",医学和公共卫生学院,https://guide.wisc.edu/graduate/biostatistics-medical-informatics/biomedical-data-science-phd/#admissionstext,https://biostat.wiscweb.wisc.edu/education/current-students/phd-bds/,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
"University of Illinois, Urbana-Champaign",MS,statistics-analytics,文理学院,https://predictive-analytics.illinois.edu/apply-online/,https://predictive-analytics.illinois.edu/,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
"University of Illinois, Urbana-Champaign",MS,statistics-analytics,文理学院,https://predictive-analytics.illinois.edu/apply-online/,https://predictive-analytics.illinois.edu/,applicable,所有2个有效回答一致,2,2,invalid,applicable,applicable
University of Washington,PHD,Bioengineering (PhD)：Data Science Option,工程学院,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-O-BIOEN-00-41,https://bioe.uw.edu/academic-programs/phd/,,所有回答无效,0,3,invalid,invalid,invalid
University of Washington,PHD,Chemical Engineering (PhD)：Advanced Data Science Option,工程学院,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-J-CHEM%20E-00-30,https://www.cheme.washington.edu/graduate_students/prosp_grad/program/ADS.html,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
University of Washington,PHD,Civil & Environmental Engineering - Data Science Option,工程学院,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-J-CIV%20E-00-30,https://www.ce.washington.edu/current/phd/data-science-option,applicable,所有2个有效回答一致,2,3,applicable,invalid,applicable
University of Washington,MSEE,Electrical Engineering (MSEE) - Seattle ：Data Science Option,工程学院,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-J-E%20E-00-26,https://www.ece.uw.edu/academics/grad/,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
University of Washington,PHD,Electrical Engineering (PhD) - Seattle ：Data Science Option,工程学院,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-J-E%20E-00-30,https://www.ece.uw.edu/academics/grad/,,所有回答无效,0,3,invalid,invalid,invalid
University of Washington,PHD,"Ph.D., Applied Mathematics: Advanced Data Science",文理学院,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-C-AMATH-00-41,https://amath.washington.edu/phd-program,applicable,所有2个有效回答一致,2,2,applicable,applicable,invalid
University of Washington,PHD,"Ph.D., Psychology: Data Science Option",文理学院,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-C-PSYCH-00-41,https://psych.uw.edu/graduate/areas,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
University of Washington,PHD,Statistics (PhD)-Statistics in the Social Sciences,文理学院,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-C-STAT-00-30,https://stat.uw.edu/academics/graduate/programs/phd,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
University of Washington,MS,Aquatic & Fishery Sciences (MS)： DATA SCIENCE TRACK,环境学院,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-D-AFS-00-25,https://fish.uw.edu/students/graduate-program/,applicable,所有2个有效回答一致,2,2,applicable,invalid,applicable
University of Washington,PHD,Aquatic & Fishery Sciences (PhD)： DATA SCIENCE TRACK,环境学院,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-D-AFS-00-41,https://fish.uw.edu/students/graduate-program/,applicable,所有2个有效回答一致,2,3,invalid,applicable,applicable
University of Washington,PHD,Earth and Space Sciences (PhD) ： DATA SCIENCE  TRACK,环境学院,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-D-ESS-00-41,https://ess.uw.edu/education/graduate-program/,applicable,只有一个有效回答,1,2,invalid,applicable,invalid
University of Washington,PHD,Atmospheric Sciences (PhD)： DATA SCIENCE  TRACK,环境学院,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-D-ATM%20S-00-41,https://atmos.uw.edu/students/graduate-program/academic-program/data-science-options/,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
University of Washington,PHD,Atmospheric Sciences (PhD)：ADVANCED DATA SCIENCE (ADS) TRACK,环境学院,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-D-ATM%20S-00-41,https://atmos.uw.edu/students/graduate-program/academic-program/data-science-options/,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
University of Washington,PHD, PhD (Public Policy & Management) ： DATA SCIENCE  TRACK,公共政策与治理学院,https://evans.uw.edu/admissions/ph-d-admissions/,https://evans.uw.edu/academic-programs/phd/data-science-and-advanced-data-science-degree-options/,applicable,所有2个有效回答一致,2,3,applicable,applicable,invalid
University of Washington,PHD, PhD (Public Policy & Management) ：ADVANCED DATA SCIENCE (ADS) TRACK,公共政策与治理学院,https://evans.uw.edu/admissions/ph-d-admissions/,https://evans.uw.edu/academic-programs/phd/data-science-and-advanced-data-science-degree-options/,applicable,所有2个有效回答一致,2,3,applicable,applicable,invalid
"Rutgers University, New Brunswick",MPI,Master of Public Informatics,规划与公共政策学院,https://bloustein.rutgers.edu/graduate/apply/,https://bloustein.rutgers.edu/graduate/public-informatics/,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
"Rutgers University, New Brunswick",MPI,Master of Public Informatics,规划与公共政策学院,https://bloustein.rutgers.edu/graduate/apply/,https://bloustein.rutgers.edu/graduate/public-informatics/,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
Tufts University,MS,Nutrition Epidemiology and Data Science,营养科学与政策学院,https://nutrition.tufts.edu/admissions/application-checklist,https://nutrition.tufts.edu/academics/degree-programs/nutrition-data-science,applicable,所有2个有效回答一致,2,3,applicable,applicable,invalid
Tufts University,MS,Nutrition Epidemiology and Data Science,营养科学与政策学院,https://nutrition.tufts.edu/admissions/application-checklist,https://nutrition.tufts.edu/academics/degree-programs/nutrition-data-science,,"平票: {'applicable': 1, 'not_applicable': 1}",2,3,invalid,applicable,not_applicable
Tufts University,PHD,Nutrition Epidemiology and Data Science,营养科学与政策学院,https://nutrition.tufts.edu/admissions/application-checklist,https://nutrition.tufts.edu/academics/degree-programs/nutrition-data-science,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
"Purdue University, West Lafayette",MS,Geodata Science,理学院,https://www.purdue.edu/academics/ogsps/prospective/gradrequirements/westlafayette/eas.html,https://www.eaps.purdue.edu/for_students/graduate/index.html,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
"Purdue University, West Lafayette",MS,Geodata Science,理学院,https://www.purdue.edu/academics/ogsps/prospective/gradrequirements/westlafayette/eas.html,https://www.eaps.purdue.edu/for_students/graduate/index.html,applicable,只有一个有效回答,1,3,invalid,applicable,invalid
"Purdue University, West Lafayette",MS,MS Data Science in Finance,理学院,https://www.purdue.edu/academics/ogsps/prospective/gradrequirements/westlafayette/stat.html,https://www.stat.purdue.edu/academic_programs/graduate/gradCompFinance.html,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
"Purdue University, West Lafayette",MS,MS Data Science in Finance,理学院,https://www.purdue.edu/academics/ogsps/prospective/gradrequirements/westlafayette/stat.html,https://www.stat.purdue.edu/academic_programs/graduate/gradCompFinance.html,applicable,所有2个有效回答一致,2,3,applicable,applicable,invalid
"University of Maryland, College Park",MS,M.S. in Applied Political Analytics,行为与社会科学学院,https://gradschool.umd.edu/behavioralsocial-sciences/apan,https://gvpt.umd.edu/landingtopic/ms-applied-political-analytics,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
"University of Maryland, College Park",MS,Survey and Data Science,行为与社会科学学院,https://gradschool.umd.edu/behavioralsocial-sciences/suds,https://jpsm.umd.edu/landingtopic/onsite-programs,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
"University of Maryland, College Park",PhD,Survey and Data Science,行为与社会科学学院,https://gradschool.umd.edu/behavioralsocial-sciences/surv,https://jpsm.umd.edu/landingtopic/onsite-programs,applicable,所有2个有效回答一致,2,3,applicable,applicable,invalid
Northeastern University（Boston）,MS,Data and Systems,工程学院,https://coe.northeastern.edu/academics-experiential-learning/graduate-school-of-engineering/graduate-admissions/,https://cee.northeastern.edu/academics/graduate-studies/ms-cive/,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
Northeastern University（Boston）,MS,Data and Systems,工程学院,https://coe.northeastern.edu/academics-experiential-learning/graduate-school-of-engineering/graduate-admissions/,https://cee.northeastern.edu/academics/graduate-studies/ms-cive/,applicable,只有一个有效回答,1,3,applicable,invalid,invalid
Northeastern University（Boston）,MS,Applied Quantitative Methods and Social Analysis,社会科学与人文学院,https://cssh.northeastern.edu/apply/graduate-admissions/,https://cssh.northeastern.edu/program/ms-science-in-applied-quantitative-methods-and-social-analysis/,,所有回答无效,0,3,invalid,invalid,invalid
Northeastern University（Boston）,MS,Applied Quantitative Methods and Social Analysis,社会科学与人文学院,https://cssh.northeastern.edu/apply/graduate-admissions/,https://cssh.northeastern.edu/program/ms-science-in-applied-quantitative-methods-and-social-analysis/,,所有回答无效,0,3,invalid,invalid,invalid
Northeastern University,MS,Applied Quantitative Methods and Social Analysis,东北大学（弗吉尼亚州阿灵顿）,https://cssh.northeastern.edu/apply/graduate-admissions/,https://arlington.northeastern.edu/programs/applied-quantitative-methods-and-social-analysis/,,所有回答无效,0,3,invalid,invalid,invalid
Northeastern University,MS,Applied Quantitative Methods and Social Analysis,东北大学（弗吉尼亚州阿灵顿）,https://cssh.northeastern.edu/apply/graduate-admissions/,https://arlington.northeastern.edu/programs/applied-quantitative-methods-and-social-analysis/,,所有回答无效,0,3,invalid,invalid,invalid
"University of Minnesota, Twin Cities",MS,M.S. in Data Science for Chemical Engineering and Materials Science,理工学院,https://cse.umn.edu/cems/master-science-data-science,https://cse.umn.edu/cems/ms-data-science,,所有回答无效,0,0,invalid,invalid,invalid
"University of Minnesota, Twin Cities",PHD,health informatics：Data Science & Informatics Track,健康信息学研究所,https://healthinformatics.umn.edu/graduate-program/phd-graduate-program/data-science-informatics-track,https://healthinformatics.umn.edu/graduate-program/health-informatics-phd-graduate-program,not applicable,所有3个有效回答一致,3,3,not_applicable,not_applicable,not_applicable
"Pennsylvania State University, University Park",PHD,Social Data Analytics,人文科学学院,,https://soda.la.psu.edu/programs/graduate-program/,not applicable,只有一个有效回答,1,3,not_applicable,invalid,invalid
Rensselaer Polytechnic Institute,MENG,Biomedical Data Science,工程学院,https://admissions.rpi.edu/graduate/masters-and-phd-applicants,https://bme.rpi.edu/graduate,,所有回答无效,0,3,invalid,invalid,invalid
Rensselaer Polytechnic Institute,MENG,Biomedical Data Science,工程学院,https://admissions.rpi.edu/graduate/masters-and-phd-applicants,https://bme.rpi.edu/graduate,,所有回答无效,0,3,invalid,invalid,invalid
"University of Massachusetts, Amherst",MS,Economics,社会与行为科学学院,https://www.umass.edu/social-sciences/academics/dacss/dacss-admissions,https://www.umass.edu/social-sciences/academics/ms-dacss,applicable,所有2个有效回答一致,2,3,invalid,applicable,applicable
"University of Massachusetts, Amherst",MS,Economics,社会与行为科学学院,https://www.umass.edu/social-sciences/academics/dacss/dacss-admissions,https://www.umass.edu/social-sciences/academics/ms-dacss,applicable,所有2个有效回答一致,2,2,invalid,applicable,applicable
University of Miami,MS, Master of Science in Data Science：Smart Cities (School of Architecture),文理学院,https://msdatascience.as.miami.edu/resources/international-students/index.html,https://msdatascience.as.miami.edu/academics/academic-tracks/index.html,not applicable,所有2个有效回答一致,2,3,not_applicable,not_applicable,invalid
University of Miami,MS, Master of Science in Data Science：Data Visualization (School of Communication),文理学院,https://msdatascience.as.miami.edu/resources/international-students/index.html,https://msdatascience.as.miami.edu/academics/academic-tracks/index.html,not applicable,只有一个有效回答,1,3,invalid,not_applicable,invalid
University of Miami,MS, Master of Science in Data Science：Marine & Atmospheric Science (Rosenstiel School of Marine & Atmospheric Sciences),文理学院,https://msdatascience.as.miami.edu/resources/international-students/index.html,https://msdatascience.as.miami.edu/academics/academic-tracks/index.html,,"平票: {'applicable': 1, 'not_applicable': 1}",2,3,applicable,not_applicable,invalid
University of Miami,MS, Master of Science in Data Science：Educational Measurement & Statistics (School of Education & Human Development),文理学院,https://msdatascience.as.miami.edu/resources/international-students/index.html,https://msdatascience.as.miami.edu/academics/academic-tracks/index.html,,所有回答无效,0,3,invalid,invalid,invalid
University of Miami,MS, Master of Science in Data Science：Marketing (Miami Herbert Business School),文理学院,https://msdatascience.as.miami.edu/resources/international-students/index.html,https://msdatascience.as.miami.edu/academics/academic-tracks/index.html,,所有回答无效,0,3,invalid,invalid,invalid
Villanova University,MACDA,Master of Accounting with Data Analytics,商学院,https://www1.villanova.edu/university/business/academics/graduate-programs/accounting/mac/admissions.html,https://www1.villanova.edu/university/business/academics/graduate-programs/accounting/mac.html,not applicable,所有3个有效回答一致,3,3,not_applicable,not_applicable,not_applicable
Villanova University,MACDA,Master of Accounting with Data Analytics,商学院,https://www1.villanova.edu/university/business/academics/graduate-programs/accounting/mac/admissions.html,https://www1.villanova.edu/university/business/academics/graduate-programs/accounting/mac.html,not applicable,所有3个有效回答一致,3,3,not_applicable,not_applicable,not_applicable
Villanova University,MBT,MASTER OF BUSINESS TAXATION WITH DATA ANALYTICS,商学院,https://www1.villanova.edu/university/business/academics/graduate-programs/accounting/mbt/admissions.html,https://www1.villanova.edu/university/business/academics/graduate-programs/accounting/mbt.html,not applicable,所有2个有效回答一致,2,3,not_applicable,not_applicable,invalid
Villanova University,MBT,MASTER OF BUSINESS TAXATION WITH DATA ANALYTICS,商学院,https://www1.villanova.edu/university/business/academics/graduate-programs/accounting/mbt/admissions.html,https://www1.villanova.edu/university/business/academics/graduate-programs/accounting/mbt.html,not applicable,所有3个有效回答一致,3,3,not_applicable,not_applicable,not_applicable
Tulane University,MA,Political Economy with Data Analytics,文学院,https://liberalarts.tulane.edu/academics/graduate-studies/prospective-students,https://catalog.tulane.edu/liberal-arts/interdisciplinary-programs-coordinate-majors/political-economy/data-analytics-ma/#overviewtext,applicable,所有3个有效回答一致,3,3,applicable,applicable,applicable
