学校中文名,学校英文名,国家/地区,QS 2026,USNews 2026,THE 2025,ARWU 2024,Arts & Humanities,Archaeology,Architecture,Art & Design,Classics,English Language,History$,History of Art,Linguistics,Modern Languages,Music,Performing Arts,Philosophy,Theology,Engineering & Technology,Computer Science,Data Science,Engineering - Chemical,Engineering - Civil,Engineering - Electrical,Engineering - Mechanical,Engineering - Mineral,Petroleum Engineering,Life Sciences & Medicine,Agriculture,Anatomy,Biological,Dentistry,Medicine,Nursing,Pharmacy,Psychology,Veterinary Science,Natural Sciences,Chemistry,Earth & Marine Sciences,Environmental Sciences,Geography,Geology,Geophysics,Mathematics,Materials Science,Physics,Social Sciences & Management,Accounting,Anthropology,Business,Communication,Development Studies,Economics & Econometrics,Education,Hospitality,Law,Library,Marketing,Politics,Social Policy,Sociology,Sports-related Subjects,Statistics
芝加哥大学,University of Chicago,美国,13,26,14,10,16,=17,101-150,151-200,=49,11,12,,301-350,15,,51-100,20,9,132,50,=28,151-200,151-200,201-250,151-200,,,=163,,,201-250,51-120,34,51-100,=58,201-250,,=255,34,51-100,151-200,=29,101-150,101-150,22,201-250,18,9,151-200,=6,251-300,151-200,=17,251-300,61,,11,,,16,20,101-150,,18
北京大学,Peking University,中国,14,25,13,24,28,5,22,29,2,24,5,21-50,2,7,,51-100,37,,16,14,,15,,20,20,,,26,65,14,25,=39,=29,38,21,35,,=12,12,14,12,9,13,15,=13,14,13,13,=14,=47,25,=35,,20,15,,=22,13,,27,25,19,=34,21
宾夕法尼亚大学,University of Pennsylvania,美国,15,15,14,14,=33,22,39,101-150,51-150,25,=21,21-50,20,=24,,,51-100,101-150,=95,=41,27,=34,,=81,=84,,,18,,17,19,16,13,2,29,=14,9,=72,36,201-275,151-200,,201-250,201-250,41,=64,=41,16,9,=30,9,8,101-150,14,=39,=23,29,,=1,=73,51-100,=30,,=24
康奈尔大学,Cornell University,美国,16,16,20,12,27,101-150,19,50,51-150,=19,34,20,101-150,28,,51-100,51-100,101-150,30,18,=15,36,51-100,42,=53,,,16,5,,14,,31,,=52,49,3,23,=27,47,=29,=49,51-100,=42,36,=43,21,34,=32,41,=37,20,23,=27,=58,15,=31,45,,=48,51-100,25,51-100,20
清华大学,Tsinghua University,中国,17,11,12,22,=33,51-100,=7,=14,,57,51-100,3,=33,=30,,,51-100,,7,11,,7,5,10,7,,,=51,,24,20,,=59,,=23,=97,,10,13,11,2,15,18,=18,11,=6,12,18,16,,23,=40,,=18,14,51-100,=22,,26,19,16,=43,51-100,9
加州大学伯克利分校,"University of California, Berkeley",美国,17,6,8,5,5,9,10,51-100,20,4,8,19,14,5,,48,17,18,6,8,4,6,=3,3,11,,,20,9,,8,,=29,,,12,,8,6,8,7,5,7,8,6,9,6,7,7,5,11,11,7,6,9,,7,10,14,9,9,4,,5
墨尔本大学,University of Melbourne,澳大利亚,19,30,39,37,23,32,26,51-100,51-150,21,40,21-50,=30,=33,,40,51-100,51-100,=50,=46,33,52,=31,=63,=59,=25,,15,33,=30,34,=34,=25,25,51,21,=25,=49,=57,=29,24,17,34,35,54,=68,=81,27,27,23,=50,39,=37,45,16,,13,51-100,=31,56,43,34,6,51-100
新南威尔士大学,The University of New South Wales,澳大利亚,20,34,83,77,=170,101-150,23,51-100,,=61,151-200,21-50,101-150,151-200,,51-100,151-200,101-150,25,651-700,51-100,201-250,24,32,301-350,2,=10,54,101-150,51-100,=185,,301-350,,101-150,201-250,,44,201-250,201-275,201-250,201-250,201-250,201-250,48,27,201-250,=23,22,101-170,251-300,101-150,51-100,251-300,201-250,51-100,12,17,=20,301-400,51-100,101-150,44,101-150
耶鲁大学,Yale University,美国,21,9,10,11,6,21,32,16,15,5,4,14,62,6,,=22,16,7,56,26,9,=18,101-150,=44,=69,,,12,63,,6,,10,12,=17,5,,25,31,24,14,,=28,32,29,=98,20,8,10,=13,16,27,,7,,,4,,16,8,,9,,=36
慕尼黑技术大学,Technical University of Munich,德国,22,79,26,47,,,29,,,,,21-50,,,,,,,=19,35,20,55,36,=23,=25,51-100,,=75,45,51-100,52,,=78,,=97,,,=18,=22,51-100,=75,,51-100,51-100,69,=31,23,=137,101-150,,105,,,=135,101-150,,,,,151-200,,,,=22
洛桑联邦理工学院,École Polytechnique Fédérale de Lausanne,瑞士,22,86,32,55,,,14,,,,,,,,,,,,10,15,11,12,10,11,16,,,=163,,,=35,,=136,,,201-250,,11,10,,55,,,51-100,23,10,17,147,101-150,,=137,,,,,,,,,,,301-375,,14
约翰霍普金斯大学,Johns Hopkins University,美国,24,14,16,17,118,,,,51-150,=82,32,,251-300,151-200,,101-150,=44,101-150,=107,66,38,37,101-150,=111,=102,51-100,,3,,4,7,,4,3,5,=51,,=79,65,51-100,=48,101-150,51-100,51-100,63,100,53,=119,101-150,51-100,201-250,101-150,19,=64,=22,,101-150,,,=39,36,63,,=48
普林斯顿大学,Princeton University,美国,25,16,4,7,13,38,=40,51-100,18,10,=9,21-50,=95,12,,101-150,13,16,35,13,,=13,51-100,21,44,,,=149,,,24,,,,,22,,=12,35,=12,40,,12,12,7,74,10,28,26,24,74,,20,5,=46,,,,,3,19,8,,13
悉尼大学,The University of Sydney,澳大利亚,25,29,61,74,35,33,=30,51-100,33,26,39,21-50,=40,38,,51-100,=34,23,=60,36,51-100,67,28,=44,52,23,,24,=52,20,=62,51-120,27,=20,=19,39,21,=58,63,51-100,=66,25,51-100,51-100,=38,76,=81,38,29,33,=56,28,48,49,26,,18,21,39,42,22,=39,3,51-100
麦吉尔大学,McGill University,加拿大,27,62,45,74,=36,101-150,51-100,,51-150,43,=44,,26,37,14,21,51-100,27,=45,48,30,=44,51-100,=58,=49,3,,=27,=79,=5,=44,51-120,28,41,=58,25,51-100,48,54,46,=21,51-100,=41,=38,=72,=57,=69,39,56,=30,60,51-100,51-100,90,=28,,=41,22,51-100,44,=46,48,36,51-100
巴黎文理研究大学,PSL University,法国,28,105,42,33,=52,51-100,201-260,151-200,51-150,151-200,51-100,,151-200,101-150,,101-150,40,51-100,=72,58,=49,101-150,101-150,=96,101,31,,139,101-150,101-170,=66,,=136,,301-350,101-150,,=18,79,51-100,=128,201-250,47,=42,30,=80,=27,106,75,51-100,=137,201-250,,=74,,,151-200,,,151-200,,151-200,,=38
多伦多大学,University of Toronto,加拿大,29,16,21,26,14,31,51-100,51-100,=42,13,16,,=23,18,,50,10,10,17,12,10,=23,27,16,38,12,,13,=76,=5,22,51-120,14,4,13,13,,20,=17,=25,=21,13,30,=29,=16,36,31,14,17,12,33,29,35,21,10,,=16,15,=36,=34,18,14,4,17
复旦大学,Fudan University,中国,30,70,36,50,=79,44,51-100,151-200,=22,56,=26,,12,22,,101-150,=41,48,88,39,=49,32,,=50,62,,,=78,,38,=46,,=59,51-100,41,101-150,,=42,26,101-150,=94,=37,51-100,,=34,=37,38,58,=37,101-170,44,51-100,=29,31,=70,47,70,23,38,20,40,45,101-150,=33
伦敦国王学院,King’s College London,英国,31,36,36,53,17,101-150,,,13,16,25,,151-200,26,,51-100,24,35,=116,57,46,,,=102,151-200,,,11,,=26,31,=4,15,1,=31,18,,=116,=82,201-275,=144,14,201-250,201-250,59,151-200,=78,46,80,,=83,=18,31,=114,=22,,19,,51-100,=12,32,49,50,151-200
香港中文大学,Chinese University Hong Kong,中国香港,32,37,44,101,44,101-150,35,151-200,40,44,51-100,21-50,10,=24,,101-150,28,32,=100,=27,19,101-150,51-100,71,=84,,,49,,=39,=70,,=25,5,42,=32,,=126,=102,101-150,=90,19,101-150,101-150,42,=123,121,=47,=37,28,=46,12,101-150,37,=20,49,48,,41,=93,51-100,18,=21,=41
澳大利亚国立大学,The Australian National University,澳大利亚,32,86,73,101,32,10,,101-150,51-150,37,=26,21-50,57,=43,,51-100,8,36,=76,=37,51-100,,,=60,=110,,,=140,=37,51-100,=87,,=161,,,=88,,=34,=99,21,52,20,26,22,=50,=136,=55,=36,43,9,=68,51-100,10,39,101-150,,=26,,51-100,11,=28,23,,51-100
爱丁堡大学,The University of Edinburgh,英国,34,39,29,40,10,=29,51-100,51-100,28,7,=13,,7,13,,51-100,22,8,=58,23,24,63,51-100,=55,94,,,19,58,33,23,,20,46,37,=30,5,30,64,36,=42,21,33,=33,32,=141,52,=47,49,17,=121,=40,51-100,=83,17,,21,,,31,13,=30,=18,51-100
曼彻斯特大学,The University of Manchester,英国,35,68,53,52,=36,51-100,,,51-150,18,31,,29,35,,51-100,101-150,51-100,32,=67,,16,51-100,35,29,,=10,32,,29,49,51-120,33,10,25,50,,31,=22,51-100,=42,18,51-100,51-100,49,21,49,=36,23,21,45,51-100,11,=62,45,101-150,=62,20,27,45,=48,20,=42,51-100
蒙纳士大学,Monash University,澳大利亚,36,38,58,82,=67,51-100,101-150,51-100,51-150,51,51-100,,101-150,=60,,101-150,33,51-100,78,=62,=40,=49,42,=84,80,15,,=34,101-150,32,=68,,47,24,4,68,,83,=57,51-100,=69,51-100,51-100,51-100,=78,=29,=88,=51,41,51-100,77,51-100,51-100,42,30,51-100,=39,50,=36,=98,101-150,78,,51-100
东京大学,The University of Tokyo,日本,36,84,28,28,=29,13,15,=30,41,31,=13,21-50,=23,8,,51-100,51-100,51-100,18,30,,17,15,=25,=21,,,=38,27,=26,27,,48,101-150,33,=66,42,14,=17,=12,=32,16,=16,16,25,22,9,=32,=32,32,=68,51-100,21,=29,43,,=16,51-100,,30,=23,27,49,40
首尔国立大学,Seoul National University,韩国,38,133,62,86,=63,50,=33,=34,,39,28,21-50,17,19,,51-100,51-100,25,=38,44,25,11,29,=33,=21,,,=38,=39,,43,=46,=38,51-100,30,101-150,51-100,=34,20,51-100,=32,48,51-100,51-100,46,=19,24,41,36,51-100,=40,=25,32,38,=28,,=36,,34,24,8,35,=21,=50
哥伦比亚大学,Columbia University,美国,38,10,18,8,12,51-100,16,48,47,9,=9,17,=74,11,,36,21,19,=50,551-600,,351-400,41,43,=95,,,23,78,101-170,17,37,17,11,=34,201-250,51-100,=27,40,9,=18,,=9,7,21,=82,22,11,301-375,19,20,9,14,11,11,,8,,11,301-400,14,=12,=18,15
不列颠哥伦比亚大学,University of British Columbia,加拿大,40,41,41,47,=19,39,51-100,151-200,51-150,23,=21,,16,23,,101-150,101-150,51-100,31,=31,23,48,=25,36,=64,9,,25,25,10,42,51-120,=38,=16,=38,=19,51-100,22,=46,=25,17,12,35,=29,=34,=55,=44,20,=34,22,49,44,27,=23,=24,51-100,38,8,30,=48,=44,38,5,46
巴黎理工学院,Institut Polytechnique de Paris,法国,41,323,71,301,,,,,,,,,,,,,,,=40,=70,,151-200,,=67,=86,,,,,,351-400,,,,,,,=38,201-250,,151-200,,,,37,151-200,48,=270,,,251-300,,,=80,,,,,,,,,,32
爱琴海大学,Ege Üniversitesi,土耳其,1001-1200,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
昆士兰大学,The University of Queensland,澳大利亚,42,43,77,63,=109,=47,51-100,,51-150,=58,51-100,,63,75,,101-150,101-150,101-150,68,98,,=39,51-100,101,99,6,12,37,15,=48,59,36,75,45,28,34,35,=55,=46,=44,15,51-100,40,=46,=115,60,=128,57,68,51-100,81,101-150,45,73,=41,26,61,,51-100,79,51-100,=59,2,51-100
香港科技大学,The Hong Kong University of Science and Technology,中国香港,44,101,66,201,,,51-100,,,,,,,,,,,,43,=24,17,=70,19,29,42,,,,,,97,,,,,,,=64,=49,51-100,=56,51-100,51-100,51-100,=43,=39,62,54,=34,,26,,,=27,251-300,,,,29,,101-150,85,,26
密歇根大学-安娜堡,University of Michigan - Ann Arbor,美国,45,21,22,30,=19,28,=40,101-150,51-150,28,20,,59,=43,,51-100,29,=39,=38,=41,32,=44,30,28,14,,,31,101-150,25,37,1,19,=18,=15,8,,=38,=51,48,=18,=41,51-100,51-100,26,=47,33,=25,31,10,29,=18,51-100,22,19,151-175,=36,16,,26,35,10,9,19
加州大学洛杉矶分校,"University of California, Los Angeles",美国,46,13,18,15,=7,14,=27,24,51-150,8,11,21-50,13,9,,31,51-100,51-100,22,16,,22,=21,13,24,,,14,,9,12,17,12,=27,11,9,,16,=15,=18,20,7,=22,24,=13,17,=14,15,=14,8,31,21,13,13,13,,24,51-100,33,18,=48,=12,,16
代尔夫特理工大学,Delft University of Technology,荷兰,47,191,56,151,=58,,3,11,,,,,,,,,,,14,56,31,21,6,18,13,=17,,401-450,,,144,,301-350,,,,,45,=37,15,16,,=16,13,=72,15,=41,209,301-375,,151-200,,,,=81,,,,,,51-100,,,=41
上海交通大学,Shanghai Jiao Tong University,中国,47,46,52,38,=160,,=24,51-100,,95,151-200,,35,53,,,101-150,,27,20,44,29,16,19,15,,,71,=73,23,=57,51-120,71,51-100,45,=71,,=53,21,51-100,31,51-100,101-150,101-150,19,16,=44,=64,40,,28,101-150,,41,=89,48,47,31,40,81,51-100,,51-100,=22
浙江大学,Zhejiang University,中国,49,45,47,27,=123,101-150,43,51-100,51-150,101-150,101-150,,28,=72,,101-150,43,101-150,36,=31,,=18,=21,=25,28,,,=75,,21,50,51-120,=89,,26,=66,,=55,19,51-100,23,51-100,51-100,51-100,=43,23,=60,74,=66,,=61,51-100,49,=47,=34,41,49,,,=64,51-100,=59,101-150,45
延世大学,Yonsei University,韩国,50,180,102,201,=107,,48,51-100,,=48,51-100,,=30,=33,,101-150,101-150,17,=86,61,,46,=48,=60,=46,,,=66,,51-100,=76,31,55,37,=67,=71,,=98,=55,101-150,=64,51-100,101-150,101-150,=60,35,=71,59,51,101-170,34,=35,=37,50,55,,87,30,,21,6,26,26,51-100
布里斯托大学,University of Bristol,英国,51,105,78,97,=88,101-150,,,51-150,=61,51-100,,,=79,,101-150,51-100,,=116,=134,51-100,,51-100,151-200,=66,,,56,151-200,51-100,=103,,=59,,=69,=74,30,81,=96,32,=102,27,43,=38,=93,=138,148,=128,101-150,101-170,201-250,101-150,101-150,=164,=46,101-150,=65,,,=75,33,42,51-100,51-100
卡内基梅隆大学,Carnegie Mellon University,美国,52,126,24,101,69,,51-100,20,,251-300,,,101-150,301-350,,101-150,201-225,,=19,3,2,74,51-100,17,=53,,,451-500,,,172,,,,,48,,=98,=127,,=133,,,,12,=62,63,=96,99,,=56,101-150,,=69,,,,,51-100,201-250,101-150,251-300,,12
阿姆斯特丹大学,University of Amsterdam,荷兰,53,33,58,101,=29,51-100,101-150,,51-150,40,=37,,52,54,,101-150,36,51-100,=173,45,51-100,101-150,,,,,,45,,51-100,=73,,=36,,,10,,=96,150,151-200,=139,8,151-200,151-200,=88,201-250,=57,=29,=54,20,=87,1,51-100,=64,=56,51-100,=31,28,51-100,23,39,21,,51-100
香港理工大学,The Hong Kong Polytechnic University,中国香港,54,58,84,151,=83,,17,=22,,=98,,,51,101-150,,,,,74,=76,=40,151-200,17,=65,=49,51-100,,=272,201-250,,301-350,,201-250,=16,251-300,99,,=164,=178,101-150,=27,=37,51-100,101-150,66,=72,151-200,=61,57,,=46,151-200,101-150,=133,,11,,,22,301-400,,151-200,46,31
纽约大学,New York University,美国,55,32,33,31,9,101-150,51-100,=22,51-150,14,23,21-50,48,20,16,7,1,101-150,=124,17,=13,151-200,151-200,=84,151-200,,,50,201-250,34,=35,=23,35,15,101-150,=14,,130,=187,,201-250,=41,,,15,251-300,91,17,11,=13,=17,13,51-100,15,=46,101-150,9,51-100,15,37,=44,16,51-100,=41
伦敦政治经济学院,London School of Economics and Political Science,英国,56,234,50,151,=54,,51-100,,,,=6,,,=100,,,2,,,126,51-100,,,,,,,,,,,,201-250,,,=19,,,,,=108,2,,,=75,,,451-500,8,11,12,6,3,8,,,6,,=18,=5,7,5,,51-100
京都大学,Kyoto University,日本,57,187,55,45,=67,=25,51-100,101-150,21,=66,24,,79,27,,,51-100,=39,=65,=100,51-100,38,=39,80,=73,=34,14,=66,44,43,=53,,=72,,=100,151-200,,=32,33,51-100,=88,51-100,51-100,51-100,55,=57,29,81,=93,39,151-200,151-200,51-100,=78,74,,58,49,,88,51-100,=59,51-100,51-100
慕尼黑大学,LMU Munich,德国,58,57,38,43,=40,46,,,14,71,33,,=85,=48,,101-150,=6,28,=237,=89,,,,,,,,53,,44,=38,=48,53,,=69,56,40,47,53,51-100,151-200,101-150,51-100,51-100,=115,131,39,=96,101-150,51-100,151-200,24,,=52,101-150,,51,,,=95,101-150,101-150,,51-100
马来亚大学,University of Malaya,马来西亚,58,331,251,401,=98,,101-150,51-100,,46,151-200,,78,=60,,51-100,,51-100,=79,=64,=47,=80,51-100,=67,=120,,,=118,101-150,,=169,51-120,123,101-150,=80,201-250,,134,=146,,=102,51-100,,,=113,=91,151-200,=71,63,101-170,=106,101-150,101-150,=96,38,,101-150,29,51-100,151-200,,201-250,101-150,151-200
天主教鲁汶大学（荷兰语区）,KU Leuven,比利时,60,50,43,78,45,51-100,51-100,101-150,=11,251-300,51-100,,=53,=56,,,19,15,=50,501-550,51-100,33,=46,=40,31,51-100,,=27,=31,51-100,48,20,=36,31,=23,17,,=66,=27,101-150,=61,31,51-100,51-100,=75,=43,73,451-500,83,101-170,351-400,51-100,,551-700,251-300,,351-400,46,,301-400,34,=67,=21,51-100
韩国大学,Korea University,韩国,61,288,189,201,=114,101-150,51-100,101-150,51-150,=79,101-150,,25,36,,19,201-225,,89,=67,42,57,51-100,57,=57,,,=144,70,101-170,125,,=132,51-100,79,=78,,=108,60,,51,51-100,,,=104,=49,64,=64,50,,=42,51-100,51-100,46,33,101-150,81,,28,41,26,65,,51-100
杜克大学,Duke University,美国,62,27,27,39,=56,,,,51-150,22,51-100,,251-300,47,,101-150,151-200,5,135,72,,=80,201-275,=102,=118,,,22,=89,=5,=32,,16,7,=52,37,,=96,=93,101-150,46,,101-150,101-150,=57,=144,=92,55,39,34,=50,51-100,=17,25,77,,=34,,=20,=34,=48,24,,27
香港城市大学,City University Hong Kong,中国香港,63,54,80,101,=130,,51-100,201-260,,=82,201-250,,38,101-150,,,,,99,=59,45,,51-100,=63,109,,,=380,,,=199,,351-400,,,101-150,51-100,=140,121,151-200,107,,201-250,201-250,=60,52,=131,70,=60,,=61,=48,101-150,=86,,101-150,56,,51-100,=98,37,=97,,51-100
爱琴海大学,University of the Aegean,希腊,-,1360,1001,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
奥克兰大学,The University of Auckland,新西兰,65,128,152,201,=61,27,51-100,101-150,51-150,54,101-150,,58,=79,,51-100,51-100,51-100,=107,=96,,151-200,=48,=118,=115,,,=93,,51-100,=161,,=119,51-100,=77,=51,,=146,=159,101-150,=149,51-100,101-150,101-150,98,151-200,201-250,63,=66,51-100,=117,101-150,51-100,=112,=34,51-100,=59,,46,101-150,51-100,=89,24,101-150
加州大学圣地亚哥分校,"University of California, San Diego",美国,66,21,34,18,=90,151-200,151-200,101-150,,151-200,51-100,,68,101-150,,51-100,101-150,,64,=37,=28,73,51-100,37,=78,,,17,,18,11,,22,,7,62,,=38,=37,22,101,151-200,27,=20,=67,=68,=44,=107,101-150,51-100,251-300,51-100,,26,101-150,,201-250,,,33,,101-150,,51-100
法赫德国王石油矿产大学,King Fahd University of Petroleum & Minerals,沙特阿拉伯,67,314,176,701,,,151-200,,,,,,,,,,,,=40,=105,51-100,=68,=46,=75,=73,7,5,,,,,,,,,,,=131,=99,151-200,151-200,,,,=84,=117,151-200,118,151-200,,151-200,,,,,,,,,,,,,151-200
德克萨斯州大学奥斯汀分校,The University of Texas at Austin,美国,68,65,50,45,39,51-100,51-100,101-150,51-150,=48,51-100,,32,55,,101-150,101-150,51-100,=33,=41,,=30,=21,27,=33,,1,178,,,83,,=148,51-100,=31,26,,=32,39,=18,58,51-100,32,28,=43,=43,36,56,30,=36,53,3,,57,=41,,=90,5,,=62,101-150,47,,51-100
布朗大学,Brown University,美国,69,150,58,101,=56,51-100,,201-260,=49,45,51-100,,251-300,59,,,51-100,51-100,=214,=107,51-100,201-250,,251-300,=148,,,=158,,,=181,,=116,,,101-150,,159,251-300,101-150,251-300,101-150,151-200,151-200,=52,151-200,=140,=165,,=47,351-400,151-200,51-100,44,95,,,,,=85,101-150,53,,101-150
巴黎萨克雷大学,Université Paris-Saclay,法国,70,78,64,12,=324,,,,,,201-250,,,251-300,,,,,=40,=74,51-100,101-150,51-100,=40,=76,,,=59,=39,101-170,=62,,102,,66,,,17,74,51-100,=139,,51-100,51-100,28,=91,19,=278,151-200,,251-300,201-250,101-150,=164,351-400,,101-150,,,251-300,,301-375,,=48
伊利诺伊大学香槟分校,University of Illinois at Urbana-Champaign,美国,70,109,46,55,=86,,51-100,201-260,,63,101-150,,60,83,,101-150,,,23,34,=21,56,18,31,35,=48,,=180,19,101-170,82,,201-250,,,36,41,37,43,51-100,41,101-150,51-100,51-100,56,28,=25,=111,48,51-100,=99,42,,66,32,,201-250,6,,301-400,,101-150,=29,47
隆德大学,Lund University,瑞典,72,121,95,101,=123,101-150,101-150,,,151-200,51-100,,201-250,101-150,,,151-200,51-100,=143,201-250,,,151-200,139,=134,,,=102,92,101-170,=85,,92,51-100,201-250,151-200,,122,110,51-100,=44,28,51-100,51-100,351-400,151-200,=131,=123,201-250,,151-200,51-100,51-100,=149,,101-150,101-150,,,87,51-100,70,,151-200
索邦大学,Sorbonne Universite,法国,72,62,76,41,=24,51-100,,201-260,34,=77,51-100,,=95,=30,,51-100,=47,,=76,=53,,=89,,=106,=142,,,46,,=39,=46,,45,,73,101-150,,15,59,35,=117,101-150,31,27,18,=108,35,=165,301-375,,401-450,151-200,,301-350,101-150,,151-200,,,151-200,,151-200,,=36
华威大学,University of Warwick,英国,74,182,106,101,=63,151-200,,,51-150,=34,42,,101-150,68,,51-100,51-100,101-150,=159,83,51-100,,151-200,130,106,,,=211,,,=199,,=168,,,=80,,=136,=146,,351-400,,,,31,151-200,151-200,42,44,,=35,51-100,51-100,36,151-200,,101-150,,=31,=64,101-150,66,,=33
都柏林圣三一学院,Trinity College Dublin,爱尔兰,75,207,139,201,49,101-150,,,51-150,27,51-100,,151-200,58,,43,51-100,51-100,=150,=110,,,101-150,117,151-200,,,=95,,101-170,=115,51-120,83,=20,=34,91,,=157,=77,151-200,201-250,51-100,151-200,151-200,251-300,89,=108,=86,=60,,136,101-150,101-150,=112,=75,,74,,51-100,=75,51-100,101-150,51-100,201-250
伯明翰大学,University of Birmingham,英国,76,94,93,151,72,151-200,201-260,,,29,51-100,,37,=96,,51-100,151-200,=45,119,174,,75,101-150,138,=82,51-100,,=59,,36,=145,=23,67,51-100,=90,=88,,=140,=104,101-150,132,51-100,101-150,101-150,151-200,=66,136,=115,79,,=143,51-100,51-100,118,=70,51-100,101-150,,51-100,101-150,51-100,=76,8,251-275
西澳大学,The University of Western Australia,澳大利亚,77,98,149,101,=194,51-100,151-200,,51-150,101-150,101-150,,251-300,151-200,,,151-200,,=214,251-300,,201-250,51-100,201-250,201-250,13,,=114,=37,=30,=132,51-120,111,,151-200,101-150,,=160,251-300,51-100,=105,151-200,49,51-100,151-200,,251-300,=169,101-150,101-170,201-250,201-250,101-150,=153,151-200,,101-150,,,201-250,,201-250,32,
瑞典皇家理工学院,KTH Royal Institute of Technology,瑞典,78,252,95,201,,,42,151-200,,,,21-50,,,,,,,37,69,51-100,=60,43,=33,=25,,,=331,,,=113,,,,,,,=70,=80,,81,,,,=70,=29,54,401-450,,,301-350,,,301-350,201-250,,,,,,,,,51-100
