大学英文名称,学位,专业英文名称,所属院系,项目标签（英文）,项目标签（中文）,response_used
Georgetown University,M.S.,Data Science for Public Policy,公共政策学院,"Public Policy, Economics, Quantitative Methods, Management, Interdisciplinary, Data Science, Statistics, Stem-Eligible","公共政策, 经济学, 定量方法, 管理学, 跨学科, 数据科学, 统计学, STEM合格",response_1
University of Virginia,ME,Biomedical Engineering,工程学院,"Biomedical Engineering, Medical Technology, Interdisciplinary, Data Analytics, Machine Learning/Ai","生物医学工程, 医疗技术, 跨学科, 数据分析, 机器学习/人工智能",response_1
Carnegie Mellon University,MSPPM,MACHINE LEARNING & PUBLIC POLICY,信息系统与公共政策学院 ,"Public Policy, Management, Data Analysis, Statistics, Interdisciplinary","公共政策, 管理学, 数据分析, 统计学, 跨学科",response_1
Carnegie Mellon University,Ph.D.,Societal Computing,计算机科学学院,"Computer Science, Interdisciplinary, Social Sciences, Machine Learning, Applied Statistics","计算机科学, 跨学科, 社会科学, 机器学习, 应用统计学",response_1
Washington University in St. Louis,MSBDS,Master of Science in Biostatistics and Data Science (MSBDS),医学院,"Biostatistics, Data Science, Biomedical Informatics, Interdisciplinary, Health Research","生物统计学, 数据科学, 生物医学信息学, 跨学科, 健康研究",response_1
Washington University in St. Louis,PHD,Biomedical Informatics and Data Science,医学院,"Biology, Biomedical Sciences, Interdisciplinary, Data Science, Computational Biology","生物学, 生物医学科学, 跨学科, 数据科学, 计算生物学",response_2
"University of California, San Diego",MS,COMPUTATIONAL SOCIAL SCIENCE,社会科学部,"Computational Social Science, Interdisciplinary, Data Science, Statistics, Programming","计算社会科学, 跨学科, 数据科学, 统计学, 编程",response_1
"University of California, San Diego",PhD,COMPUTATIONAL SOCIAL SCIENCE,社会科学部,"Computational Social Science, Social Science, Computational Modeling, Data Science, Interdisciplinary","计算社会科学, 社会科学, 计算建模, 数据科学, 跨学科",response_1
"University of California, San Diego",PHD,Computational Biology and Data Science,医学院,"Biomedical Sciences, Multi-Disciplinary, Interdisciplinary, Computational Biology And Data Science, Cancer Biology","生物医学科学, 多学科, 跨学科, 计算生物学与数据科学, 癌症生物学",response_1
University of Southern California,M.S.,Communication Data Science,传播与新闻学院,"Communication, Data Science, Computer Science, Machine Learning, Interdisciplinary","传播学, 数据科学, 计算机科学, 机器学习, 跨学科",response_1
University of Southern California,M.S.,MS IN BIOMEDICAL ENGINEERING – BIOMEDICAL DATA ANALYTICS,工程学院,"Biomedical Engineering, Data Analytics, Mathematics, Computational Methods, Interdisciplinary","生物医学工程, 数据分析, 数学, 计算方法, 跨学科",response_1
University of Southern California,M.S.,Master of Science in Communication Data Science,工程学院,"Data Science, Communication, Interdisciplinary, Machine Learning, Ai Ethics","数据科学, 传播学, 跨学科, 机器学习, 人工智能伦理",response_1
University of Southern California,M.S.,MS IN ENVIRONMENTAL DATA SCIENCE,工程学院,"Environmental Science, Data Science, Interdisciplinary, Mathematics, Computer Science","环境科学, 数据科学, 跨学科, 数学, 计算机科学",response_1
University of Southern California,M.S.,Spatial Data Science,工程学院,"Spatial Data Science, Data Science, Geospatial, Interdisciplinary, Statistics","空间数据科学, 数据科学, 地理空间, 跨学科, 统计学",response_1
University of Southern California,M.S.,M.S. in Spatial Economics and Data Analysis,文理学院,"Economics, Data Science, Spatial Science, Interdisciplinary, Quantitative","经济学, 数据科学, 空间科学, 跨学科, 定量",response_1
University of Southern California,M.S.,Public Policy Data Science,公共政策学院,"Public Policy, Data Science, Interdisciplinary, Statistics, Econometrics","公共政策, 数据科学, 跨学科, 统计学, 计量经济学",response_1
"University of California, Irvine",MENG,CIVIL AND ENVIRONMENTAL ENGINEERING,工程学院,"Engineering, Computer Science, Data Science, Machine Learning, Interdisciplinary","工程学, 计算机科学, 数据科学, 机器学习, 跨学科",response_1
Georgia Institute of Technology,MS,Master of Science in Urban Analytics,设计学院,"Interdisciplinary, Urban Analytics, Data Science, Computational Science, Statistics","跨学科, 城市分析, 数据科学, 计算科学, 统计学",response_1
"University of California, Santa Barbara",MEDS,MASTER OF ENVIRONMENTAL DATA SCIENCE,环境科学与管理学院,"Interdisciplinary, Natural Science, Social Science, Management, Quantitative, Environmental Data Science, Interdisciplinary, Statistical Modeling, Machine Learning, Data Visualization","跨学科, 自然科学, 社会科学, 管理学, 定量, 环境数据科学, 跨学科, 统计建模, 机器学习, 数据可视化",response_1
New York University,MS,Data Science – Biomedical Informatics Track,文理研究生院,"Data Science, Interdisciplinary, Mathematics, Computer Science, Biomedical Informatics","数据科学, 跨学科, 数学, 计算机科学, 生物医学信息学",response_1
New York University,MS,Applied Statistics for Social Science Research (ASSR-MS),文化，教育和人类发展学院,"Statistics, Social Science Research, Data Science, Interdisciplinary, Quantitative Methods","统计学, 社会科学研究, 数据科学, 跨学科, 定量方法",response_2
New York University,MS/MPA,Applied Statistics for Social Science Research (MS) / Public and Nonprofit Management (MPA) - Dual Degree (ASSD-MS),文化，教育和人类发展学院,"Applied Statistics, Public And Nonprofit Management, Public Policy, Interdisciplinary, Data Analysis","应用统计学, 公共与非营利管理, 公共政策, 跨学科, 数据分析",response_1
New York University,MS,Statistics and Computational Social Science,文化，教育和人类发展学院,"Statistics, Computational Science, Social Science, Interdisciplinary, Data Science","统计学, 计算科学, 社会科学, 跨学科, 数据科学",response_1
"University of Wisconsin, Madison",M.S.,Psychology：DATA SCIENCE IN HUMAN BEHAVIOR,文理学院,"Data Science, Human Behavior, Psychology, Statistics, Interdisciplinary","数据科学, 人类行为, 心理学, 统计学, 跨学科",response_1
"University of Wisconsin, Madison",M.S.,"Biomedical Data Science, M.S.",医学和公共卫生学院,"Biomedical Data Science, Interdisciplinary, Statistics, Computer Science, Mathematics","生物医学数据科学, 跨学科, 统计学, 计算机科学, 数学",response_1
"University of Wisconsin, Madison",Ph.D.,"Biomedical Data Science, Ph.D.",医学和公共卫生学院,"Interdisciplinary, Data Science, Biostatistics, Biomedical Informatics, Computer Science","跨学科, 数据科学, 生物统计学, 生物医学信息学, 计算机科学",response_1
"University of Illinois, Urbana-Champaign",MS,statistics-analytics,文理学院,"Predictive Analytics, Risk Management, Data Science, Interdisciplinary, Statistics","预测分析, 风险管理, 数据科学, 跨学科, 统计学",response_1
"University of Illinois, Urbana-Champaign",MS,statistics-analytics,文理学院,"Predictive Analytics, Risk Management, Data Science, Interdisciplinary, Finance","预测分析, 风险管理, 数据科学, 跨学科, 金融学",response_1
University of Washington,PHD,Bioengineering (PhD)：Data Science Option,工程学院,"Bioengineering, Biomedical Research, Interdisciplinary, Statistics, Data Science","生物工程, 生物医学研究, 跨学科, 统计学, 数据科学",response_1
University of Washington,PHD,Chemical Engineering (PhD)：Advanced Data Science Option,工程学院,"Chemical Engineering, Data Science, Statistics, Computer Science, Interdisciplinary","化学工程, 数据科学, 统计学, 计算机科学, 跨学科",response_1
University of Washington,PHD,Civil & Environmental Engineering - Data Science Option,工程学院,"Civil & Environmental Engineering, Data Science, Machine Learning, Statistics, Interdisciplinary","土木与环境工程, 数据科学, 机器学习, 统计学, 跨学科",response_1
University of Washington,MSEE,Electrical Engineering (MSEE) - Seattle ：Data Science Option,工程学院,"Electrical Engineering, Computer Engineering, Data Science, Robotics, Interdisciplinary","电气工程, 计算机工程, 数据科学, 机器人学, 跨学科",response_1
University of Washington,PHD,Electrical Engineering (PhD) - Seattle ：Data Science Option,工程学院,"Electrical Engineering, Computer Engineering, Data Science, Machine Learning, Interdisciplinary","电气工程, 计算机工程, 数据科学, 机器学习, 跨学科",response_1
University of Washington,PHD,"Ph.D., Applied Mathematics: Advanced Data Science",文理学院,"Applied Mathematics, Mathematics, Research-Focused, Interdisciplinary, Data Science","应用数学, 数学, 研究导向, 跨学科, 数据科学",response_1
University of Washington,PHD,"Ph.D., Psychology: Data Science Option",文理学院,"Psychology, Quantitative Psychology, Data Science, Astrobiology, Interdisciplinary","心理学, 定量心理学, 数据科学, 天体生物学, 跨学科",response_1
University of Washington,PHD,Statistics (PhD)-Statistics in the Social Sciences,文理学院,"Statistics, Interdisciplinary, Data Science, Probability, Mathematics","统计学, 跨学科, 数据科学, 概率论, 数学",response_1
University of Washington,MS,Aquatic & Fishery Sciences (MS)： DATA SCIENCE TRACK,环境学院,"Aquatic Sciences, Fisheries Science, Data Science, Statistical Modeling, Interdisciplinary","水生科学, 渔业科学, 数据科学, 统计建模, 跨学科",response_1
University of Washington,PHD,Aquatic & Fishery Sciences (PhD)： DATA SCIENCE TRACK,环境学院,"Aquatic Sciences, Fishery Sciences, Data Science, Statistical Modeling, Interdisciplinary","水生科学, 渔业科学, 数据科学, 统计建模, 跨学科",response_1
University of Washington,PHD,Earth and Space Sciences (PhD) ： DATA SCIENCE  TRACK,环境学院,需要额外确认,需要额外确认,none
University of Washington,PHD,Atmospheric Sciences (PhD)： DATA SCIENCE  TRACK,环境学院,"Atmospheric Sciences, Data Science, Interdisciplinary, Statistical Modeling, Computational","大气科学, 数据科学, 跨学科, 统计建模, 计算的",response_1
University of Washington,PHD,Atmospheric Sciences (PhD)：ADVANCED DATA SCIENCE (ADS) TRACK,环境学院,"Atmospheric Sciences, Data Science, Statistics, Applied Mathematics, Interdisciplinary","大气科学, 数据科学, 统计学, 应用数学, 跨学科",response_1
University of Washington,PHD, PhD (Public Policy & Management) ： DATA SCIENCE  TRACK,公共政策与治理学院,"Public Policy, Management, Quantitative Methods, Statistics, Interdisciplinary","公共政策, 管理学, 定量方法, 统计学, 跨学科",response_1
University of Washington,PHD, PhD (Public Policy & Management) ：ADVANCED DATA SCIENCE (ADS) TRACK,公共政策与治理学院,"Public Policy, Management, Quantitative Methods, Statistics, Interdisciplinary","公共政策, 管理学, 定量方法, 统计学, 跨学科",response_1
"Rutgers University, New Brunswick",MPI,Master of Public Informatics,规划与公共政策学院,"Public Informatics, Data Science, Artificial Intelligence, Interdisciplinary, Gis","公共信息学, 数据科学, 人工智能, 跨学科, 地理信息系统",response_2
"Rutgers University, New Brunswick",MPI,Master of Public Informatics,规划与公共政策学院,"Public Informatics, Data Science, Artificial Intelligence, Interdisciplinary, Gis","公共信息学, 数据科学, 人工智能, 跨学科, 地理信息系统",response_1
Tufts University,MS,Nutrition Epidemiology and Data Science,营养科学与政策学院,"Nutrition, Data Analytics, Artificial Intelligence, Interdisciplinary","营养学, 数据分析, 人工智能, 跨学科",response_1
Tufts University,MS,Nutrition Epidemiology and Data Science,营养科学与政策学院,"Nutrition, Data Analytics, Artificial Intelligence, Interdisciplinary","营养学, 数据分析, 人工智能, 跨学科",response_1
Tufts University,PHD,Nutrition Epidemiology and Data Science,营养科学与政策学院,"Nutrition, Data Analytics, Artificial Intelligence, Interdisciplinary","营养学, 数据分析, 人工智能, 跨学科",response_1
"Purdue University, West Lafayette",MS,Geodata Science,理学院,"Earth Science, Atmospheric Science, Planetary Science, Geodata Science, Interdisciplinary","地球科学, 大气科学, 行星科学, 地理数据科学, 跨学科",response_1
"Purdue University, West Lafayette",MS,Geodata Science,理学院,"Earth Sciences, Atmospheric Science, Planetary Science, Geodata Science, Interdisciplinary","地球科学, 大气科学, 行星科学, 地理数据科学, 跨学科",response_1
"Purdue University, West Lafayette",MS,MS Data Science in Finance,理学院,"Statistics, Computational Finance, Interdisciplinary, Mathematics, Computational Science","统计学, 计算金融, 跨学科, 数学, 计算科学",response_1
"Purdue University, West Lafayette",MS,MS Data Science in Finance,理学院,"Statistics, Computational Finance, Interdisciplinary, Mathematics, Computer Science","统计学, 计算金融, 跨学科, 数学, 计算机科学",response_1
"University of Maryland, College Park",MS,M.S. in Applied Political Analytics,行为与社会科学学院,"Data Science, Political Science, Survey Methodology, Interdisciplinary, Data Analytics","数据科学, 政治学, 调查方法学, 跨学科, 数据分析",response_1
"University of Maryland, College Park",MS,Survey and Data Science,行为与社会科学学院,"Data Science, Survey, Behavioral Science, Social Science","数据科学, 调查, 行为科学, 社会科学",response_1
"University of Maryland, College Park",PhD,Survey and Data Science,行为与社会科学学院,"Survey, Data Science, Behavioral Science, Social Science, Interdisciplinary","调查, 数据科学, 行为科学, 社会科学, 跨学科",response_1
Northeastern University（Boston）,MS,Data and Systems,工程学院,"Civil Engineering, Interdisciplinary, Data Analytics, Environmental Engineering, Structural Engineering","土木工程, 跨学科, 数据分析, 环境工程, 结构工程",response_1
Northeastern University（Boston）,MS,Data and Systems,工程学院,"Civil Engineering, Environmental Engineering, Data Science, Management, Interdisciplinary","土木工程, 环境工程, 数据科学, 管理学, 跨学科",response_1
Northeastern University（Boston）,MS,Applied Quantitative Methods and Social Analysis,社会科学与人文学院,"Quantitative Methods, Social Science, Data Science, Statistics, Interdisciplinary","定量方法, 社会科学, 数据科学, 统计学, 跨学科",response_1
Northeastern University（Boston）,MS,Applied Quantitative Methods and Social Analysis,社会科学与人文学院,"Applied Quantitative Methods, Social Analysis, Data Analytics, Social Sciences, Interdisciplinary","应用定量方法, 社会分析, 数据分析, 社会科学, 跨学科",response_1
Northeastern University ,MS,Applied Quantitative Methods and Social Analysis,东北大学（弗吉尼亚州阿灵顿）,"Interdisciplinary, Quantitative Methods, Social Science, Statistical Analysis, Data Analytics","跨学科, 定量方法, 社会科学, 统计分析, 数据分析",response_1
Northeastern University ,MS,Applied Quantitative Methods and Social Analysis,东北大学（弗吉尼亚州阿灵顿）,"Quantitative Methods, Social Analysis, Statistics, Data Analytics, Computational Social Science, Interdisciplinary","定量方法, 社会分析, 统计学, 数据分析, 计算社会科学, 跨学科",response_2
"University of Minnesota, Twin Cities",MS,M.S. in Data Science for Chemical Engineering and Materials Science,理工学院,"Data Science, Chemical Engineering, Materials Science, Statistics, Interdisciplinary","数据科学, 化学工程, 材料科学, 统计学, 跨学科",response_1
"University of Minnesota, Twin Cities",PHD,health informatics：Data Science & Informatics Track,健康信息学研究所,"Data Science, Health Informatics, Statistics, Engineering, Interdisciplinary, Health Informatics, Computing, Biostatistics, Data Science, Interdisciplinary","数据科学, 健康信息学, 统计学, 工程学, 跨学科, 健康信息学, 计算, 生物统计学, 数据科学, 跨学科",response_1
"Pennsylvania State University, University Park",PHD,Social Data Analytics,人文科学学院,"Social Data Analytics, Social Science, Computational, Statistical, Interdisciplinary","社会数据分析, 社会科学, 计算的, 统计的, 跨学科",response_1
Rensselaer Polytechnic Institute,MENG,Biomedical Data Science,工程学院,"Biomedical Engineering, Data Science, Life Sciences, Interdisciplinary","生物医学工程, 数据科学, 生命科学, 跨学科",response_1
Rensselaer Polytechnic Institute,MENG,Biomedical Data Science,工程学院,"Biomedical Engineering, Data Science, Interdisciplinary","生物医学工程, 数据科学, 跨学科",response_1
"University of Massachusetts, Amherst",MS,Economics,社会与行为科学学院,"Interdisciplinary, Data Analytics, Computational Social Science, Data Science, Social Sciences","跨学科, 数据分析, 计算社会科学, 数据科学, 社会科学",response_1
"University of Massachusetts, Amherst",MS,Economics,社会与行为科学学院,"Data Analytics, Computational Social Science, Interdisciplinary, Social Sciences, Machine Learning","数据分析, 计算社会科学, 跨学科, 社会科学, 机器学习",response_1
University of Miami,MS, Master of Science in Data Science：Smart Cities (School of Architecture),文理学院,"Data Science, Interdisciplinary, Statistics, Computer Science, Mathematics","数据科学, 跨学科, 统计学, 计算机科学, 数学",response_1
University of Miami,MS, Master of Science in Data Science：Data Visualization (School of Communication),文理学院,"Data Science, Statistics, Computer Science, Mathematics, Interdisciplinary","数据科学, 统计学, 计算机科学, 数学, 跨学科",response_1
University of Miami,MS, Master of Science in Data Science：Marine & Atmospheric Science (Rosenstiel School of Marine & Atmospheric Sciences),文理学院,"Data Science, Statistics, Computer Science, Mathematics, Interdisciplinary","数据科学, 统计学, 计算机科学, 数学, 跨学科",response_1
University of Miami,MS, Master of Science in Data Science：Educational Measurement & Statistics (School of Education & Human Development),文理学院,"Data Science, Statistics, Computer Programming, Machine Learning, Interdisciplinary","数据科学, 统计学, 计算机编程, 机器学习, 跨学科",response_1
University of Miami,MS, Master of Science in Data Science：Marketing (Miami Herbert Business School),文理学院,"Data Science, Interdisciplinary, Machine Learning, Statistics, Programming","数据科学, 跨学科, 机器学习, 统计学, 编程",response_1
Villanova University,MACDA,Master of Accounting with Data Analytics,商学院,"Accounting, Data Analytics, Stem, Interdisciplinary, Artificial Intelligence","会计学, 数据分析, STEM, 跨学科, 人工智能",response_1
Villanova University,MACDA,Master of Accounting with Data Analytics,商学院,"Accounting, Data Analytics, Stem-Designated, Interdisciplinary, Business","会计学, 数据分析, STEM认证, 跨学科, 商业",response_1
Villanova University,MBT,MASTER OF BUSINESS TAXATION WITH DATA ANALYTICS,商学院,"Taxation, Accounting, Data Analytics, Technology, Interdisciplinary","税务, 会计学, 数据分析, 技术, 跨学科",response_1
Villanova University,MBT,MASTER OF BUSINESS TAXATION WITH DATA ANALYTICS,商学院,"Taxation, Accounting, Data Analytics, Technology, Interdisciplinary","税务, 会计学, 数据分析, 技术, 跨学科",response_1
Tulane University,MA,Political Economy with Data Analytics,文学院,"Political Economy, Data Analytics, Interdisciplinary, Statistics, Public Policy","政治经济学, 数据分析, 跨学科, 统计学, 公共政策",response_1
"University at Buffalo, SUNY",MS,Data Analysis in the Social Sciences MS,文理学院,"Data Analytics, Social Sciences, Statistics, Computational Programming, Interdisciplinary","数据分析, 社会科学, 统计学, 计算编程, 跨学科",response_1
"University at Buffalo, SUNY",MS,Data Analysis in the Social Sciences MS,文理学院,"Social Sciences, Data Analytics, Statistics, Computational, Interdisciplinary","社会科学, 数据分析, 统计学, 计算的, 跨学科",response_1
"University at Buffalo, SUNY",MS,Materials Design and Innovation MS,工程与应用科学学院,"Materials Science, Data Science, Interdisciplinary, Materials Informatics, Statistics","材料科学, 数据科学, 跨学科, 材料信息学, 统计学",response_1
"University at Buffalo, SUNY",PhD,Materials Design and Innovation PhD,工程与应用科学学院,"Materials Science, Data Science, Interdisciplinary, Materials Informatics, Statistics","材料科学, 数据科学, 跨学科, 材料信息学, 统计学",response_2
University of Delaware,MS ,Master of Science in Bioinformatics Data Science ,农业与自然资源学院,"Bioinformatics, Data Science, Computational Biology, Interdisciplinary, Computer Science","生物信息学, 数据科学, 计算生物学, 跨学科, 计算机科学",response_1
University of Delaware,MS ,Master of Science in Bioinformatics Data Science ,农业与自然资源学院,"Bioinformatics, Computational Biology, Data Science, Interdisciplinary, Computer Science","生物信息学, 计算生物学, 数据科学, 跨学科, 计算机科学",response_1
University of Delaware,PhD,Bioinformatics Data Science,农业与自然资源学院,"Bioinformatics, Data Science, Interdisciplinary, Computational Sciences, Life Sciences","生物信息学, 数据科学, 跨学科, 计算科学, 生命科学",response_1
University of Delaware,PhD,Bioinformatics Data Science,农业与自然资源学院,"Interdisciplinary, Bioinformatics, Data Science, Computational Sciences, Life Sciences","跨学科, 生物信息学, 数据科学, 计算科学, 生命科学",response_1
Clemson University,PhD,Biomedical Data Science and Informatics,工程，计算机和应用科学学院,"Biomedical, Data Science, Informatics, Interdisciplinary, Computing","生物医学, 数据科学, 信息学, 跨学科, 计算",response_2
Clemson University,MS,Biomedical Data Science and Informatics,工程，计算机和应用科学学院,"Biomedical Data Science, Informatics, Interdisciplinary, Computing, Biomedical Sciences","生物医学数据科学, 信息学, 跨学科, 计算, 生物医学科学",response_1
Marquette University,MS,Criminal Justice Data Analytics ,文理学院,"Interdisciplinary, Data Science, Criminal Justice, Computer Science, Statistics","跨学科, 数据科学, 刑事司法, 计算机科学, 统计学",response_1
Marquette University,MS,Criminal Justice Data Analytics ,文理学院,"Interdisciplinary, Criminal Justice, Data Science, Data Analytics, Computer Science, Statistics","跨学科, 刑事司法, 数据科学, 数据分析, 计算机科学, 统计学",response_1
Temple University,PSM,Bioinformatics and Biological Data Science PSM,科学技术学院,"Bioinformatics, Biological Data Science, Interdisciplinary, Computer Science, Statistics","生物信息学, 生物数据科学, 跨学科, 计算机科学, 统计学",response_1
University of Oregon,MS,Education Policy and Leadership,教育学院,"Education Policy, Leadership, Quantitative Methods, Data Science, Interdisciplinary","教育政策, 领导力, 定量方法, 数据科学, 跨学科",response_1
Illinois Institute of Technology,M.S.,Master of Science in Biomedical Modeling and Data Science,工程学院,"Biomedical Engineering, Data Science, Mathematical Modeling, Machine Learning, Interdisciplinary","生物医学工程, 数据科学, 数学建模, 机器学习, 跨学科",response_2
University of Arizona,MS,Agricultural & Resource Econ (MS) - Applied Econometrics and Data Analytics,农业与生命科学学院,"Econometrics, Data Analytics, Applied Economics, Interdisciplinary, Quantitative Analysis","计量经济学, 数据分析, 应用经济学, 跨学科, 定量分析",response_1
