排名,大学名称,大学英文名称,所在城市,专业中文名称,专业英文名称,所属院系,所属院系（英文）,所属院系网址,学位,专业领域,课程长度,申请费（美元),开学期,截止日期,GPA,托福,雅思,GRE,GMAT,学术背景,材料要求,招生网址,专业网址
6,宾夕法尼亚大学,University of Pennsylvania,"Philadelphia, PA",数学,Mathematics,文理学院,School of Arts and Sciences,https://www.sas.upenn.edu/,AM,,,$90 ,秋季,12月15日,要求,100，口语20,7,可选，GRE 数学科目考试可选,不接受,面向希望从事数学专业职业并且具有与数学专业本科课程相对应的背景的学生,Personal Statement； Letter of Recommendation；transcripts； resume,https://www.math.upenn.edu/graduate/admissions/how-apply,https://www.math.upenn.edu/graduate/program-description
6,宾夕法尼亚大学,University of Pennsylvania,"Philadelphia, PA",数学,Mathematics,文理学院,School of Arts and Sciences,https://www.sas.upenn.edu,M.Phil,,,$90 ,秋季,12月15日,要求,100，口语20,7,可选，GRE 数学科目考试可选,不接受,入学的学生应事先完成数学本科或常规硕士学位课程,Personal Statement； Letter of Recommendation；transcripts； resume,https://www.math.upenn.edu/graduate/admissions/how-apply,https://www.math.upenn.edu/graduate/program-description
6,宾夕法尼亚大学,University of Pennsylvania,"Philadelphia, PA",数学PHD+计算机科学MS,Mathematics,文理学院,School of Arts and Sciences,https://www.sas.upenn.edu,phd+ms,,,$90 ,秋季,12月15日,要求,100，口语20,7,可选，GRE 数学科目考试可选,不接受,,Personal Statement； Letter of Recommendation；transcripts； resume,https://www.math.upenn.edu/graduate/admissions/how-apply,https://www.math.upenn.edu/graduate/csma
6,宾夕法尼亚大学,University of Pennsylvania,"Philadelphia, PA",数学PHD+统计学MS,Mathematics,文理学院,School of Arts and Sciences,https://www.sas.upenn.edu,phd+ms,,,$90 ,秋季,12月15日,要求,100，口语20,7,可选，GRE 数学科目考试可选,不接受,,Personal Statement； Letter of Recommendation；transcripts； resume,https://www.math.upenn.edu/graduate/admissions/how-apply,https://www.math.upenn.edu/graduate/statma
6,宾夕法尼亚大学,University of Pennsylvania,"Philadelphia, PA",数学,Mathematics,文理学院,School of Arts and Sciences,https://www.sas.upenn.edu,PHD,,,$90 ,秋季,12月15日,要求,100，口语20,7,可选，GRE 数学科目考试可选,不接受,,Personal Statement； Letter of Recommendation；transcripts； resume,https://www.math.upenn.edu/graduate/admissions/how-apply,https://www.math.upenn.edu/graduate/program-description#phd
7,杜克大学,Duke University,"Durham, NC",数学,Mathematics,文理学院,The Graduate School,https://gradschool.duke.edu,PHD,代数和组合学，代数几何，分析和偏微分方程，计算数学，微分几何，数学物理，数论，概率论和随机过程，以及数学在生物学中的应用，物理科学，高维数据和图像分析,,$95 ,秋季,12月12日,要求,90,7,可选，数学科目考试可选,不接受,,Transcripts；Letters of recommendation；Statement of purpose；Resume； ,https://gradschool.duke.edu/academics/programs-degrees/mathematics/,https://math.duke.edu/graduate
7,加州理工学院,California Institute of Technology,"Pasadena, CA",应用和计算数学,Applied and Computational Mathematics,工程与应用科学学部,Division of Engineering and Applied Science,https://eas.caltech.edu,PHD,非线性动力学，计算生物学，数值分析和科学计算，计算和理论流体力学，理论材料科学，多尺度计算和均匀化理论，电磁学计算方法和声学，统计，信号和图像处理，概率论和随机分析，动力系统和几何力学,,$100 ,秋季,12月15日,要求，建议3.5,不要求，但强烈建议国际学生提交，以证明英语能力,不要求，但强烈建议国际学生提交，以证明英语能力,不要求,不接受,,letters of recommendation；CV or Resume；transcripts ；a Statement of Purpose.,https://www.cms.caltech.edu/academics/grad,https://www.cms.caltech.edu/academics/grad/grad_acm
7,加州理工学院,California Institute of Technology,"Pasadena, CA",计算和数学科学,Computing + Mathematical Sciences,工程与应用科学学部,Division of Engineering and Applied Science,https://eas.caltech.edu,PHD,算法，网络，机器学习，统计，优化，信号处理和基础数学,,$100 ,秋季,12月15日,要求，建议3.5,不要求，但强烈建议国际学生提交，以证明英语能力,不要求，但强烈建议国际学生提交，以证明英语能力,不要求,不接受,数学，计算机科学，电气工程或经济学本科背景,letters of recommendation；CV or Resume；transcripts ；a Statement of Purpose.,https://www.cms.caltech.edu/academics/grad,https://www.cms.caltech.edu/academics/grad/grad_cms
7,加州理工学院,California Institute of Technology,"Pasadena, CA",数学,Mathematics,物理，数学和天文学系,The Division of Physics,https://www.pma.caltech.edu,PHD,,,$100 ,秋季,12月10日,要求，建议3.5,要求,要求,不要求,不接受,,letters of recommendation；CV or Resume；transcripts ；a Statement of Purpose.,https://www.pma.caltech.edu/admissions-and-financial-support,https://www.pma.caltech.edu/research-and-academics/mathematics/math-graduate-studies
9,布朗大学," 
Brown University","Providence, RI",应用数学,Applied Mathematics,研究生院,Graduate School,https://graduateprograms.brown.edu,PHD,动力系统和偏微分方程，控制理论，概率和随机过程，数值分析和科学计算，流体力学，计算生物学，统计学和模式理论,,$75,秋季,12月9日,要求,90,7,不要求,不接受,,Personal Statement ;Transcripts;Letters of Recommendation ;Resume,https://graduateprograms.brown.edu/graduate-program/applied-mathematics-phd,https://appliedmath.brown.edu/graduate
9,布朗大学," 
Brown University","Providence, RI",数学,Mathematics,研究生院,Graduate School,https://www.brown.edu/academics/gradschool/,PHD,代数；分析；几何与拓扑,,$75,秋季,1月1日,要求,90,7,不要求,不接受,具有扎实的本科数学背景,Personal Statement ;Transcripts;Letters of Recommendation ;Resume,https://graduateprograms.brown.edu/graduate-program/mathematics-phd,https://www.brown.edu/academics/math/graduate
9,西北大学,Northwestern University,"Evanston, IL",工程科学和应用数学硕士,MS in Engineering Sciences and Applied Mathematics,工程与应用科学学院,McCormick School of Engineering and Applied Science,https://www.mccormick.northwestern.edu,MS,"渐近分析；生物系统；复杂系统；扩散过程；地球科学；流体动力学；材料科学；数学生物学；科学计算；社会系统；波传播；
",最少9个月,$95,秋季,4月15日；6月1日,要求,90,7,不要求,不接受,具有数学，物理科学或工程学本科学位的申请人。准学生应该完成线性代数，高级微积分和微分方程的课程。,Transcripts； letters of recommendation；Personal Statement；CV or Resume,https://www.mccormick.northwestern.edu/applied-math/academics/graduate/masters/admissions.html,https://www.mccormick.northwestern.edu/applied-math/academics/graduate/masters/
9,西北大学,Northwestern University,"Evanston, IL",工程科学与应用数学,Engineering Sciences and Applied Mathematics,工程与应用科学学院,McCormick School of Engineering and Applied Science,https://www.mccormick.northwestern.edu,PhD,"渐近分析；生物系统；复杂系统；扩散过程；地球科学；流体动力学；材料科学；数学生物学；科学计算；社会系统；波传播；
",,$95,秋季,12月31日,要求,100,7,不要求,不接受,具有数学，物理科学或工程学本科学位的申请人。准学生应该完成线性代数，高级微积分和微分方程的课程。,Transcripts； letters of recommendation；Personal Statement；CV or Resume;Writing Samples and Diversity Statements,https://www.mccormick.northwestern.edu/applied-math/academics/graduate/phd/admissions.html,https://www.mccormick.northwestern.edu/applied-math/academics/graduate/phd/
9,西北大学,Northwestern University,"Evanston, IL",数学,Mathematics,文理学院,Weinberg College of Arts and Sciences,https://weinberg.northwestern.edu/,PhD,"algebra, algebraic topology, classical and modern analysis, dynamical systems, mathematical physics, partial differential equations, probability and representation theory. ",,$95,秋季,12月31日,要求,95 ，口语26,7，口语8,不要求,不接受,,Transcripts； letters of recommendation；Personal Statement；CV or Resume,https://www.math.northwestern.edu/graduate/application.html,https://www.math.northwestern.edu/graduate/
9,约翰霍普金斯大学,Johns Hopkins University,"Baltimore, MD",数学,Mathematics,艺术与科学学院,Krieger School of Arts & Sciences,https://krieger.jhu.edu,PHD,分析和几何分析，代数几何和数论，微分几何，代数拓扑，范畴理论和数学物理以及与应用数学系合作的数据科学,,$75 ,秋季,12 月 1 日;12月15日,要求,100,7,不要求，科目考试可选,不接受,拥有以下本科背景：微积分在一个变量（两个学期，或AP学分）；多变量微积分（一学期）；线性代数（一学期）；复杂分析（一学期）；真实分析（两个学期）；抽象代数（两个学期）；点集拓扑（一学期）,Transcripts；Resume；Essays；letter of recommendation；,https://mathematics.jhu.edu/graduate/admissions/,https://mathematics.jhu.edu/graduate/
9,约翰霍普金斯大学,Johns Hopkins University,"Baltimore, MD",应用数学与统计学,Applied Mathematics and Statistics,工程学院,Johns Hopkins Whiting School of Engineering,https://engineering.jhu.edu,MSE,概率/统计课程涵盖概率论，随机过程以及应用和理论统计。其运营研究/优化计划包括连续和离散优化，数值优化，网络编程和博弈论。它的离散数学课程包括组合学，图论和密码学和编码。其在科学计算方面的计划包括计算，数值分析，矩阵分析和系统的数学建模,,$75 ,秋季,12月15日,要求,100,7,要求 ，建议提供GRE数学科目成绩,不接受,最好完成工程学，数学，科学，的学士学位。此外，理想的候选人应完成本科课程：微积分，通过多变量微积分；线性代数；微分方程；概率和统计；计算机编程（例如，在C ++中）,Official transcripts ；Three letters of recommendation；Resume or curriculum vitae；Personal statement,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/ms-in-applied-mathematics-and-statistics/
9,约翰霍普金斯大学,Johns Hopkins University,"Baltimore, MD",应用数学与统计学,Applied Mathematics and Statistics,工程学院,Whiting School of Engineering,https://engineering.jhu.edu,MSE,概率/统计课程涵盖概率论，随机过程以及应用和理论统计。其运营研究/优化计划包括连续和离散优化，数值优化，网络编程和博弈论。它的离散数学课程包括组合学，图论和密码学和编码。其在科学计算方面的计划包括计算，数值分析，矩阵分析和系统的数学建模,,$75 ,春季,9月15日,要求,100,7,要求 ，建议提供GRE数学科目成绩,不接受,最好完成工程学，数学，科学，的学士学位。此外，理想的候选人应完成本科课程：微积分，通过多变量微积分；线性代数；微分方程；概率和统计；计算机编程（例如，在C ++中）,Official transcripts ；Three letters of recommendation；Resume or curriculum vitae；Personal statement,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/ms-in-applied-mathematics-and-statistics/
9,约翰霍普金斯大学,Johns Hopkins University,"Baltimore, MD",应用数学与统计学,Applied Mathematics and Statistics,工程学院,Whiting School of Engineering,https://engineering.jhu.edu,PHD,"博士课程的研究和学术机会涵盖了应用数学中广泛相互关联的领域，这些领域反映了该系教师不同的科学兴趣。这些包括：

数据科学，侧重于理论基础、建模技术和算法开发。
概率和统计，侧重于理论和应用，特别是与机器学习相关的知识。
金融数学，以及专注于优化/运筹学，解决离散和连续优化问题。
离散数学，重点是组合学和图论。
计算和应用数学，重点是为流体动力学、形状分析和生物医学工程中的各种应用开发数学和数值模型。",,$75 ,秋季,12月15日,要求,100,7,不要求 ,不接受,最好完成工程学，数学，科学，金融*或经济学*的学士学位。此外，理想的候选人应完成本科课程：微积分，通过多变量微积分；线性代数；微分方程；概率和统计；微观经济学和宏观经济学*；计算机编程（例如，在C ++中）,Official transcripts ；Three letters of recommendation；Resume or curriculum vitae；Personal statement,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/doctoral-program/
9,约翰霍普金斯大学,Johns Hopkins University,"Baltimore, MD",应用数学与统计学,Applied Mathematics and Statistics,工程学院,Whiting School of Engineering,https://engineering.jhu.edu/,PHD,"博士课程的研究和学术机会涵盖了应用数学中广泛相互关联的领域，这些领域反映了该系教师不同的科学兴趣。这些包括：

数据科学，侧重于理论基础、建模技术和算法开发。
概率和统计，侧重于理论和应用，特别是与机器学习相关的知识。
金融数学，以及专注于优化/运筹学，解决离散和连续优化问题。
离散数学，重点是组合学和图论。
计算和应用数学，重点是为流体动力学、形状分析和生物医学工程中的各种应用开发数学和数值模型。",,$75 ,春季,9月15日,要求,100,7,不要求 ,不接受,最好完成工程学，数学，科学，金融*或经济学*的学士学位。此外，理想的候选人应完成本科课程：微积分，通过多变量微积分；线性代数；微分方程；概率和统计；微观经济学和宏观经济学*；计算机编程（例如，在C ++中）,Official transcripts ；Three letters of recommendation；Resume or curriculum vitae；Personal statement,https://engineering.jhu.edu/ams/academics/graduate-studies/graduate-admissions-process-and-criteria/,https://engineering.jhu.edu/ams/academics/graduate-studies/doctoral-program/
12,哥伦比亚大学,Columbia University,"New York, NY",应用数学,Applied Mathematics,工程与应用科学研究生学院,The Fu Foundation School of Engineering and Applied Science,https://engineering.columbia.edu,MS, 应用分析和偏微分方程； 学习和数据科学的数学和算法； 逆问题和成像的数学； 基于物理和数据的材料发现数学； 基于物理和数据的地球科学研究；,30学分,$85 ,秋季,2月15日,要求,99,6.5,可选,不接受,,Official transcript ；Three recommendation letters；Personal statement；Resumé or Curriculum Vitae,https://www.gradengineering.columbia.edu/graduate-admissions/application-requirements,https://www.apam.columbia.edu/applied-mathematics-graduate-programs
12,哥伦比亚大学,Columbia University,"New York, NY",应用数学,Applied Mathematics,工程与应用科学研究生学院,The Fu Foundation School of Engineering and Applied Science,https://engineering.columbia.edu,MS, 应用分析和偏微分方程； 学习和数据科学的数学和算法； 逆问题和成像的数学； 基于物理和数据的材料发现数学； 基于物理和数据的地球科学研究；,30学分,$85 ,春季,10月15日,要求,99,6.5,可选,不接受,,Official transcript ；Three recommendation letters；Personal statement；Resumé or Curriculum Vitae,https://www.gradengineering.columbia.edu/graduate-admissions/application-requirements,https://www.apam.columbia.edu/applied-mathematics-graduate-programs
12,哥伦比亚大学,Columbia University,"New York, NY",应用数学,Applied Mathematics,工程与应用科学研究生学院,The Fu Foundation School of Engineering and Applied Science,https://engineering.columbia.edu,MS/PHD, 应用分析和偏微分方程； 学习和数据科学的数学和算法； 逆问题和成像的数学； 基于物理和数据的材料发现数学； 基于物理和数据的地球科学研究；,,$85 ,秋季,12月15日,要求,99,6.5,可选,不接受,需要获得理学硕士（MS）学位,Official transcript ；Three recommendation letters；Personal statement；Resumé or Curriculum Vitae,https://www.gradengineering.columbia.edu/graduate-admissions/application-requirements,https://www.apam.columbia.edu/applied-mathematics-graduate-programs
12,哥伦比亚大学,Columbia University,"New York, NY",应用数学,Applied Mathematics,工程与应用科学研究生学院,The Fu Foundation School of Engineering and Applied Science,https://engineering.columbia.edu,PhD, 应用分析和偏微分方程； 学习和数据科学的数学和算法； 逆问题和成像的数学； 基于物理和数据的材料发现数学； 基于物理和数据的地球科学研究；,,$85 ,秋季,12月15日,要求,99,6.5,可选,不接受,需要获得理学硕士（MS）学位,Official transcript ；Three recommendation letters；Personal statement；Resumé or Curriculum Vitae,https://www.gradengineering.columbia.edu/graduate-admissions/application-requirements,https://www.apam.columbia.edu/applied-mathematics-graduate-programs
12,哥伦比亚大学,Columbia University,"New York, NY",数学,Mathematics,艺术与科学研究生院,Graduate School of Arts and Sciences,https://www.gsas.columbia.edu,PhD,,,$120 ,秋季,12月5日,要求,100,7.5,需要数学GRE科目考试,不接受,请人应该在认可的大学或具有强大数学成绩的类似机构完成数学专业,Statement of Purpose；Resume； Letters of Recommendation；Transcripts,https://www.gsas.columbia.edu/content/mathematics,https://www.math.columbia.edu/programs-math/graduate-program/
12,哥伦比亚大学,Columbia University,"New York, NY",数学：金融数学方向,Mathematics with a Specialization in the Mathematics of Finance,艺术与科学研究生院,Graduate School of Arts and Sciences,https://www.gsas.columbia.edu,MA,专为希望在量化投资组合管理、量化交易、风险管理、衍生品建模、结构和交易以及其他相关量化领域等量化金融领域工作的学生而设计。,1年,$120 ,秋季,5月1日,要求,100,7.5,强烈推荐，GRE首选,强烈推荐,学术背景：数学，统计学，物理学，经济学，计算机科学或工程学。大多数人都有过金融方面的工作经验或实习经验。申请人应具备非常好的微积分，线性代数，基本微分方程，概率和统计学以及编程语言的工作知识,Statement of Purpose；Resume； Letters of Recommendation；Transcripts,https://www.gsas.columbia.edu/content/mathematics-specialization-mathematics-finance,https://www.math.columbia.edu/mafn/
12,康奈尔大学,Cornell University,"Ithaca, NY",应用数学,Applied Mathematics (Ph.D.) ,应用数学中心,Graduate School,https://gradschool.cornell.edu,Ph.D.,计算方法；数学分析；微分方程和动力系统；概率，随机过程，统计，机器学习，信号和图像处理等；优化和离散数学；算法和复杂性；代数和逻辑,,$105,秋季,1月7日,要求,口语：22-26；阅读：20；听力：15；写作：20,7,不要求,不接受,,Recommendations；Transcripts；Statements of Purpose；CV or Résumé,https://gradschool.cornell.edu/academics/fields-of-study/subject/applied-mathematics/applied-mathematics-phd-ithaca/,https://www.cam.cornell.edu/cam/academics/phd-program
12,康奈尔大学,Cornell University,"Ithaca, NY",数学,Mathematics (Ph.D.) ,文理学院,The College of Arts & Sciences,https://arts.cornell.edu,Ph.D.," logic, probability, statistics, numerical methods for partial differential equations, and symbolic computations, topology, and Lie theory.",,$105,秋季,12月15日,要求,口语：22-26；阅读：20；听力：15；写作：20,7,不要求，但需要科目考试成绩,不接受,数学本科学位,Recommendations；Transcripts；Statements of Purpose；CV or Résumé,https://gradschool.cornell.edu/academics/fields-of-study/subject/mathematics/mathematics-phd-ithaca/,https://math.cornell.edu/phd
12,芝加哥大学,University of Chicago,"Chicago, IL",计算和应用数学,Computational and Applied Mathematics,物理科学部,Physical Sciences Division,https://physicalsciences.uchicago.edu/,MS,为学生提供现代计算和应用数学的坚实基础，并提供基于物理的建模、基于数据的建模和科学计算等领域的课程。,9个月，2年,$90 ,秋季,1 月 31 日,要求,90,7,不要求，但可以提交,不接受,"The minimal prerequisites for the master’s program are a solid background multi-variate calculus, linear/matrix algebra, and elementary probability and statistics.",A copy of your transcript from each undergraduate or graduate institution you have attended；At least three letters of recommendation；Candidate statement；Resume or CV,https://voices.uchicago.edu/cammasters/prospectivestudents/,https://voices.uchicago.edu/cammasters/
12,芝加哥大学,University of Chicago,"Chicago, IL",计算和应用数学,Computational and Applied Mathematics,物理科学部,Physical Sciences Division,https://physicalsciences.uchicago.edu,Ph.D,,5年,$90 ,秋季,1 月9 日,要求,90,7,不要求,不接受,,A copy of your transcript from each undergraduate or graduate institution you have attended；At least three letters of recommendation；Candidate statement；Resume or CV,https://cam.uchicago.edu/academics/how-to-apply/,https://cam.uchicago.edu/academics/graduate-programs/phd-program/
12,芝加哥大学,University of Chicago,"Chicago, IL",数学/计算机科学博士,Ph. D. in Mathematics and Computer Science,物理科学部,Physical Sciences Division,https://psd.uchicago.edu,Joint  PhD,,,$90 ,秋季,,,,,,,需先申请数学或者计算机科学博士，入读后再申请另外一个项目,Transcripts；Statement of Purpose；Letters of Recommendation,https://cs.uchicago.edu/academics/phd/joint-math-cs-phd/,https://cs.uchicago.edu/academics/phd/joint-math-cs-phd/
12,芝加哥大学,University of Chicago,"Chicago, IL",数学,Mathematics,物理科学部,Physical Sciences Division,https://psd.uchicago.edu,Ph.D,,,$90 ,秋季,12月5日,要求,90,7,不要求,不接受,,Transcripts；Statement of Purpose；Letters of Recommendation,https://mathematics.uchicago.edu/graduate/mathematics-phd-program/how-to-apply/,https://mathematics.uchicago.edu/graduate/mathematics-phd-program/
12,芝加哥大学,University of Chicago,"Chicago, IL",数学,Mathematics,物理科学部,Physical Sciences Division,https://physicalsciences.uchicago.edu,MS-PSD,,,$90 ,秋季,暂停招生,要求,90,7,可选。鼓励在物理科学 GRE 学科考试,不接受,,A personal statement of academic and career objectives；One transcript from each educational institution beyond high school.  Students seeking admission to the program normally must have a baccalaureate degree in a traditional discipline of the physical sciences；Three letters of recommendation.,https://mspsd.uchicago.edu/application-information/,https://mspsd.uchicago.edu/
15,加州大学伯克利分校,"University of California, Berkeley","Berkeley, CA",应用数学,Applied Mathematics,数学系,Department of Mathematics,https://math.berkeley.edu,Ph.D.,近年来深入探讨的主题包括科学计算和量子理论的数学方面，计算基因组学，图像处理和医学成像，反问题，组合优化，控制，机器人，形状优化，湍流，飓风，微芯片故障，MEMS，生物人口学，群体遗传学，系统发育学和历史语言学的计算方法。,5 - 6年,$155,秋季,12月17日,3,90,7,可选，数学科目考试可选,不接受,数学或应用数学专业本科专业,Personal Statement；Letters of Recommendation；Transcripts,https://grad.berkeley.edu/program/applied-mathematics/,https://math.berkeley.edu/graduate/phd-program
