大学英文名称,学位,专业英文名称,所属院系,所属院系（英文）,招生网址,专业网址,所属院系网址,网申地址
University of Washington,MSEE,Electrical Engineering (MSEE) - Seattle ：Data Science Option,工程学院,UW Department of Electrical & Computer Engineering,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-J-E%20E-00-26,https://www.ece.uw.edu/academics/grad/,https://www.ece.uw.edu/,
University of Washington,PHD,Electrical Engineering (PhD) - Seattle ：Data Science Option,工程学院,Department of Electrical & Computer Engineering,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-J-E%20E-00-30,https://www.ece.uw.edu/academics/grad/,https://www.ece.uw.edu,
University of Washington,PHD,"Ph.D., Applied Mathematics: Advanced Data Science",文理学院,College of Arts & Sciences,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-C-AMATH-00-41,https://amath.washington.edu/phd-program,https://artsci.washington.edu,
University of Washington,PHD,"Ph.D., Psychology: Data Science Option",文理学院,Department of Psychology,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-C-PSYCH-00-41,https://psych.uw.edu/graduate/areas,https://psych.uw.edu,
University of Washington,PHD,Statistics (PhD)-Statistics in the Social Sciences,文理学院,College of Arts & Sciences,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-C-STAT-00-30,https://stat.uw.edu/academics/graduate/programs/phd,https://artsci.washington.edu,
University of Washington,MS,Aquatic & Fishery Sciences (MS)： DATA SCIENCE TRACK,环境学院,School of Aquatic and Fishery Sciences,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-D-AFS-00-25,https://fish.uw.edu/students/graduate-program/,https://fish.uw.edu,
University of Washington,PHD,Aquatic & Fishery Sciences (PhD)： DATA SCIENCE TRACK,环境学院,School of Aquatic and Fishery Sciences,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-D-AFS-00-41,https://fish.uw.edu/students/graduate-program/,https://fish.uw.edu/,
University of Washington,PHD,Earth and Space Sciences (PhD) ： DATA SCIENCE  TRACK,环境学院,College of the Environment,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-D-ESS-00-41,https://ess.uw.edu/education/graduate-program/,https://environment.uw.edu/,
University of Washington,PHD,Atmospheric Sciences (PhD)： DATA SCIENCE  TRACK,环境学院,,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-D-ATM%20S-00-41,https://atmos.uw.edu/students/graduate-program/academic-program/data-science-options/,,
University of Washington,PHD,Atmospheric Sciences (PhD)：ADVANCED DATA SCIENCE (ADS) TRACK,环境学院,College of the Environment,https://apply.grad.uw.edu/portal/prog_detail_find_a_program?progid=0-D-ATM%20S-00-41,https://atmos.uw.edu/students/graduate-program/academic-program/data-science-options/,https://environment.uw.edu,
University of Washington,PHD, PhD (Public Policy & Management) ： DATA SCIENCE  TRACK,公共政策与治理学院,Evans School of Public Policy & Governance,https://evans.uw.edu/admissions/ph-d-admissions/,https://evans.uw.edu/academic-programs/phd/data-science-and-advanced-data-science-degree-options/,https://evans.uw.edu,
University of Washington,PHD, PhD (Public Policy & Management) ：ADVANCED DATA SCIENCE (ADS) TRACK,公共政策与治理学院,Evans School of Public Policy & Governance,https://evans.uw.edu/admissions/ph-d-admissions/,https://evans.uw.edu/academic-programs/phd/data-science-and-advanced-data-science-degree-options/,https://evans.uw.edu,
"Rutgers University, New Brunswick",MPI,Master of Public Informatics,规划与公共政策学院,Edward J. Bloustein School of Planning and Public Policy,https://bloustein.rutgers.edu/graduate/apply/,https://bloustein.rutgers.edu/graduate/public-informatics/,https://bloustein.rutgers.edu,
"Rutgers University, New Brunswick",MPI,Master of Public Informatics,规划与公共政策学院,Edward J. Bloustein School of Planning and Public Policy,https://bloustein.rutgers.edu/graduate/apply/,https://bloustein.rutgers.edu/graduate/public-informatics/,https://bloustein.rutgers.edu,
Tufts University,MS,Nutrition Epidemiology and Data Science,营养科学与政策学院,Gerald J. and Dorothy R. Friedman School of Nutrition Science and Policy,https://nutrition.tufts.edu/admissions/application-checklist,https://nutrition.tufts.edu/academics/degree-programs/nutrition-data-science,https://nutrition.tufts.edu,
Tufts University,MS,Nutrition Epidemiology and Data Science,营养科学与政策学院,Gerald J. and Dorothy R. Friedman School of Nutrition Science and Policy,https://nutrition.tufts.edu/admissions/application-checklist,https://nutrition.tufts.edu/academics/degree-programs/nutrition-data-science,https://nutrition.tufts.edu,
Tufts University,PHD,Nutrition Epidemiology and Data Science,营养科学与政策学院,Gerald J. and Dorothy R. Friedman School of Nutrition Science and Policy,https://nutrition.tufts.edu/admissions/application-checklist,https://nutrition.tufts.edu/academics/degree-programs/nutrition-data-science,https://nutrition.tufts.edu,
"Purdue University, West Lafayette",MS,Geodata Science,理学院,Department of Earth,https://www.purdue.edu/academics/ogsps/prospective/gradrequirements/westlafayette/eas.html,https://www.eaps.purdue.edu/for_students/graduate/index.html,https://www.eaps.purdue.edu/,
"Purdue University, West Lafayette",MS,Geodata Science,理学院,Department of Earth,https://www.purdue.edu/academics/ogsps/prospective/gradrequirements/westlafayette/eas.html,https://www.eaps.purdue.edu/for_students/graduate/index.html,https://www.eaps.purdue.edu,
"Purdue University, West Lafayette",MS,MS Data Science in Finance,理学院,College of Science,https://www.purdue.edu/academics/ogsps/prospective/gradrequirements/westlafayette/stat.html,https://www.stat.purdue.edu/academic_programs/graduate/gradCompFinance.html,https://www.purdue.edu/science/,
"Purdue University, West Lafayette",MS,MS Data Science in Finance,理学院,College of Science,https://www.purdue.edu/academics/ogsps/prospective/gradrequirements/westlafayette/stat.html,https://www.stat.purdue.edu/academic_programs/graduate/gradCompFinance.html,https://www.purdue.edu/science/,
"University of Maryland, College Park",MS,M.S. in Applied Political Analytics,行为与社会科学学院,College of Behavioral and Social Sciences,https://gradschool.umd.edu/behavioralsocial-sciences/apan,https://gvpt.umd.edu/landingtopic/ms-applied-political-analytics,https://bsos.umd.edu,
"University of Maryland, College Park",MS,Survey and Data Science,行为与社会科学学院,College of Behavioral and Social Sciences,https://gradschool.umd.edu/behavioralsocial-sciences/suds,https://jpsm.umd.edu/landingtopic/onsite-programs,https://bsos.umd.edu,
"University of Maryland, College Park",PhD,Survey and Data Science,行为与社会科学学院,College of Behavioral and Social Sciences,https://gradschool.umd.edu/behavioralsocial-sciences/surv,https://jpsm.umd.edu/landingtopic/onsite-programs,https://bsos.umd.edu,
Northeastern University（Boston）,MS,Data and Systems,工程学院,College of Engineering,https://coe.northeastern.edu/academics-experiential-learning/graduate-school-of-engineering/graduate-admissions/,https://cee.northeastern.edu/academics/graduate-studies/ms-cive/,https://coe.northeastern.edu,
Northeastern University（Boston）,MS,Data and Systems,工程学院,College of Engineering,https://coe.northeastern.edu/academics-experiential-learning/graduate-school-of-engineering/graduate-admissions/,https://cee.northeastern.edu/academics/graduate-studies/ms-cive/,https://coe.northeastern.edu,
Northeastern University（Boston）,MS,Applied Quantitative Methods and Social Analysis,社会科学与人文学院,College of Social Sciences and Humanities,https://cssh.northeastern.edu/apply/graduate-admissions/,https://cssh.northeastern.edu/program/ms-science-in-applied-quantitative-methods-and-social-analysis/,https://cssh.northeastern.edu,
Northeastern University（Boston）,MS,Applied Quantitative Methods and Social Analysis,社会科学与人文学院,College of Social Sciences and Humanities,https://cssh.northeastern.edu/apply/graduate-admissions/,https://cssh.northeastern.edu/program/ms-science-in-applied-quantitative-methods-and-social-analysis/,https://cssh.northeastern.edu,
Northeastern University ,MS,Applied Quantitative Methods and Social Analysis,东北大学（弗吉尼亚州阿灵顿）,College of Social Sciences and Humanities,https://cssh.northeastern.edu/apply/graduate-admissions/,https://arlington.northeastern.edu/programs/applied-quantitative-methods-and-social-analysis/,https://cssh.northeastern.edu,
Northeastern University ,MS,Applied Quantitative Methods and Social Analysis,东北大学（弗吉尼亚州阿灵顿）,College of Social Sciences and Humanities,https://cssh.northeastern.edu/apply/graduate-admissions/,https://arlington.northeastern.edu/programs/applied-quantitative-methods-and-social-analysis/,https://cssh.northeastern.edu,
"University of Minnesota, Twin Cities",MS,M.S. in Data Science for Chemical Engineering and Materials Science,理工学院,College of Science and Engineering,https://cse.umn.edu/cems/master-science-data-science,https://cse.umn.edu/cems/ms-data-science,https://cse.umn.edu,
"University of Minnesota, Twin Cities",PHD,health informatics：Data Science & Informatics Track,健康信息学研究所,Institute for Health Informatics,https://healthinformatics.umn.edu/graduate-program/phd-graduate-program/data-science-informatics-track,https://healthinformatics.umn.edu/graduate-program/health-informatics-phd-graduate-program,https://healthinformatics.umn.edu,
"Pennsylvania State University, University Park",PHD,Social Data Analytics,人文科学学院,College of the Liberal Arts,,https://soda.la.psu.edu/programs/graduate-program/,https://la.psu.edu/,
Rensselaer Polytechnic Institute,MENG,Biomedical Data Science,工程学院,School of Engineering,https://admissions.rpi.edu/graduate/masters-and-phd-applicants,https://bme.rpi.edu/graduate,https://engineering.rpi.edu,
Rensselaer Polytechnic Institute,MENG,Biomedical Data Science,工程学院,School of Engineering,https://admissions.rpi.edu/graduate/masters-and-phd-applicants,https://bme.rpi.edu/graduate,https://engineering.rpi.edu,
"University of Massachusetts, Amherst",MS,Economics,社会与行为科学学院,College of Social & Behavioral Sciences,https://www.umass.edu/social-sciences/academics/dacss/dacss-admissions,https://www.umass.edu/social-sciences/academics/ms-dacss,https://www.umass.edu/social-sciences,
"University of Massachusetts, Amherst",MS,Economics,社会与行为科学学院,College of Social & Behavioral Sciences,https://www.umass.edu/social-sciences/academics/dacss/dacss-admissions,https://www.umass.edu/social-sciences/academics/ms-dacss,https://www.umass.edu/social-sciences/,
University of Miami,MS, Master of Science in Data Science：Smart Cities (School of Architecture),文理学院,School of Architecture,https://msdatascience.as.miami.edu/resources/international-students/index.html,https://msdatascience.as.miami.edu/academics/academic-tracks/index.html,https://architecture.miami.edu/,
University of Miami,MS, Master of Science in Data Science：Data Visualization (School of Communication),文理学院,School of Communication,https://msdatascience.as.miami.edu/resources/international-students/index.html,https://msdatascience.as.miami.edu/academics/academic-tracks/index.html,https://com.miami.edu/,
University of Miami,MS, Master of Science in Data Science：Marine & Atmospheric Science (Rosenstiel School of Marine & Atmospheric Sciences),文理学院,,https://msdatascience.as.miami.edu/resources/international-students/index.html,https://msdatascience.as.miami.edu/academics/academic-tracks/index.html,,
University of Miami,MS, Master of Science in Data Science：Educational Measurement & Statistics (School of Education & Human Development),文理学院,School of Education and Human Development,https://msdatascience.as.miami.edu/resources/international-students/index.html,https://msdatascience.as.miami.edu/academics/academic-tracks/index.html,https://education.miami.edu/,
University of Miami,MS, Master of Science in Data Science：Marketing (Miami Herbert Business School),文理学院,Miami Herbert Business School,https://msdatascience.as.miami.edu/resources/international-students/index.html,https://msdatascience.as.miami.edu/academics/academic-tracks/index.html,https://herbert.miami.edu,
Villanova University,MACDA,Master of Accounting with Data Analytics,商学院,Villanova School of Business,https://www1.villanova.edu/university/business/academics/graduate-programs/accounting/mac/admissions.html,https://www1.villanova.edu/university/business/academics/graduate-programs/accounting/mac.html,https://www.business.villanova.edu,
Villanova University,MACDA,Master of Accounting with Data Analytics,商学院,Villanova School of Business,https://www1.villanova.edu/university/business/academics/graduate-programs/accounting/mac/admissions.html,https://www1.villanova.edu/university/business/academics/graduate-programs/accounting/mac.html,https://www1.villanova.edu/university/business/,
Villanova University,MBT,MASTER OF BUSINESS TAXATION WITH DATA ANALYTICS,商学院,Villanova School of Business,https://www1.villanova.edu/university/business/academics/graduate-programs/accounting/mbt/admissions.html,https://www1.villanova.edu/university/business/academics/graduate-programs/accounting/mbt.html,https://www1.villanova.edu/university/business/,
Villanova University,MBT,MASTER OF BUSINESS TAXATION WITH DATA ANALYTICS,商学院,Villanova School of Business,https://www1.villanova.edu/university/business/academics/graduate-programs/accounting/mbt/admissions.html,https://www1.villanova.edu/university/business/academics/graduate-programs/accounting/mbt.html,https://www1.villanova.edu/university/business/,
Tulane University,MA,Political Economy with Data Analytics,文学院,School of Liberal Arts,https://liberalarts.tulane.edu/academics/graduate-studies/prospective-students,https://catalog.tulane.edu/liberal-arts/interdisciplinary-programs-coordinate-majors/political-economy/data-analytics-ma/#overviewtext,https://liberalarts.tulane.edu,
"University at Buffalo, SUNY",MS,Data Analysis in the Social Sciences MS,文理学院,College of Arts and Sciences,https://arts-sciences.buffalo.edu/college/departments-and-programs/social-sciences/data-analytics-social-sciences/ms-dass.html,https://arts-sciences.buffalo.edu/college/departments-and-programs/social-sciences/data-analytics-social-sciences.html,https://arts-sciences.buffalo.edu,
"University at Buffalo, SUNY",MS,Data Analysis in the Social Sciences MS,文理学院,College of Arts and Sciences,https://arts-sciences.buffalo.edu/college/departments-and-programs/social-sciences/data-analytics-social-sciences/ms-dass.html,https://arts-sciences.buffalo.edu/college/departments-and-programs/social-sciences/data-analytics-social-sciences.html,https://arts-sciences.buffalo.edu,
"University at Buffalo, SUNY",MS,Materials Design and Innovation MS,工程与应用科学学院,School of Engineering and Applied Sciences,https://engineering.buffalo.edu/materials-design-innovation/education/graduate.html,https://engineering.buffalo.edu/materials-design-innovation/education/graduate.html,https://engineering.buffalo.edu,
"University at Buffalo, SUNY",PhD,Materials Design and Innovation PhD,工程与应用科学学院,School of Engineering and Applied Sciences,https://engineering.buffalo.edu/materials-design-innovation/education/graduate.html,https://engineering.buffalo.edu/materials-design-innovation/education/graduate.html,https://engineering.buffalo.edu,
