大学英文名称,学位,专业英文名称,所属院系,所属院系（英文）,面试,判定状态,面试newp,判定状态newp
Washington University in St. Louis,PHD,Computational & Data Sciences ,工程学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
Washington University in St. Louis,MS,Master of Data Analytics & Applications,继续和专业教育学院,,不需要,投票结果-不需要(2票) vs 需要(1票),,无有效回答
Washington University in St. Louis,MS,Master of Data Analytics & Applications,继续和专业教育学院,,不需要,投票结果-不需要(3票) vs 需要(0票),,无有效回答
University of Florida,M.S.,Information Systems and Operations Management：Data Science,商学院,,需要,投票结果-需要(3票) vs 不需要(0票),需要,投票结果-需要(3票) vs 不需要(0票)
University of Florida,M.S.,Information Systems and Operations Management：Data Science,商学院,,需要,投票结果-需要(3票) vs 不需要(0票),需要,投票结果-需要(3票) vs 不需要(0票)
University of Florida,M.S.,Information Systems and Operations Management：Data Science,商学院,,需要,投票结果-需要(3票) vs 不需要(0票),需要,投票结果-需要(3票) vs 不需要(0票)
University of Florida,M.S.,Information Systems and Operations Management：Data Science,商学院,,需要,投票结果-需要(3票) vs 不需要(0票),需要,投票结果-需要(3票) vs 不需要(0票)
"University of California, Davis",MS,Statistics- DATA SCIENCE TRACK (48 units),文学与科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of California, San Diego",PhD,Data Science,数据科学研究所,,,PhD项目-默认跳过,,PhD项目-默认跳过
"University of California, San Diego",MS,Data Science,数据科学研究所,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of California, San Diego",MS,Machine Learning and Data Science ,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of California, San Diego",PHD,Machine Learning and Data Science ,工程学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
University of Southern California,PhD,Business Administration( Data Sciences & Operations),商学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
University of Southern California,M.S.,Computer Science (Data Science),工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of Southern California,M.S.,Computer Science (Data Science),工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of Southern California,M.S.,Applied Data Science,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of Southern California,M.S.,Applied Data Science,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of Southern California,M.S.,ECE-Machine Learning and Data Science,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(1票)
University of Southern California,M.S.,ECE-Machine Learning and Data Science,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of Southern California,M.S.,Analytics,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of Southern California,M.S.,Analytics,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of Southern California,M.S.,Mathematical Data Science M.S.,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Texas, Austin", Ph.D.,Electrical and Computer Engineering ,工程学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
"University of Texas, Austin", Ph.D.,Electrical and Computer Engineering ,工程学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
"University of Texas, Austin",MSE ,Electrical and Computer Engineering,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Texas, Austin",MSE ,Electrical and Computer Engineering,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of California, Irvine",MDS,Master of Data Science,信息与计算机科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Georgia Institute of Technology,MS,Analytics,商学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of California, Santa Barbara",MA,Statistics-Data Science,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of California, Santa Barbara",MA,Statistics-Data Science,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of California, Santa Barbara",MA,Statistics-Data Science,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
New York University,Ph.D,Data Science ,文理研究生院,,,PhD项目-默认跳过,,PhD项目-默认跳过
New York University,MS,Data Science ,文理研究生院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
New York University,MS,Data Science （Industry Concentration）,文理研究生院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
New York University,MS,MS in Data Analytics & Business Computing,商学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
"University of Wisconsin, Madison",M.S.,MS – Data Engineering,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Wisconsin, Madison",MS,Statistics and Data Science,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Wisconsin, Madison",MS,Statistics and Data Science,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Wisconsin, Madison",MS,Data Science,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Illinois, Urbana-Champaign",MS,Data Science + CEE M.S.,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Illinois, Urbana-Champaign",MS,Data Science + CEE M.S.,工程学院,,不需要,投票结果-不需要(2票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Illinois, Urbana-Champaign",MS,MS in Industrial Engineering with the Advanced Analytics Concentration,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Illinois, Urbana-Champaign",MS,MS in Industrial Engineering with the Advanced Analytics Concentration,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Illinois, Urbana-Champaign",,Data Science & Engineering (DSE),工程学院,,不需要,投票结果-不需要(2票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Illinois, Urbana-Champaign",MS,MS in Information Management,信息科学学院,,不需要,投票结果-不需要(2票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
"University of Illinois, Urbana-Champaign",MS,MS in Information Management,信息科学学院,,不需要,投票结果-不需要(2票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Illinois, Urbana-Champaign",MS,statistics-analytics,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Illinois, Urbana-Champaign",MS,statistics-analytics,文理学院,,,投票平局-需要(1票) vs 不需要(1票),不需要,投票结果-不需要(3票) vs 需要(0票)
Boston College,MS,Master of Science (M.S.) in Applied Analytics,高级研究学院,,不需要,投票结果-不需要(3票) vs 需要(0票),需要,投票结果-需要(3票) vs 不需要(0票)
Boston College,MS,Master of Science (M.S.) in Applied Analytics,高级研究学院,,不需要,投票结果-不需要(2票) vs 需要(0票),需要,投票结果-需要(3票) vs 不需要(0票)
Boston College,MS,Master of Science (M.S.) in Applied Analytics,高级研究学院,,,投票平局-需要(1票) vs 不需要(1票),需要,投票结果-需要(2票) vs 不需要(0票)
University of Washington,MS,Data Science - Interdisciplinary Group (MS in Data Science) ,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(1票)
University of Washington,PHD,Mathematics (PhD) —Data Science Option,文理学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
University of Washington,PHD,Statistics (PhD)：ADVANCED DATA SCIENCE (ADS) TRACK,文理学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
University of Washington,PHD,Statistics (PhD)-Machine Learning and Big Data,文理学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
University of Washington,MS,Statistics - (MS - Advanced Methods & Data Analysis - Fulltime) ,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"Rutgers University, New Brunswick",M.S.,MS in Information Technology and Analytics,商学院,,不需要,投票结果-不需要(2票) vs 需要(1票),不需要,投票结果-不需要(3票) vs 需要(0票)
"Rutgers University, New Brunswick",M.S.,MS in Information Technology and Analytics,商学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"Rutgers University, New Brunswick",MI,Master of Information,传播与信息学院,,不需要,投票结果-不需要(2票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"Rutgers University, New Brunswick",MI,Master of Information,传播与信息学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
"Rutgers University, New Brunswick",MI,Master of Information,传播与信息学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
"Rutgers University, New Brunswick",MS,Data Science  ,文理学院,,不需要,投票结果-不需要(2票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"Rutgers University, New Brunswick",MS,Data Science  ,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"Rutgers University, New Brunswick",MBS,Business and Science - Computer and Information Sciences,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"Rutgers University, New Brunswick",MBS,Business and Science - Computer and Information Sciences,文理学院,,需要,投票结果-需要(2票) vs 不需要(1票),不需要,投票结果-不需要(2票) vs 需要(0票)
Tufts University,MS,Data Analytics ,文理学院,,不需要,投票结果-不需要(2票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Tufts University,MS,Data Science ,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
Tufts University,MS,Data Science ,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Boston University,MS,Computer Science ：data-centric computing.,艺术与科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Boston University,MS, Master of Science in Statistical Practice,艺术与科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Boston University,MS,Data Analytics,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Boston University,PHD, PhD program in Computing & Data Sciences,计算与数据科学学院,,,PhD项目-默认跳过,,PhD项目-默认跳过
Boston University,M.S.,MS in Data Science (MSDS),计算与数据科学学院,,不需要,投票结果-不需要(2票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
Boston University,MS,MS in Applied Data Analytics,Metropolitan College,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Boston University,MS,"MS in Computer Information Systems, Data Analytics Concentration",Metropolitan College,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Boston University,MS,"MS in Computer Information Systems, Database Management & Business Intelligence Concentration",Metropolitan College,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
Boston University,MS,"MS in Computer Science, Data Analytics Concentration",Metropolitan College,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"Ohio State University, Columbus",MS,Industrial and Systems Engineering（Data Analytics and Optimization）,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"Ohio State University, Columbus",MS,Industrial and Systems Engineering（Data Analytics and Optimization）,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(1票)
"Ohio State University, Columbus",MS,Industrial and Systems Engineering（Data Analytics and Optimization）,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"University of Maryland, College Park",MPS,Data Science ,计算机、数学与自然科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"Texas A&M University, College Station",MS,"Master of Science in Industrial Engineering, Data Science",工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"Texas A&M University, College Station",MS,"Master of Science in Industrial Engineering, Data Science",工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"Texas A&M University, College Station",MS,MS IN STATISTICAL DATA SCIENCE,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
"Texas A&M University, College Station",MS,Master of Science in Data Science,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Virginia Tech,MS,ata Analysis + Applied Statistics,理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Lehigh University,MS,"M.S., Data Science",工程与应用科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of Rochester,MS,Data Science,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of Rochester,MS,MS in Data Science—Genomics Track,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of Georgia,MS,MS in Data Science,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
University of Georgia,MS,MS in Data Science,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
University of Georgia,MS,MS in Data Science,文理学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
Northeastern University（Boston）,MS,Align DATA SCIENCE,计算机科学学院,,不需要,投票结果-不需要(2票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Northeastern University（Boston）,MS,Align DATA SCIENCE,计算机科学学院,,不需要,投票结果-不需要(2票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Northeastern University（Boston）,MS,DATA SCIENCE,计算机科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Northeastern University（Boston）,MS,DATA SCIENCE,计算机科学学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Northeastern University（Boston）,MS,Master of Science in Data Analytics Engineering,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
Northeastern University（Boston）,MS,Master of Science in Data Analytics Engineering,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(2票) vs 需要(0票)
Northeastern University（Boston）,MS,Master of Science in Data Architecture and Management,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
Northeastern University（Boston）,MS,Master of Science in Data Architecture and Management,工程学院,,不需要,投票结果-不需要(3票) vs 需要(0票),不需要,投票结果-不需要(3票) vs 需要(0票)
