大学英文名称,学位,专业英文名称,所属院系,招生网址,专业网址,课程网址,处理状态,有效URL数量,置信度分数,发现课程编号
Rice University,MDS,Master of Data Science,工程学院,https://cs.rice.edu/academics/graduate-programs/admission/graduate-program-application,https://cs.rice.edu/academics/graduate-programs/professional-master-data-science,,所有URL内容获取失败,0,0,
Vanderbilt University,MS,Data Science ,文理学院,https://www.vanderbilt.edu/datascience/msprogram/admissions/,https://www.vanderbilt.edu/datascience/msprogram/,,所有URL内容获取失败,0,0,
" 
University of Notre Dame",PHD,PHD IN ANALYTICS,商学院,https://graduateschool.nd.edu/degree-programs/analytics-phd---doctoral/,https://mendoza.nd.edu/research-faculty/academic-departments/phd-analytics/,,所有URL内容获取失败,0,0,
" 
University of Notre Dame",M.S.,Applied and Computational Mathematics ,理学院,https://graduateschool.nd.edu/degree-programs/applied-and-computational-mathematics-and-statistics-ms---masters-professional/,https://acms.nd.edu/graduate/professional-masters-programs/,https://acms.nd.edu/graduate/professional-masters-programs/curriculum/,规则选择完成 (置信度: 84),3,84,
" 
University of Notre Dame",M.S.,Applied and Computational Mathematics ,理学院,https://graduateschool.nd.edu/degree-programs/applied-and-computational-mathematics-and-statistics-ms---masters-professional/,https://acms.nd.edu/graduate/professional-masters-programs/,,单一URL验证失败 (置信度: 59),1,0,
"University of Michigan, Ann Arbor",MENG,Data Science and Machine Learning,工程学院,https://ece.engin.umich.edu/academics/graduate-programs/prospective-grad-students/apply-for-grad/apply-for-meng/,https://ece.engin.umich.edu/academics/graduate-programs/prospective-grad-students/about-the-master-of-engineering-meng-program/,,所有URL内容获取失败,0,0,
"University of Michigan, Ann Arbor",Ph.D,Industrial and Operations Engineering,工程学院,https://ioe.engin.umich.edu/graduate/phd-program/phd-admissions-planning/,https://ioe.engin.umich.edu/graduate/phd-program/,,所有URL内容获取失败,0,0,
"University of Michigan, Ann Arbor",MS,Industrial and Operations Engineering,工程学院,https://ioe.engin.umich.edu/graduate/masters-program/masters-admissions-planning/,https://ioe.engin.umich.edu/graduate/masters-program/masters-program-curriculum/,https://bulletin.engin.umich.edu/courses/ioe/,单一URL验证通过 (置信度: 155),1,155,IOE 101; IOE 201; ENGR 100; ENGLISH 124; ENGLISH 125
"University of Michigan, Ann Arbor",MSE,Industrial and Operations Engineering,工程学院,https://ioe.engin.umich.edu/graduate/masters-program/masters-admissions-planning/,https://ioe.engin.umich.edu/graduate/masters-program/masters-program-curriculum/,,所有URL内容获取失败,0,0,
"University of Michigan, Ann Arbor",MS,Industrial and Operations Engineering,工程学院,https://ioe.engin.umich.edu/graduate/masters-program/masters-admissions-planning/,https://ioe.engin.umich.edu/graduate/masters-program/masters-program-curriculum/,,所有URL内容获取失败,0,0,
"University of Michigan, Ann Arbor",MSE,Industrial and Operations Engineering,工程学院,https://ioe.engin.umich.edu/graduate/masters-program/masters-admissions-planning/,https://ioe.engin.umich.edu/graduate/masters-program/masters-program-curriculum/,,所有URL内容获取失败,0,0,
"University of Michigan, Ann Arbor",Ph.D,Information,信息学院,https://www.si.umich.edu/programs/phd-information/how-do-i-apply,https://www.si.umich.edu/programs/phd-information,,所有URL内容获取失败,0,0,
"University of Michigan, Ann Arbor",MS,Information,信息学院,https://www.si.umich.edu/programs/master-science-information/how-do-i-apply,https://www.si.umich.edu/programs/master-science-information,,所有URL内容获取失败,0,0,
"University of Michigan, Ann Arbor",MS,Data Science ,文化、科学与艺术学院,https://lsa.umich.edu/stats/masters_students/prospective-masters-students/data-science-masters-application.html,https://lsa.umich.edu/stats/masters_students/mastersprograms/data-science-masters-program.html,https://lsa.umich.edu/stats/masters_students/mastersprograms/data-science-masters-program.html,单一URL验证通过 (置信度: 275),1,275,DATASCI 403; EECS 402; EECS 403; MATH 403; BIOSTATS 601
"University of North Carolina, Chapel Hill",MS,"MS program in Statistics, Analytics and Data Science (STANDS)",文理学院,https://gradschool.sites.unc.edu/statistics-and-operations-research/,https://stor.unc.edu/ms/program/,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFx1-JqQY7E-jf68NVc_VIHojr1hHCGIRleUy8RmpHLpR6E2ptm6sP67KwZhz7w0TvKsXzxin-t0TEvNgtJ-rDMIXEWhxy2nxNF5kM0IYAUVHC_JKUVWKYtYe_alheY5hd6n4F7mtYbtCXUunefNKy61p61v7fl8bbR8odp_im7aduG0Hy3UPi2ND0iovoh,"规则选择完成 (置信度: 295; 发现15个课程编号; 学科: cs_data, math_stat)",2,295,STOR 455; STOR 556; STOR 435; STOR 535; STOR 555
Georgetown University,M.S.,Master of Science in Data Science and Analytics,文理研究生院,https://grad.georgetown.edu/data-science-analytics/,https://analytics.georgetown.edu/,https://analytics.georgetown.edu/academics/course-descriptions/,规则选择完成 (置信度: 227; 发现15个课程编号),2,227,DSAN 5000; DSAN 5100; DSAN 5200; DSAN 5300; DSAN 6000
Georgetown University,M.S.,Mathematics & Statistics ,文理研究生院,https://grad.georgetown.edu/mathematics-and-statistics/,https://mathstat.georgetown.edu/graduate/,https://grad.georgetown.edu/mathematics-and-statistics/),单一URL验证通过 (置信度: 240),1,240,
Georgetown University,M.S.,Mathematics & Statistics ,文理研究生院,https://grad.georgetown.edu/mathematics-and-statistics/,https://mathstat.georgetown.edu/graduate/,,所有URL内容获取失败,0,0,
Emory University,MS,Quantitative Theory and Methods,研究生院,https://quantitative.emory.edu/academics/masters/Who-Should-Apply.html,https://quantitative.emory.edu/academics/masters/index.html,,所有URL内容获取失败,0,0,
University of Virginia,PHD,Data Analytics and Decision Science,达顿商学院,https://www.darden.virginia.edu/phd/application-requirements,https://www.darden.virginia.edu/phd/data-analytics-and-decision-science,,无有效URL,0,0,
University of Virginia,MSDS,Data Science,数据科学学院,https://datascience.virginia.edu/msds/admissions,https://datascience.virginia.edu/degrees/msds-residential,,所有URL内容获取失败,0,0,
University of Virginia,PHD,Data Science,数据科学学院,https://datascience.virginia.edu/phd/admissions,https://datascience.virginia.edu/degrees/phd,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHpyPNzmXwzSaDrLxOP2jWGXQEhHQ_sUaA4hkaq18LzVtfGC-EJd7sHsN5rX7fEmi1abS70X3WhwFnpZYFdKLk_dB74TXwTlo7WFoGaRDRlN8DWZ3p3r7mMMiZHuqXMeuIIgoonBlhbcbCNVyUaAhpqnb_2Zgh5A5tKsw7yuwvqwAycilE=,单一URL验证通过 (置信度: 360),1,360,PROV 001
Carnegie Mellon University,MITS,Master of Information Technology Strategy (MITS),人文与社会科学学院,https://www.cmu.edu/cmist/academics/graduate-programs/mits/mits-admissions.html,https://www.cmu.edu/cmist/academics/graduate-programs/msirp/index.html,https://www.cmu.edu/cmist/academics/graduate-programs/mits/mits-admissions.html,单一URL验证通过 (置信度: 205),1,205,
Carnegie Mellon University,MADS,Master of Science in Applied Data Science (MADS),人文与社会科学学院,https://www.cmu.edu/dietrich/statistics-datascience/academics/mads/how-to-apply.html,https://www.cmu.edu/dietrich/statistics-datascience/academics/mads/index.html,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGXH5CllBwvVm8ey6GdafkmSmlH4-MRU67n5RR4k80siGfUzyAlaD1lD1ZNyudPcWGPjpTM7iFPXBrvckhVwfvdgIXsMnveVL50wmiKrbTUaqdpYjg0Q4r9MSgnixpLkrfcIb2eC-AHbcIb0g9BjNkQ4dj75UQAQpeZWN3_1JWR4DP2m9k2KLLP2_2HQq1V0oQMIUg=,单一URL验证通过 (置信度: 93),1,93,
Carnegie Mellon University,MISM,Information Systems Management（BUSINESS INTELLIGENCE & DATA ANALYTICS）,信息系统与公共政策学院 ,https://www.heinz.cmu.edu/admissions/information-systems-management/,https://www.heinz.cmu.edu/programs/information-systems-management-master/,,所有URL内容获取失败,0,0,
Carnegie Mellon University,MISM,Information Systems Management（BUSINESS INTELLIGENCE & DATA ANALYTICS）,信息系统与公共政策学院 ,https://www.heinz.cmu.edu/admissions/information-systems-management/,https://www.heinz.cmu.edu/programs/information-systems-management-master/,,所有URL内容获取失败,0,0,
Carnegie Mellon University,MS,MS in DATA ANALYTICS FOR SCIENCE,科学学院,https://www.cmu.edu/mcs/grad/programs/ms-data-analytics/application-process.html,https://www.cmu.edu/mcs/grad/programs/ms-data-analytics/index.html,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHZ2htKP8dK4mbNi0bhqGDo_9QSv0PeT4R6T2ia8dKicsml2J9SGsvAbneOyO3EeKSPnoBzSidmS2tNgHpeNzyraa1XAWO2_ocS9h-C2184n_r5yk2HeeK7b_iznVYge-6bbPh2XC3fXP4xwY5PwnNHdQziSYI3K2UuK5SkHu9qAvbt9pktxKs=,规则选择完成 (置信度: 86),3,86,
Carnegie Mellon University,MCDS,Computational Data Science,计算机科学学院,https://mcds.cs.cmu.edu/apply-mcds-program,https://mcds.cs.cmu.edu/learn-us-requirements,,所有URL内容获取失败,0,0,
Carnegie Mellon University,MCDS,Computational Data Science,计算机科学学院,https://mcds.cs.cmu.edu/apply-mcds-program,https://mcds.cs.cmu.edu/learn-us-requirements,,所有URL内容获取失败,0,0,
Washington University in St. Louis,MS,MS in Engineering Data Analytics & Statistics,工程学院,https://engineering.wustl.edu/academics/graduate-admissions/application-checklist.html,https://ese.wustl.edu/academics/graduate-programs/masters-and-certificates/MS-in-Data-Analytics-Statistics.html,https://ese.wustl.edu/academics/graduate-programs/masters-and-certificates/MS-in-Data-Analytics-Statistics.html,单一URL验证通过 (置信度: 235),1,235,ESE 590; ESE 599; ESE 520; ESE 524; ESE 527
Washington University in St. Louis,MS,MS in Engineering Data Analytics & Statistics,工程学院,https://engineering.wustl.edu/academics/graduate-admissions/application-checklist.html,https://ese.wustl.edu/academics/graduate-programs/masters-and-certificates/MS-in-Data-Analytics-Statistics.html,https://ese.wustl.edu/academics/graduate-programs/masters-and-certificates/MS-in-Data-Analytics-Statistics.html,单一URL验证通过 (置信度: 235),1,235,ESE 590; ESE 599; ESE 520; ESE 524; ESE 527
Washington University in St. Louis,PHD,Computational & Data Sciences ,工程学院,https://engineering.wustl.edu/academics/graduate-admissions/application-checklist.html,https://datasciences.wustl.edu/,,所有URL内容获取失败,0,0,
Washington University in St. Louis,MS,Master of Data Analytics & Applications,继续和专业教育学院,https://caps.washu.edu/student-success/graduate-application-requirements/,https://caps.washu.edu/lp/master-of-data-analytics-applications/,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEUnWUKN934fjCOtXUXUWxVpnqV5pxfs0GPOk9rdRrWf5jBUvAquj8j8FyOzrQfH4k02E0-tNzuWMx5Y8o1i_ms-LL6KtQotbTxT0089czXA_8DlVPwTngvQfwqWVnmvcQDZp5ODqBnGBizrQA8AdBM,单一URL验证通过 (置信度: 220),1,220,
Washington University in St. Louis,MS,Master of Data Analytics & Applications,继续和专业教育学院,https://caps.washu.edu/student-success/graduate-application-requirements/,https://caps.washu.edu/lp/master-of-data-analytics-applications/,,所有URL内容获取失败,0,0,
University of Florida,M.S.,Information Systems and Operations Management：Data Science,商学院,https://warrington.ufl.edu/master-of-science-in-information-systems-and-operations-management/admissions/,https://warrington.ufl.edu/master-of-science-in-information-systems-and-operations-management/program-options/,,所有URL内容获取失败,0,0,
University of Florida,M.S.,Information Systems and Operations Management：Data Science,商学院,https://warrington.ufl.edu/master-of-science-in-information-systems-and-operations-management/admissions/,https://warrington.ufl.edu/master-of-science-in-information-systems-and-operations-management/program-options/,,所有URL内容获取失败,0,0,
University of Florida,M.S.,Information Systems and Operations Management：Data Science,商学院,https://warrington.ufl.edu/master-of-science-in-information-systems-and-operations-management/admissions/,https://warrington.ufl.edu/master-of-science-in-information-systems-and-operations-management/program-options/,,所有URL内容获取失败,0,0,
University of Florida,M.S.,Information Systems and Operations Management：Data Science,商学院,https://warrington.ufl.edu/master-of-science-in-information-systems-and-operations-management/admissions/,https://warrington.ufl.edu/master-of-science-in-information-systems-and-operations-management/program-options/,,所有URL内容获取失败,0,0,
"University of California, Davis",MS,Statistics- DATA SCIENCE TRACK (48 units),文学与科学学院,https://statistics.ucdavis.edu/grad/admissions,https://statistics.ucdavis.edu/grad/ms,https://statistics.ucdavis.edu/grad/ms,单一URL验证通过 (置信度: 384),1,384,STA 200A; STA 200B; ISTA 200C; STA 135; STA 206
"University of California, San Diego",PhD,Data Science,数据科学研究所,https://datascience.ucsd.edu/graduate/graduate-admissions/,https://datascience.ucsd.edu/graduate/phd-program/,,所有URL内容获取失败,0,0,
"University of California, San Diego",MS,Data Science,数据科学研究所,https://datascience.ucsd.edu/graduate/graduate-admissions/,https://datascience.ucsd.edu/graduate/ms-program/,,所有URL内容获取失败,0,0,
"University of California, San Diego",MS,Machine Learning and Data Science ,工程学院,https://www.ece.ucsd.edu/graduate/graduate-admissions,https://www.ece.ucsd.edu/graduate/information-new-ece-graduate-students,,所有URL内容获取失败,0,0,
"University of California, San Diego",PHD,Machine Learning and Data Science ,工程学院,https://www.ece.ucsd.edu/graduate/graduate-admissions,https://www.ece.ucsd.edu/graduate/information-new-ece-graduate-students,,所有URL内容获取失败,0,0,
University of Southern California,PhD,Business Administration( Data Sciences & Operations),商学院,https://www.marshall.usc.edu/programs/graduate-programs/phd-program/admissions,https://www.marshall.usc.edu/programs/graduate-programs/phd-program/data-sciences-operations,,所有URL内容获取失败,0,0,
University of Southern California,M.S.,Computer Science (Data Science),工程学院,https://viterbigradadmission.usc.edu/programs/masters/msprograms/computer-science/ms-cs-data-science/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/computer-science/ms-cs-data-science/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/computer-science/ms-cs-data-science/,单一URL验证通过 (置信度: 195),1,195,CSCI 561; CSCI 570; CSCI 585; CSCI 572; DSCI 551
University of Southern California,M.S.,Computer Science (Data Science),工程学院,https://viterbigradadmission.usc.edu/programs/masters/msprograms/computer-science/ms-cs-data-science/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/computer-science/ms-cs-data-science/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/computer-science/ms-cs-data-science/,单一URL验证通过 (置信度: 195),1,195,CSCI 561; CSCI 570; CSCI 585; CSCI 572; DSCI 551
University of Southern California,M.S.,Applied Data Science,工程学院,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/ms-applied-data-science/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/ms-applied-data-science/,https://viterbigradadmission.usc.edu/programs/masters/msprograms/data-science/ms-applied-data-science/,单一URL验证通过 (置信度: 195),1,195,DSCI 551; DSCI 552; DSCI 553; DSCI 510; DSCI 549
