大学英文名称,学位,专业英文名称,所属院系,职业项目,投票状态,response_1_text,response_1_status,response_1_valid,response_2_text,response_2_status,response_2_valid,response_3_text,response_3_status,response_3_valid
University of Southern California,M.S.,MS IN BIOMEDICAL ENGINEERING – BIOMEDICAL DATA ANALYTICS,工程学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
University of Southern California,M.S.,Master of Science in Communication Data Science,工程学院,professional,一致投票(3/3有效),professional,有效回答,True,professional,有效回答,True,professional,有效回答,True
University of Southern California,M.S.,MS IN ENVIRONMENTAL DATA SCIENCE,工程学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
University of Southern California,M.S.,Spatial Data Science,工程学院,professional,多数票(2票professional vs 1票non-professional),"professional
",有效回答,True,professional,有效回答,True,non-professional,有效回答,True
University of Southern California,M.S.,M.S. in Spatial Economics and Data Analysis,文理学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
University of Southern California,M.S.,Public Policy Data Science,公共政策学院,professional,一致投票(3/3有效),professional,有效回答,True,professional,有效回答,True,professional,有效回答,True
"University of California, Irvine",MENG,CIVIL AND ENVIRONMENTAL ENGINEERING,工程学院,professional,一致投票(3/3有效),"professional
",有效回答,True,"professional
",有效回答,True,professional,有效回答,True
Georgia Institute of Technology,MS,Master of Science in Urban Analytics,设计学院,non-professional,多数票(2票non-professional vs 1票professional),professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
"University of California, Santa Barbara",MEDS,MASTER OF ENVIRONMENTAL DATA SCIENCE,环境科学与管理学院,professional,一致投票(3/3有效),"professional
",有效回答,True,professional,有效回答,True,professional,有效回答,True
New York University,MS,Data Science – Biomedical Informatics Track,文理研究生院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
New York University,MS,Applied Statistics for Social Science Research (ASSR-MS),文化，教育和人类发展学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
New York University,MS/MPA,Applied Statistics for Social Science Research (MS) / Public and Nonprofit Management (MPA) - Dual Degree (ASSD-MS),文化，教育和人类发展学院,professional,多数票(2票professional vs 1票non-professional),professional,有效回答,True,non-professional,有效回答,True,professional,有效回答,True
New York University,MS,Statistics and Computational Social Science,文化，教育和人类发展学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
"University of Wisconsin, Madison",M.S.,Psychology：DATA SCIENCE IN HUMAN BEHAVIOR,文理学院,professional,一致投票(3/3有效),professional,有效回答,True,professional,有效回答,True,"professional
",有效回答,True
"University of Wisconsin, Madison",M.S.,"Biomedical Data Science, M.S.",医学和公共卫生学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
"University of Wisconsin, Madison",Ph.D.,"Biomedical Data Science, Ph.D.",医学和公共卫生学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
"University of Illinois, Urbana-Champaign",MS,statistics-analytics,文理学院,professional,一致投票(3/3有效),"professional
",有效回答,True,professional,有效回答,True,professional,有效回答,True
"University of Illinois, Urbana-Champaign",MS,statistics-analytics,文理学院,professional,一致投票(3/3有效),professional,有效回答,True,"professional
",有效回答,True,"professional
",有效回答,True
University of Washington,PHD,Bioengineering (PhD)：Data Science Option,工程学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
University of Washington,PHD,Chemical Engineering (PhD)：Advanced Data Science Option,工程学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,"non-professional
",有效回答,True
University of Washington,PHD,Civil & Environmental Engineering - Data Science Option,工程学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
University of Washington,MSEE,Electrical Engineering (MSEE) - Seattle ：Data Science Option,工程学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
University of Washington,PHD,Electrical Engineering (PhD) - Seattle ：Data Science Option,工程学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
University of Washington,PHD,"Ph.D., Applied Mathematics: Advanced Data Science",文理学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
University of Washington,PHD,"Ph.D., Psychology: Data Science Option",文理学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
University of Washington,PHD,Statistics (PhD)-Statistics in the Social Sciences,文理学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
University of Washington,MS,Aquatic & Fishery Sciences (MS)： DATA SCIENCE TRACK,环境学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
University of Washington,PHD,Aquatic & Fishery Sciences (PhD)： DATA SCIENCE TRACK,环境学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
University of Washington,PHD,Earth and Space Sciences (PhD) ： DATA SCIENCE  TRACK,环境学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
University of Washington,PHD,Atmospheric Sciences (PhD)： DATA SCIENCE  TRACK,环境学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
University of Washington,PHD,Atmospheric Sciences (PhD)：ADVANCED DATA SCIENCE (ADS) TRACK,环境学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,"non-professional
",有效回答,True,"non-professional
",有效回答,True
University of Washington,PHD, PhD (Public Policy & Management) ： DATA SCIENCE  TRACK,公共政策与治理学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,"non-professional
",有效回答,True
University of Washington,PHD, PhD (Public Policy & Management) ：ADVANCED DATA SCIENCE (ADS) TRACK,公共政策与治理学院,non-professional,一致投票(3/3有效),"non-professional
",有效回答,True,"non-professional
",有效回答,True,non-professional,有效回答,True
"Rutgers University, New Brunswick",MPI,Master of Public Informatics,规划与公共政策学院,professional,一致投票(3/3有效),professional,有效回答,True,professional,有效回答,True,professional,有效回答,True
"Rutgers University, New Brunswick",MPI,Master of Public Informatics,规划与公共政策学院,professional,一致投票(3/3有效),professional,有效回答,True,"professional
",有效回答,True,professional,有效回答,True
Tufts University,MS,Nutrition Epidemiology and Data Science,营养科学与政策学院,professional,一致投票(3/3有效),"professional
",有效回答,True,professional,有效回答,True,professional,有效回答,True
Tufts University,MS,Nutrition Epidemiology and Data Science,营养科学与政策学院,professional,一致投票(3/3有效),professional,有效回答,True,professional,有效回答,True,professional,有效回答,True
Tufts University,PHD,Nutrition Epidemiology and Data Science,营养科学与政策学院,professional,一致投票(3/3有效),professional,有效回答,True,professional,有效回答,True,"professional
",有效回答,True
"Purdue University, West Lafayette",MS,Geodata Science,理学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
"Purdue University, West Lafayette",MS,Geodata Science,理学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
"Purdue University, West Lafayette",MS,MS Data Science in Finance,理学院,professional,多数票(2票professional vs 1票non-professional),non-professional,有效回答,True,professional,有效回答,True,professional,有效回答,True
"Purdue University, West Lafayette",MS,MS Data Science in Finance,理学院,professional,一致投票(3/3有效),professional,有效回答,True,professional,有效回答,True,professional,有效回答,True
"University of Maryland, College Park",MS,M.S. in Applied Political Analytics,行为与社会科学学院,professional,多数票(2票professional vs 1票non-professional),non-professional,有效回答,True,professional,有效回答,True,"professional
",有效回答,True
"University of Maryland, College Park",MS,Survey and Data Science,行为与社会科学学院,non-professional,多数票(2票non-professional vs 1票professional),non-professional,有效回答,True,non-professional,有效回答,True,"professional
",有效回答,True
"University of Maryland, College Park",PhD,Survey and Data Science,行为与社会科学学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
Northeastern University（Boston）,MS,Data and Systems,工程学院,professional,多数票(2票professional vs 1票non-professional),"professional
",有效回答,True,non-professional,有效回答,True,professional,有效回答,True
Northeastern University（Boston）,MS,Data and Systems,工程学院,non-professional,多数票(2票non-professional vs 1票professional),non-professional,有效回答,True,non-professional,有效回答,True,professional,有效回答,True
Northeastern University（Boston）,MS,Applied Quantitative Methods and Social Analysis,社会科学与人文学院,professional,一致投票(3/3有效),professional,有效回答,True,professional,有效回答,True,professional,有效回答,True
Northeastern University（Boston）,MS,Applied Quantitative Methods and Social Analysis,社会科学与人文学院,professional,一致投票(3/3有效),professional,有效回答,True,professional,有效回答,True,professional,有效回答,True
Northeastern University ,MS,Applied Quantitative Methods and Social Analysis,东北大学（弗吉尼亚州阿灵顿）,professional,一致投票(3/3有效),"professional
",有效回答,True,professional,有效回答,True,professional,有效回答,True
Northeastern University ,MS,Applied Quantitative Methods and Social Analysis,东北大学（弗吉尼亚州阿灵顿）,professional,一致投票(3/3有效),professional,有效回答,True,professional,有效回答,True,professional,有效回答,True
"University of Minnesota, Twin Cities",MS,M.S. in Data Science for Chemical Engineering and Materials Science,理工学院,non-professional,一致投票(3/3有效),"non-professional
",有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
"University of Minnesota, Twin Cities",PHD,health informatics：Data Science & Informatics Track,健康信息学研究所,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
"Pennsylvania State University, University Park",PHD,Social Data Analytics,人文科学学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
Rensselaer Polytechnic Institute,MENG,Biomedical Data Science,工程学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
Rensselaer Polytechnic Institute,MENG,Biomedical Data Science,工程学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
"University of Massachusetts, Amherst",MS,Economics,社会与行为科学学院,professional,一致投票(3/3有效),professional,有效回答,True,professional,有效回答,True,professional,有效回答,True
"University of Massachusetts, Amherst",MS,Economics,社会与行为科学学院,professional,一致投票(3/3有效),professional,有效回答,True,professional,有效回答,True,"professional
",有效回答,True
University of Miami,MS, Master of Science in Data Science：Smart Cities (School of Architecture),文理学院,professional,一致投票(3/3有效),professional,有效回答,True,professional,有效回答,True,professional,有效回答,True
University of Miami,MS, Master of Science in Data Science：Data Visualization (School of Communication),文理学院,professional,一致投票(3/3有效),"professional
",有效回答,True,professional,有效回答,True,"professional
",有效回答,True
University of Miami,MS, Master of Science in Data Science：Marine & Atmospheric Science (Rosenstiel School of Marine & Atmospheric Sciences),文理学院,professional,一致投票(3/3有效),professional,有效回答,True,professional,有效回答,True,"professional
",有效回答,True
University of Miami,MS, Master of Science in Data Science：Educational Measurement & Statistics (School of Education & Human Development),文理学院,professional,一致投票(3/3有效),professional,有效回答,True,professional,有效回答,True,professional,有效回答,True
University of Miami,MS, Master of Science in Data Science：Marketing (Miami Herbert Business School),文理学院,professional,一致投票(3/3有效),professional,有效回答,True,professional,有效回答,True,professional,有效回答,True
Villanova University,MACDA,Master of Accounting with Data Analytics,商学院,professional,一致投票(3/3有效),professional,有效回答,True,professional,有效回答,True,professional,有效回答,True
Villanova University,MACDA,Master of Accounting with Data Analytics,商学院,professional,一致投票(3/3有效),professional,有效回答,True,professional,有效回答,True,professional,有效回答,True
Villanova University,MBT,MASTER OF BUSINESS TAXATION WITH DATA ANALYTICS,商学院,professional,一致投票(3/3有效),professional,有效回答,True,professional,有效回答,True,professional,有效回答,True
Villanova University,MBT,MASTER OF BUSINESS TAXATION WITH DATA ANALYTICS,商学院,professional,一致投票(3/3有效),professional,有效回答,True,professional,有效回答,True,professional,有效回答,True
Tulane University,MA,Political Economy with Data Analytics,文学院,professional,多数票(2票professional vs 1票non-professional),non-professional,有效回答,True,professional,有效回答,True,professional,有效回答,True
"University at Buffalo, SUNY",MS,Data Analysis in the Social Sciences MS,文理学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
"University at Buffalo, SUNY",MS,Data Analysis in the Social Sciences MS,文理学院,professional,多数票(2票professional vs 1票non-professional),non-professional,有效回答,True,professional,有效回答,True,professional,有效回答,True
"University at Buffalo, SUNY",MS,Materials Design and Innovation MS,工程与应用科学学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
"University at Buffalo, SUNY",PhD,Materials Design and Innovation PhD,工程与应用科学学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
University of Delaware,MS ,Master of Science in Bioinformatics Data Science ,农业与自然资源学院,non-professional,一致投票(3/3有效),"non-professional
",有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
University of Delaware,MS ,Master of Science in Bioinformatics Data Science ,农业与自然资源学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
University of Delaware,PhD,Bioinformatics Data Science,农业与自然资源学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
University of Delaware,PhD,Bioinformatics Data Science,农业与自然资源学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
Clemson University,PhD,Biomedical Data Science and Informatics,工程，计算机和应用科学学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
Clemson University,MS,Biomedical Data Science and Informatics,工程，计算机和应用科学学院,non-professional,一致投票(3/3有效),non-professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
Marquette University,MS,Criminal Justice Data Analytics ,文理学院,professional,一致投票(3/3有效),professional,有效回答,True,professional,有效回答,True,professional,有效回答,True
Marquette University,MS,Criminal Justice Data Analytics ,文理学院,professional,一致投票(3/3有效),professional,有效回答,True,professional,有效回答,True,professional,有效回答,True
Temple University,PSM,Bioinformatics and Biological Data Science PSM,科学技术学院,professional,一致投票(3/3有效),professional,有效回答,True,professional,有效回答,True,professional,有效回答,True
University of Oregon,MS,Education Policy and Leadership,教育学院,professional,一致投票(3/3有效),professional,有效回答,True,professional,有效回答,True,professional,有效回答,True
Illinois Institute of Technology,M.S.,Master of Science in Biomedical Modeling and Data Science,工程学院,non-professional,多数票(2票non-professional vs 1票professional),professional,有效回答,True,non-professional,有效回答,True,non-professional,有效回答,True
University of Arizona,MS,Agricultural & Resource Econ (MS) - Applied Econometrics and Data Analytics,农业与生命科学学院,non-professional,多数票(2票non-professional vs 1票professional),non-professional,有效回答,True,"professional
",有效回答,True,non-professional,有效回答,True
